sample	batch	variable	value
32160740_EXO_S29	180726-190530	mainPeakMiRNAlength	72.53078697912323
32152259_EXO_S20	180726-190530	mainPeakMiRNAlength	79.09870322722242
32160002_EXO_S23	180726-190530	mainPeakMiRNAlength	80.26371988503087
32161448_EXO_S32	180726-190530	mainPeakMiRNAlength	82.10302770691746
32152082_EXO_S19	180726-190530	mainPeakMiRNAlength	79.87847972206912
32152019_EXO_S17	180726-190530	mainPeakMiRNAlength	79.85600361211279
32161241_EXO_S31	180726-190530	mainPeakMiRNAlength	79.45237736374602
32170071_EXO_S33	180726-190530	mainPeakMiRNAlength	82.71585712219743
32141754_EXO_S5	180726-190530	mainPeakMiRNAlength	76.72545134733964
32150091_EXO_S1	180726-190530	mainPeakMiRNAlength	40.64884135472371
32160964_EXO_S30	180726-190530	mainPeakMiRNAlength	80.07741567612615
32160619_EXO_S27	180726-190530	mainPeakMiRNAlength	81.30215855745851
32151247_EXO_S13	180726-190530	mainPeakMiRNAlength	80.80945962574727
32150880_EXO_S12	180726-190530	mainPeakMiRNAlength	80.44897325815963
32151523_EXO_S6	180726-190530	mainPeakMiRNAlength	78.68743035558644
32141765_EXO_S9	180726-190530	mainPeakMiRNAlength	79.76428748656025
32150158_EXO_S10	180726-190530	mainPeakMiRNAlength	80.93072113880787
32140235_EXO_S8	180726-190530	mainPeakMiRNAlength	61.5669725590015
32160071_EXO_S25	180726-190530	mainPeakMiRNAlength	78.38064612795777
32151648_EXO_S4	180726-190530	mainPeakMiRNAlength	68.53334047166528
32152253_EXO_S33	180913-190529	mainPeakMiRNAlength	80.46575392657368
32151859_EXO_S28	180913-190529	mainPeakMiRNAlength	81.16656801777218
32150292_EXO_S9	180913-190529	mainPeakMiRNAlength	78.20966208471428
32152341_EXO_S35	180913-190529	mainPeakMiRNAlength	81.67208835066906
32151226_EXO_S21	180913-190529	mainPeakMiRNAlength	51.13108678055639
32150013_EXO_S3	180913-190529	mainPeakMiRNAlength	73.75432960192761
32150698_EXO_S12	180913-190529	mainPeakMiRNAlength	83.60231849753764
32151984_EXO_S30	180913-190529	mainPeakMiRNAlength	79.90528571757784
32152084_EXO_S31	180913-190529	mainPeakMiRNAlength	79.81442189551626
32150243_EXO_S8	180913-190529	mainPeakMiRNAlength	21.48231150952457
32151180_EXO_S20	180913-190529	mainPeakMiRNAlength	57.62166510256066
32141643_EXO_S1	180913-190529	mainPeakMiRNAlength	76.33737942662358
32141786_EXO_S2	180913-190529	mainPeakMiRNAlength	73.4269200470884
32150076_EXO_S4	180913-190529	mainPeakMiRNAlength	79.56894118950625
32150849_EXO_S15	180913-190529	mainPeakMiRNAlength	78.38564867272711
32151444_EXO_S22	180913-190529	mainPeakMiRNAlength	80.48667608515613
32150163_EXO_S7	180913-190529	mainPeakMiRNAlength	77.88998231061191
32151565_EXO_S23	180913-190529	mainPeakMiRNAlength	76.38998605381472
32151026_EXO_S17	180913-190529	mainPeakMiRNAlength	81.63637582467373
32150825_EXO_S13	180913-190529	mainPeakMiRNAlength	81.34635939241257
32152273_EXO_S34	180913-190529	mainPeakMiRNAlength	82.77253190577217
32151691_EXO_S25	180913-190529	mainPeakMiRNAlength	61.574268882810856
32150844_EXO_S14	180913-190529	mainPeakMiRNAlength	77.4574026021158
32150424_EXO_S10	180913-190529	mainPeakMiRNAlength	81.24599712397134
32152094_EXO_S32	180913-190529	mainPeakMiRNAlength	77.36356537582786
32151125_EXO_S18	180913-190529	mainPeakMiRNAlength	83.53009209061601
32150080_EXO_S5	180913-190529	mainPeakMiRNAlength	79.02203440990039
32151765_EXO_S27	180913-190529	mainPeakMiRNAlength	66.98978871582514
32151881_EXO_S29	180913-190529	mainPeakMiRNAlength	82.63750631042272
32150696_EXO_S11	180913-190529	mainPeakMiRNAlength	82.4476300192808
32151725_EXO_S26	180913-190529	mainPeakMiRNAlength	81.42338029483734
32150993_EXO_S16	180913-190529	mainPeakMiRNAlength	75.06661184210526
32150147_EXO_S6	180913-190529	mainPeakMiRNAlength	81.87695106327915
32151667_EXO_S24	180913-190529	mainPeakMiRNAlength	69.24285433738596
32151152_EXO_S19	180913-190529	mainPeakMiRNAlength	82.41530731733886
32160466_EXO_S13	180919-190527	mainPeakMiRNAlength	81.49353436459327
32160120_EXO_S8	180919-190527	mainPeakMiRNAlength	77.79888100896315
32160246_EXO_S10	180919-190527	mainPeakMiRNAlength	79.30015346241825
32170365_EXO_S26	180919-190527	mainPeakMiRNAlength	76.47864402756316
32170367_EXO_S27	180919-190527	mainPeakMiRNAlength	80.39961457003527
32152451_EXO_S5	180919-190527	mainPeakMiRNAlength	80.649324232699
32161246_EXO_S18	180919-190527	mainPeakMiRNAlength	80.51652099232739
32170368_EXO_S28	180919-190527	mainPeakMiRNAlength	77.87598132664856
32170400_EXO_S30	180919-190527	mainPeakMiRNAlength	78.24750481944972
32160472_EXO_S14	180919-190527	mainPeakMiRNAlength	77.42709835891397
32160241_EXO_S9	180919-190527	mainPeakMiRNAlength	76.25606381583941
32152359_EXO_S1	180919-190527	mainPeakMiRNAlength	79.24323097640503
32161415_EXO_S22	180919-190527	mainPeakMiRNAlength	79.94770398857113
32161252_EXO_S19	180919-190527	mainPeakMiRNAlength	79.24364033196053
32170381_EXO_S29	180919-190527	mainPeakMiRNAlength	77.38563418613433
32152366_EXO_S2	180919-190527	mainPeakMiRNAlength	80.60448219744396
32150043_EXO_S34	180919-190527	mainPeakMiRNAlength	75.64825691877138
32170453_EXO_S31	180919-190527	mainPeakMiRNAlength	79.54523485035175
32170276_EXO_S24	180919-190527	mainPeakMiRNAlength	81.85235725219079
32152381_EXO_S3	180919-190527	mainPeakMiRNAlength	81.71303631733804
32161367_EXO_S21	180919-190527	mainPeakMiRNAlength	81.31561193321669
32160457_EXO_S12	180919-190527	mainPeakMiRNAlength	80.76670303298864
32152446_EXO_S4	180919-190527	mainPeakMiRNAlength	80.65128310161546
32160782_EXO_S17	180919-190527	mainPeakMiRNAlength	80.13640070664239
32160083_EXO_S7	180919-190527	mainPeakMiRNAlength	78.83413607753202
32170613_EXO_S32	180919-190527	mainPeakMiRNAlength	65.41870791211312
32160323_EXO_S11	180919-190527	mainPeakMiRNAlength	79.26197954305408
32170644_EXO_S33	180919-190527	mainPeakMiRNAlength	79.21647379551356
32160600_EXO_S15	180919-190527	mainPeakMiRNAlength	82.79040692526547
