sample	reads
32150993_EXO_S16	2.1229659E7
32150147_EXO_S6	7742396.0
32151667_EXO_S24	7850730.0
32151152_EXO_S19	1.1815285E7
180919-190527_Brain_S35	1.8878587E7
32160466_EXO_S13	1.4702843E7
32160120_EXO_S8	1.1957099E7
32160246_EXO_S10	1.4688446E7
32170365_EXO_S26	1.3675105E7
32170367_EXO_S27	1.8998142E7
32152451_EXO_S5	1.6918119E7
32161246_EXO_S18	8507244.0
32170368_EXO_S28	1.83243E7
32170400_EXO_S30	1.1553802E7
32160472_EXO_S14	1.1622698E7
32160241_EXO_S9	1.3250212E7
32152359_EXO_S1	1.291422E7
32161415_EXO_S22	1.1491801E7
32161252_EXO_S19	8676787.0
32170381_EXO_S29	1.6575038E7
32152366_EXO_S2	1.1576941E7
32150043_EXO_S34	1.8126631E7
32170453_EXO_S31	9549133.0
32170276_EXO_S24	9257482.0
32152381_EXO_S3	1.079227E7
32161367_EXO_S21	1.2390007E7
32160457_EXO_S12	1.5793587E7
32152446_EXO_S4	1.5802872E7
32160782_EXO_S17	1.2547735E7
32160083_EXO_S7	1.1635282E7
32170613_EXO_S32	1.1614133E7
32160323_EXO_S11	1.3876587E7
32170644_EXO_S33	1.398939E7
32160600_EXO_S15	1.0716578E7
32161358_EXO_S20	1.3779088E7
32160028_EXO_S6	1.6809738E7
32160766_EXO_S16	8331384.0
32170346_EXO_S25	1.0526972E7
32170068_EXO_S23	1.1154152E7
32160009_EXO_S30	2.1621137E7
32152260_EXO_S26	2.0826177E7
32152408_EXO_S29	2.5589618E7
32160078_EXO_S32	2.247005E7
32160080_EXO_S33	2.0224049E7
32150313_EXO_S5	2.2099053E7
32151181_EXO_S16	1.9140599E7
32151178_EXO_S15	1.7904015E7
32152087_EXO_S24	1.7238878E7
32151988_EXO_S22	1.9707629E7
32160019_EXO_S31	2.0728906E7
32152030_EXO_S23	2.7383237E7
32151021_EXO_S13	1.9475204E7
32150156_EXO_S1	1.7142334E7
32151970_EXO_S21	1.9371348E7
32151029_EXO_S14	2.0852509E7
32150829_EXO_S9	1.9063622E7
32150792_EXO_S8	2.3311674E7
181003-190524_Brain_S35	3.2515986E7
32151754_EXO_S20	1.9900105E7
32150309_EXO_S4	2.0890537E7
32160185_EXO_S34	1.9401925E7
32151018_EXO_S12	1.7490415E7
32151480_EXO_S17	2.074012E7
32150697_EXO_S7	2.0871381E7
32152351_EXO_S28	2.3866438E7
32150318_EXO_S6	2.0846653E7
32152200_EXO_S25	2.181277E7
32150274_EXO_S3	2.119958E7
32151489_EXO_S18	1.8674172E7
32150882_EXO_S11	1.837118E7
32151625_EXO_S19	2.2943189E7
32150835_EXO_S10	2.13183E7
32152348_EXO_S27	1.1562086E7
32160965_EXO_S9	2.068181E7
32160622_EXO_S5	1.6908651E7
32161245_EXO_S17	2.0939541E7
32170434_EXO_S28	1.5640194E7
32160340_EXO_S2	2.3597015E7
32161045_EXO_S12	1.7228145E7
32170383_EXO_S25	1.6711206E7
32170272_EXO_S24	1.8187712E7
32160628_EXO_S6	1.4461122E7
32161104_EXO_S15	2.0381367E7
32161237_EXO_S16	1.9081706E7
32170016_EXO_S20	2.3581271E7
181004-190521_Brain_S35	3.7768399E7
