sample	batch	readsRaw	reads	readsUnique	microRNAPerc	readsAdapterFound	readsAdapterFoundPerc	miRNAexprTop1	miRNAexprTop5	miRNAexprTop20	miRNAexprp50	miRNAexprp75	miRNAexprp95	miRNAper1k	adapterDimerPerc	ultraShortReadsPerc	shortReadsPerc	refSpecies	unmapped	bacteria	virus	stdDevMiRNAlength	mainPeakMiRNAlength	absskewnessMiRNAlength	meanofp50	meanofp10	meanofp25	meanofp75	meanofp90	readsPerc
32151640_EXO_S32	180322-190603	1.2280577E7	9206497.0	726092.0	3.4932287492191714	1.1905396E7	96.94492367907469	20.690083707879147	56.51373551492435	86.70282908589554	4.0	11.0	45.0	0.7442757377742701	4.633108911933702	11.788019591974571	14.409624051413727	8.03715028636842	75.68598566859903	15.35132200662206	0.9255420384104831	1.344464286278194	80.73394780705027	0.11058235753650658	35.5	26775	35.5	35.5	35.5	74.96795142443226
32151675_EXO_S28	180322-190603	1.3907834E7	1.0729854E7	808310.0	29.904964224117467	1.3390286E7	96.27873039036848	15.154653752164336	58.86971443403204	89.0615050611657	4.0	9.0	35.0	0.10825499189427482	0.836197679752056	15.07468407292781	11.818768352851848	20.98719143801956	67.58943784323627	10.692615202406278	0.7307555163378741	1.0567501480480601	85.13872503564944	0.1860802227707678	35.5	18.55	35.0	35.5	35.5	77.14971288843395
32151681_EXO_S21	180322-190603	7143944.0	5749523.0	525595.0	7.246409832606975	6932598.0	97.04160614920833	14.260373887543455	55.51513639376265	86.30663305864954	5.0	11.0	43.0	0.49890942497025287	1.8806984421905353	8.435948316550677	9.655723390788157	18.46876688727047	55.24823537535201	24.99202107722674	1.2909766601507635	1.2016748040859255	81.93423644137003	0.21819277675631862	35.5	25.9	35.5	35.5	35.5	80.48107599947592
32151161_EXO_S19	180322-190603	8829439.0	7113544.0	648861.0	0.2537413137530326	8490109.0	96.15683397325697	13.360151154994817	48.134393856280845	86.78496982995061	6.0	12.0	33.0	6.5825562260010955	2.4706459910840124	5.890510889667778	11.792228918308846	9.637502769365032	57.71941524505928	31.296074080655185	1.3470079049205288	2.5790944643631044	65.98110993125803	0.27830183590992236	35.5	25.15	35.5	35.5	35.5	80.56620584841234
32151113_EXO_S24	180322-190603	1.1761258E7	6898060.0	614339.0	2.913862738219153	1.1420347E7	97.10140700935223	20.235258404796237	50.6423869874276	79.77092914421594	5.0	16.0	57.0	1.4166097493106677	2.243657823470321	35.77404474251222	16.23158715696898	5.9435551444899	82.14873457174916	11.081188044174729	0.8265222395862023	1.6911806020553792	75.24798797513401	0.0714035698316456	35.5	22775	35.3	35.5	35.5	58.65069876028568
32140243_EXO_S2	180322-190603	1.6107843E7	1.2815834E7	800102.0	49.01024779191082	1.5625861E7	97.0077806196646	15.299127773610303	61.0040609755852	90.61028139924946	4.0	9.0	33.0	0.07122016821964741	0.09016083255131693	13.500419993200014	1.6850293037875304	63.81345919430605	28.874702965097708	6.995369946271153	0.3164678943250982	1.0144298205639017	84.10407804690988	0.2726429004861003	35.5	19375	35.0	35.5	35.5	79.56269501757622
32150300_EXO_S4	180322-190603	1.1648607E7	9214027.0	963203.0	24.4879681815559	1.1216206E7	96.2879595817766	15.819107989492764	59.08673963940069	89.91500209526279	4.0	8.0	37.0	0.17528195833630378	0.12819762780977034	7.879107470564263	3.76876666114914	16.27749734182459	76.74045235595685	6.768614852116236	0.21343545010232773	1.0380149167377042	82.6698790437178	0.2894057669592594	35.5	20075	35.2	35.5	35.5	79.09981854482686
32151662_EXO_S25	180322-190603	1.1047381E7	7570080.0	623281.0	6.903784372159839	1.0693676E7	96.79829092524282	19.64664418167546	64.3696424587605	89.18723972513756	3.0	9.0	37.0	0.46975288149112804	0.8037578135826872	25.572981475943525	17.422591131112586	16.739862722718918	58.699247564094435	22.721847061061467	1.8390426521252081	1.2709562379342891	80.27411157796006	0.12425173137055459	35.5	22.7375	35.3	35.5	35.5	68.52375237171597
32150296_EXO_S34	180322-190603	1.4830338E7	1.0947154E7	714948.0	2.2736685717584773	1.4366548E7	96.87269433778246	11.469398347624534	51.57361147199999	87.05678133883524	5.0	11.0	38.0	0.6625273252123643	0.42863609564796884	2.875427551896906	6.396180794004447	6.873010099245886	66.23094915810995	26.089356192486196	0.8066845501579681	1.196458043761248	81.87636094329218	0.17525469122806087	35.5	28825	35.5	35.5	35.5	73.81594404658883
32151649_EXO_S7	180322-190603	1.6123991E7	1.3154249E7	1087261.0	14.278542241369848	1.562479E7	96.90398611609247	14.085479312593137	58.01127121106679	88.17687816078532	5.0	10.0	39.0	0.1909975074771922	0.3247953004601164	4.323367647926505	8.230428453776053	16.532019425814426	61.733338026366994	20.96540060933923	0.769241938479346	1.0640153634722678	85.65218502808911	0.16310765318634432	35.5	27.0	35.5	35.5	35.5	81.5818428576399
