name	180322-190603	180626-180628-190531	180726-190530	180913-190529	180919-190527	181003-190524	181004-190521	181023-190319
Hsa-Mir-124-P3-v1_5p*	327	11	1062	281	637	904	1428	1181
Hsa-Mir-124-P3-v2_3p	73924	199	237317	129785	392558	288643	409002	383121
Hsa-Mir-124-P3-v2_5p*	327	11	1062	281	637	904	1428	1181
Hsa-Mir-1247_3p*	1	2				29	1	
Hsa-Mir-1247_5p	90	22	685	111	308	449	759	878
Hsa-Mir-1249_3p	933	34	4782	1413	2683	4470	4798	5180
Hsa-Mir-1249_5p*		40			1			41
Hsa-Mir-1251_3p*		1			5	27	8	
Hsa-Mir-1251_5p	29	2	109	81	73	19	98	2
Hsa-Mir-1252_3p*			14			15		
Hsa-Mir-1252_5p		3	23	11	1	42	20	42
Hsa-Mir-126-v1_3p*	16079	89	73726	27528	98197	82201	131417	81746
Hsa-Mir-126-v1_5p	1643	13	13555	4830	13369	11117	12864	10383
Hsa-Mir-126-v2_3p	16079	96	73726	27529	98197	82201	131417	81809
Hsa-Mir-126-v2_5p*	1643	13	13555	4830	13369	11117	12864	10383
Hsa-Mir-126-v3_3p	16079	96	73726	27529	98204	82201	131417	81809
Hsa-Mir-126-v3_5p*	1643	13	13555	4830	13369	11117	12864	10383
Hsa-Mir-1266_5p	166	2	15	8	55	100	131	121
Hsa-Mir-1269_3p	824	15	565	203	216	349	676	959
Hsa-Mir-1269_5p*			67	2	24		11	23
Hsa-Mir-127_3p	7410	200	23612	5499	14855	25383	31231	28440
Hsa-Mir-127_5p*	220	22	2161	529	1779	2633	3226	2528
Hsa-Mir-1270_3p*		3		3		11		
Hsa-Mir-1270_5p	339	35	734	169	387	770	690	729
Hsa-Mir-1271_3p*		2						
Hsa-Mir-1271_5p	530	5	1648	626	1066	1344	1226	1584
Hsa-Mir-1276_3p*			34		16	16	9	
Hsa-Mir-1276_5p	12	2	56	14	120	54	35	80
Hsa-Mir-1277_3p*		1	27	5	6	5	7	28
Hsa-Mir-1277_5p		2						
Hsa-Mir-1278_3p	11		48	8	25	53	6	
Hsa-Mir-128-P1_3p	347721	740	962978	424361	873386	1599216	1734584	1252159
Hsa-Mir-128-P1_5p*	310	4	730	281	718	1594	1762	2243
Hsa-Mir-128-P2_3p	283663	739	794287	371992	763396	1333544	1469793	1031846
Hsa-Mir-128-P2_5p*	72	9	118	53	175	291	268	143
Hsa-Mir-1286_3p		1		11	4	9	25	21
Hsa-Mir-1286_5p*		3	18			1	31	
Hsa-Mir-1287_3p*				2	19		18	
Hsa-Mir-1287_5p	21	14	285	31	286	135	244	224
Hsa-Mir-129-P1_3p*	692	13	2925	829	2697	3528	3597	4961
Hsa-Mir-129-P1_5p	19919	223	48125	18806	59038	98560	99491	116239
Hsa-Mir-129-P2_3p*	433	11	2708	1104	2237	2611	2938	2960
Hsa-Mir-129-P2_5p	19850	223	47902	18795	59047	98385	99248	115998
Hsa-Mir-1294_5p	34		35	6	65	110	37	23
Hsa-Mir-1295_3p		1		15	47	114	9	67
Hsa-Mir-1295_5p*		1	1					
Hsa-Mir-1296_3p*		1						
Hsa-Mir-1296_5p	258	11	1490	359	669	876	1297	1229
Hsa-Mir-1298_3p*	39	7	310	113	215	616	523	1073
Hsa-Mir-1298_5p		1	199	71	71	256	243	277
Hsa-Mir-130-P1a_3p	678	7	1391	898	1598	1386	1411	1186
Hsa-Mir-130-P1a_5p*			18	6	29	128	29	15
Hsa-Mir-130-P1b_3p	42	5	537	391	809	908	878	939
Hsa-Mir-130-P1b_5p*	3257	16	4814	1637	3090	6403	5938	5705
Hsa-Mir-130-P2a_3p	56	9	88	79	68	83	36	89
Hsa-Mir-130-P2a_5p*	20		168	44	120	265	213	171
Hsa-Mir-130-P2b_3p				2	14	6	3	
