name	pre-microRNA	RC_adj	UR	32151565_EXO_S2332151565_EXO_S23(total)	RPM (lib)	arm	isoString_RC_adj
hsa-miR-30a-5p	hsa-mir-30a	14537.5	244.0	11659.765048215084	155701.09673549826	5p	mlv3p_2.0|NucVar_49.5|canonical_3087.0|nta#G_13.0|nta#C_11.0|nta#A_796.0|mv_674.0|lv5p_200.0|nta#C#1_11.0|lv5p#1_5.0|nta#T#2_3.0|lv5pT_195.0|nta#T#1_204.5|nta#UA_3.0|mlv5p_2.0|lv5p#-3_34.0|lv5p#-2_34.0|lv5p#-1_127.0|lv3p#3_1.0|lv3p#2_3352.5|lv3p#1_3929.5|lv5pE_5.0|nta#A#3_13.0|nta#A#2_26.0|nta#A#1_757.0|lv3pT_2212.5|mlv5p#1_2.0|total_14537.5|lv3pE_7283.0|mlv3p#2_2.0|nta#G#2_2.0|nta#G#1_11.0|lv3p_9495.5|lv3p#-3_185.0|lv3p#-2_89.0|lv3p#-1_1938.5|nta#T_207.5
hsa-miR-30d-5p	hsa-mir-30d	6694.0	146.0	5368.905742579657	71694.79907462942	5p	lv5p#-2_15.0|lv5p_65.0|nta#A#1_418.5|lv5p#-1_31.0|canonical_1467.0|lv3pE_3285.0|nta#C#1_6.0|nta#G_12.0|mlv5p#1_1.0|mlv5p_1.0|nta#C_6.0|nta#G#2_2.0|nta#G#1_10.0|lv3p_4350.0|nta#A_444.5|lv3p#2_1555.0|lv3p#1_1730.0|nta#T#2_2.0|NucVar_25.5|nta#T#1_138.0|mv_183.0|lv3p#-3_152.0|lv3pT_1065.0|lv3p#-2_105.0|lv3p#-1_808.0|lv5pT_65.0|nta#T_140.0|nta#A#3_2.0|lv5p#-3_19.0|nta#A#2_24.0|total_6694.0
hsa-let-7b-5p	hsa-let-7b	6148.5	139.0	4931.388849454888	65852.32627881072	5p	mlv3p_2.0|NucVar_57.0|canonical_2771.0|nta#G_25.0|nta#C_3.0|nta#A_739.5|mv_30.0|lv5p_60.0|nta#T#5_1.0|nta#C#1_3.0|lv5p#1_4.0|nta#T#3_1.0|nta#T#2_19.0|lv5pT_56.0|nta#T#1_265.0|nta#UA_4.0|mlv5p_1.0|lv5p#-3_6.0|lv5p#-2_8.0|lv5p#-1_42.0|lv3p#2_2.0|lv3p#1_1075.0|lv5pE_4.0|nta#A#3_16.0|nta#A#2_217.0|nta#A#1_506.5|lv3pT_1097.0|mlv5p#1_1.0|total_6148.5|nta#AU_2.0|lv3pE_1077.0|mlv3p#3_2.0|nta#G#1_25.0|lv3p_2174.0|lv3p#-3_7.0|lv3p#-2_236.0|lv3p#-1_854.0|nta#T_286.0
hsa-miR-10a-5p	hsa-mir-10a	5689.0	127.0	4562.848038472613	60930.93993659498	5p	lv5p#-2_20.0|lv5p_527.0|nta#A#1_391.5|lv5p#-1_490.0|canonical_787.0|lv3pE_154.0|nta#C#1_4.0|nta#AU_2.0|nta#G_1.0|mlv5p#1_1.0|mlv5p_1.0|nta#C_4.0|nta#G#1_1.0|lv3p_3167.5|nta#A_409.5|lv3p#1_154.0|NucVar_18.5|nta#T#1_9.0|mv_764.5|lv3p#-4_5.0|lv3p#-3_23.0|lv3pT_3013.5|lv3p#-2_184.0|lv3p#-1_2801.5|lv5pT_527.0|nta#T_9.0|lv5p#-4_3.0|lv5p#-3_14.0|nta#A#2_18.0|total_5689.0
hsa-miR-10b-5p	hsa-mir-10b	3796.5	97.0	3044.9732076043724	40661.682803530115	5p	lv5p#-2_15.0|lv5p_119.0|nta#A#1_165.5|lv5p#-1_102.0|canonical_432.0|lv3pE_46.0|nta#C#1_3.0|mlv5p#1_1.0|mlv5p_1.0|nta#C_3.0|lv3p_2736.5|nta#A_168.5|lv3p#1_46.0|NucVar_17.5|nta#T#1_9.0|mv_310.0|lv3p#-4_2.0|lv3p#-3_19.0|lv3pT_2690.5|lv3p#-2_174.0|lv3p#-1_2495.5|lv5pT_119.0|nta#T_9.0|lv5p#-4_2.0|nta#A#2_3.0|total_3796.5
hsa-miR-21-5p	hsa-mir-21	3275.0	74.0	2626.7054536821597	35076.257390112245	5p	lv5p#-2_21.0|lv5p_64.0|nta#A#1_218.0|lv5p#-1_40.0|canonical_1208.0|lv3pE_1015.0|nta#C#2_1.0|nta#C#1_1.0|nta#G_8.0|mlv5p#1_6.0|mlv5p_6.0|nta#C_2.0|nta#G#1_8.0|lv3p_1642.0|nta#A_224.0|lv3p#2_33.0|lv3p#1_982.0|NucVar_20.0|nta#T#1_5.0|mv_96.0|lv3p#-3_11.0|lv3pT_627.0|lv3p#-2_63.0|lv3p#-1_553.0|lv5pT_64.0|nta#T_5.0|nta#A#3_2.0|lv5p#-3_3.0|nta#A#2_4.0|total_3275.0
hsa-miR-26a-5p	hsa-mir-26a-2	3033.5	97.0	2433.0109904564374	32489.718104703967	5p	mlv3p_9.0|NucVar_40.0|canonical_2286.0|nta#G_2.0|nta#C_1.5|nta#A_201.5|mv_11.5|lv5p_122.5|nta#C#1_1.5|lv5p#1_4.0|nta#T#3_2.0|nta#T#2_7.5|lv5pT_118.5|nta#T#1_124.0|mlv5p_5.5|lv5p#-3_1.0|lv5p#-2_30.0|lv5p#-1_87.5|lv3p#2_1.0|lv3p#1_5.5|lv5pE_4.0|nta#A#3_0.5|nta#A#2_16.0|nta#A#1_185.0|lv3pT_214.0|mlv5p#3_1.0|mlv5p#2_1.0|mlv5p#1_3.5|total_3033.5|lv3pE_6.5|mlv3p#2_9.0|nta#G#1_2.0|lv3p_220.5|lv3p#-3_10.5|lv3p#-2_28.0|lv3p#-1_175.5|nta#T_133.5
hsa-miR-26a-5p	hsa-mir-26a-1	3026.5	93.0	2427.396658189025	32414.745951503726	5p	lv5p#-2_30.0|nta#A#1_185.0|lv5p_119.5|lv5p#-1_87.5|canonical_2286.0|lv3pE_6.5|nta#C#1_1.5|lv5pE_1.0|nta#G_2.0|mlv5p#1_3.5|mlv5p_3.5|nta#C_1.5|nta#G#1_2.0|lv3p_220.5|nta#A_201.5|lv3p#2_1.0|lv3p#1_5.5|NucVar_40.0|nta#T#2_7.5|nta#T#1_124.0|mv_11.5|mlv3p_9.0|lv3p#-3_10.5|lv3pT_214.0|lv5p#1_1.0|lv3p#-2_28.0|lv3p#-1_175.5|lv5pT_118.5|mlv3p#2_9.0|nta#T_131.5|nta#A#3_0.5|lv5p#-3_1.0|nta#A#2_16.0|total_3026.5
hsa-miR-125a-5p	hsa-mir-125a	2332.0	63.0	1870.3746925150524	24976.437323279926	5p	lv5p#-2_8.0|lv5p_15.0|nta#A#1_40.0|lv5p#-1_3.0|canonical_115.0|nta#C#1_3.0|nta#C_3.0|lv3p_2012.0|nta#A_43.0|nta#T#1_41.0|mv_103.0|lv3p#-5_3.0|lv3p#-4_40.0|lv3p#-3_78.0|lv3pT_2012.0|lv3p#-2_1512.0|lv3p#-1_379.0|lv5pT_15.0|nta#T_41.0|lv5p#-3_4.0|total_2332.0|nta#A#2_3.0
hsa-let-7a-5p	hsa-let-7a-3	2212.000000000004	95.0	1774.1289965022745	23691.20041127586	5p	lv5p#-2_10.0|nta#A#1_102.66666666666666|lv5p_33.666666666666664|lv5p#-1_12.0|canonical_1420.3333333333333|lv3pE_55.91666666666667|nta#C#1_1.6666666666666665|lv5pE_8.0|nta#G_3.3333333333333335|mlv5p#1_0.5|mlv5p_0.5|nta#C_1.6666666666666665|nta#G#1_3.3333333333333335|lv3p_589.0833333333337|nta#A_113.66666666666664|lv3p#1_55.91666666666667|nta#T#3_0.6666666666666666|nta#T#2_0.6666666666666666|NucVar_21.583333333333314|nta#T#1_1.0|mv_25.833333333333332|lv3p#-3_6.333333333333334|lv3pT_533.166666666667|lv5p#1_8.0|lv3p#-2_64.25|lv3p#-1_462.58333333333326|lv5pT_25.666666666666664|nta#T_2.333333333333333|nta#A#3_0.6666666666666666|lv5p#-3_3.6666666666666665|total_2212.000000000004|nta#A#2_10.333333333333336
