name	unique reads 180626-180628-190531_Brain_S32 180626-180628-190531_Brain_S32	180626-180628-190531_Brain_S32	180626-180628-190531_Brain_S32 (mult. map. adj.)	180626-180628-190531_Brain_S32180626-180628-190531_Brain_S32(lib)	180626-180628-190531_Brain_S32180626-180628-190531_Brain_S32(total)	coordinateString 180626-180628-190531_Brain_S32 180626-180628-190531_Brain_S32	180626-180628-190531_Brain_S32 (lib)	180626-180628-190531_Brain_S32 (total)
NR_030583:vault_RNA 	4.0	56.0	56.0	823529.4117647059	5.37418017361289	5:hsa;NR_030583:vault_RNA ,136080548,136080597,-	823529.4117647059	5.37418017361289
NR_026703:vault_RNA 	3.0	12.0	12.0	176470.58823529413	1.1516100372027622	5:hsa;NR_026703:vault_RNA ,140711276,140711325,+	176470.58823529413	1.1516100372027622
