name	pre-microRNA	RC_adj	UR	32170447_EXO_S2832170447_EXO_S28(total)	RPM (lib)	arm	isoString_RC_adj
hsa-miR-30a-5p	hsa-mir-30a	359029.0	1041.0	37112.46960951325	154102.1997063281	5p	mlv3p_239.0|NucVar_1315.5|canonical_53614.0|nta#G_462.0|nta#C_367.5|nta#A_31017.0|mv_10290.0|lv5p_1872.5|nta#C#2_45.5|nta#C#1_322.0|lv5p#1_27.0|nta#T#2_119.0|lv5pT_1845.5|nta#T#1_7997.0|nta#UA_3.0|mlv5p_81.0|lv5p#-3_175.0|lv5p#-2_313.0|lv5p#-1_1357.5|lv3p#3_61.5|lv3p#2_134916.5|lv3p#1_82779.0|lv5pE_27.0|nta#A#4_3.0|nta#A#3_65.0|nta#A#2_1172.5|nta#A#1_29776.5|lv3pT_33897.5|mlv5p#1_81.0|total_359029.0|nta#AU_23.0|lv3pE_217757.0|mlv3p#2_239.0|nta#G#2_105.0|nta#G#1_357.0|lv3p_251654.5|lv3p#-3_2868.0|lv3p#-2_2198.0|lv3p#-1_28831.5|nta#T_8116.0
hsa-miR-10b-5p	hsa-mir-10b	300510.0	908.0	31063.418950432497	128984.71163540734	5p	NucVar_1240.0|canonical_37652.0|nta#G_232.0|nta#C_395.0|nta#A_13294.5|mv_13763.0|lv5p_7797.5|nta#C#1_395.0|lv5p#1_133.0|nta#T#2_67.0|lv5pT_7664.5|nta#T#1_723.0|lv5p#-4_38.0|nta#UA_3.0|mlv5p_9.0|lv5p#-3_126.5|lv5p#-2_327.0|lv5p#-1_7173.0|lv3p#1_4349.5|lv5pE_133.0|nta#A#3_40.0|nta#A#2_683.0|nta#A#1_12571.5|lv3pT_220987.5|mlv5p#1_9.0|total_300510.0|nta#AU_3.0|lv3pE_4349.5|nta#G#3_1.0|nta#G#2_37.0|nta#G#1_194.0|lv3p_225337.0|lv3p#-4_354.5|lv3p#-3_1192.0|lv3p#-2_15847.5|lv3p#-1_203593.5|nta#T_790.0
hsa-miR-10a-5p	hsa-mir-10a	227562.0	984.0	23522.85695383954	97674.01733445331	5p	NucVar_1226.0|canonical_37955.0|nta#G_195.0|nta#C_255.0|nta#A_16146.5|mv_17782.0|lv5p_14697.5|nta#C#1_255.0|lv5p#1_162.0|nta#T#2_28.0|lv5pT_14535.5|nta#T#1_970.0|lv5p#-4_18.0|nta#UA_2.0|mlv5p_36.0|lv5p#-3_233.5|lv5p#-2_328.0|lv5p#-1_13956.0|lv3p#2_62.0|lv3p#1_4322.5|lv5pE_162.0|nta#A#3_86.0|nta#A#2_1334.0|nta#A#1_14726.5|lv3pT_133886.5|mlv5p#1_36.0|total_227562.0|nta#AU_3.0|lv3pE_4384.5|nta#G#2_37.0|nta#G#1_158.0|lv3p_138271.0|lv3p#-4_300.5|lv3p#-3_1054.0|lv3p#-2_9190.5|lv3p#-1_123341.5|nta#T_998.0
hsa-miR-30d-5p	hsa-mir-30d	177869.5	825.0	18386.192795594	76345.03399631988	5p	mlv3p_122.5|NucVar_558.0|canonical_21676.0|nta#G_260.5|nta#C_163.5|nta#A_14080.0|mv_4039.5|lv5p_554.0|nta#C#2_12.5|nta#C#1_151.0|nta#T#2_85.0|lv5pT_554.0|nta#T#1_6358.0|nta#UA_2.0|mlv5p_106.0|lv5p#-3_29.0|lv5p#-2_76.0|lv5p#-1_449.0|lv3p#3_68.5|lv3p#2_73713.0|lv3p#1_40157.5|nta#A#3_4.0|nta#A#2_511.5|nta#A#1_13564.5|lv3pT_15927.5|mlv5p#1_106.0|total_177869.5|nta#AU_11.0|lv3pE_113939.0|mlv3p#3_1.0|mlv3p#2_121.5|nta#G#2_52.0|nta#G#1_208.5|lv3p_129866.5|lv3p#-3_865.5|lv3p#-2_2106.0|lv3p#-1_12956.0|nta#T_6443.0
hsa-let-7b-5p	hsa-let-7b	120835.08333333334	750.0	12490.602034853273	51864.75784230281	5p	mlv3p_227.0|NucVar_1184.25|canonical_46756.0|nta#G_785.0|nta#C_405.0|nta#A_17725.5|mv_708.0|lv5p_623.25|nta#T#6_2.0|nta#T#5_2.0|nta#T#4_7.0|nta#C#1_405.0|nta#T#3_123.0|nta#T#2_1162.25|lv5pT_623.25|nta#T#1_9736.083333333332|nta#UA_239.0|mlv5p_56.0|lv5p#-3_34.0|lv5p#-2_48.0|lv5p#-1_541.25|lv3p#2_101.0|lv3p#1_30591.5|nta#A#4_13.0|nta#A#3_593.5|nta#A#2_5369.0|nta#A#1_11750.0|lv3pT_10640.25|mlv5p#1_56.0|total_120835.08333333334|nta#AU_9.0|lv3pE_30692.5|mlv3p#3_186.0|mlv3p#2_41.0|nta#G#1_785.0|lv3p_41332.75|lv3p#-3_155.0|lv3p#-2_2198.25|lv3p#-1_8287.0|nta#T_11032.333333333332
hsa-let-7f-5p	hsa-let-7f-2	78858.94999999994	435.0	8151.571002100452	33847.78851160027	5p	mlv3p_109.0|NucVar_1268.3000000000002|canonical_55371.0|nta#G_49.5|nta#C_168.16666666666669|nta#A_4911.966666666666|mv_390.7|lv5p_1035.2333333333333|lv5p#2_51.0|nta#C#1_168.16666666666669|lv5p#1_202.5|nta#T#3_69.0|nta#T#2_1.0|lv5pT_781.7333333333335|nta#T#1_0.5|mlv5p_139.0|lv5p#-3_32.7|lv5p#-2_175.83333333333334|lv5p#-1_573.2|lv3p#2_49.0|lv3p#1_4371.05|lv5pE_253.5|nta#A#3_35.5|nta#A#2_580.5333333333334|nta#A#1_4295.9333333333325|lv3pT_10925.533333333335|mlv5p#2_30.0|mlv5p#1_109.0|total_78858.94999999994|nta#AU_0.5|lv3pE_4420.05|mlv3p#2_109.0|nta#G#2_0.3333333333333333|nta#G#1_49.166666666666664|lv3p_15345.583333333336|lv3p#-3_149.5|lv3p#-2_948.8666666666667|lv3p#-1_9827.166666666668|nta#T_70.5
hsa-let-7a-5p	hsa-let-7a-1	77896.09999999945	568.0	8052.0421580139355	33434.51464517914	5p	mlv3p_141.0|NucVar_1305.2499999999989|canonical_53213.333333333336|nta#G_124.49999999999994|nta#C_111.6666666666666|nta#A_5016.166666666658|mv_358.19999999999993|lv5p_939.0166666666674|lv5p#3_41.0|nta#T#5_1.0|nta#T#4_1.5833333333333333|nta#C#1_111.6666666666666|lv5p#1_324.0|nta#T#3_27.749999999999996|nta#T#2_7.916666666666667|lv5pT_574.0166666666668|nta#T#1_23.916666666666664|mlv5p_100.75|lv5p#-3_56.366666666666674|lv5p#-2_93.58333333333331|lv5p#-1_424.0666666666665|lv3p#2_231.0|lv3p#1_3867.2166666666685|lv5pE_365.0|nta#A#3_37.0|nta#A#2_602.9500000000003|nta#A#1_4376.21666666666|lv3pT_12425.833333333341|mlv5p#2_59.0|mlv5p#1_41.75|total_77896.09999999945|nta#AU_1.2000000000000002|lv3pE_4098.216666666666|mlv3p#2_141.0|nta#G#2_5.0|nta#G#1_119.49999999999994|lv3p_16524.04999999997|lv3p#-3_190.08333333333334|lv3p#-2_1328.483333333333|lv3p#-1_10907.266666666668|nta#T_62.16666666666668
hsa-let-7a-5p	hsa-let-7a-2	77549.43333333278	549.0	8016.207570470037	33285.71859834672	5p	NucVar_1305.2499999999989|canonical_53213.333333333336|nta#G_124.49999999999994|nta#C_111.6666666666666|nta#A_5469.666666666658|mv_177.70000000000002|lv5p_721.0166666666674|nta#T#4_1.5833333333333333|nta#C#1_111.6666666666666|lv5p#1_147.0|nta#T#3_27.749999999999996|nta#T#2_7.916666666666667|lv5pT_574.0166666666668|nta#T#1_24.25|mlv5p_41.75|lv5p#-3_56.366666666666674|lv5p#-2_93.58333333333331|lv5p#-1_424.0666666666665|lv3p#2_30.0|lv3p#1_3867.2166666666685|lv5pE_147.0|nta#A#3_37.0|nta#A#2_1119.9499999999998|nta#A#1_4312.71666666666|lv3pT_12425.833333333341|mlv5p#1_41.75|total_77549.43333333278|nta#AU_1.2000000000000002|lv3pE_3897.2166666666685|nta#G#2_5.0|nta#G#1_119.49999999999994|lv3p_16323.050000000017|lv3p#-3_190.08333333333334|lv3p#-2_1328.483333333333|lv3p#-1_10907.266666666668|nta#T_61.50000000000001
hsa-let-7a-5p	hsa-let-7a-3	77394.09999999945	549.0	8000.150918743638	33219.04652351605	5p	mlv3p_1.0|NucVar_1305.2499999999989|canonical_53213.333333333336|nta#G_124.49999999999994|nta#C_111.6666666666666|nta#A_4900.666666666658|mv_579.7000000000002|lv5p_762.0166666666674|nta#T#4_1.5833333333333333|nta#C#1_111.6666666666666|lv5p#1_188.0|nta#T#3_27.749999999999996|nta#T#2_7.916666666666667|lv5pT_574.0166666666668|nta#T#1_23.916666666666664|mlv5p_41.75|lv5p#-3_56.366666666666674|lv5p#-2_93.58333333333331|lv5p#-1_424.0666666666665|lv3p#1_3867.2166666666685|lv5pE_188.0|nta#A#3_8.0|nta#A#2_602.9500000000003|nta#A#1_4289.716666666659|lv3pT_12425.833333333341|mlv5p#1_41.75|total_77394.09999999945|nta#AU_1.2000000000000002|lv3pE_3867.2166666666685|mlv3p#2_1.0|nta#G#2_5.0|nta#G#1_119.49999999999994|lv3p_16293.050000000017|lv3p#-3_190.08333333333334|lv3p#-2_1328.483333333333|lv3p#-1_10907.266666666668|nta#T_61.16666666666668
hsa-let-7f-5p	hsa-let-7f-1	74728.89999999994	392.0	7724.651853199471	32075.091069618924	5p	mlv3p_109.0|NucVar_1268.3000000000002|canonical_55371.0|nta#G_51.5|nta#C_168.16666666666669|nta#A_4948.966666666666|mv_131.7|lv5p_855.2333333333335|nta#C#1_168.16666666666669|lv5p#1_73.5|nta#T#3_69.0|nta#T#2_1.0|lv5pT_781.7333333333335|nta#T#1_0.5|mlv5p_139.0|lv5p#-3_32.7|lv5p#-2_175.83333333333334|lv5p#-1_573.2|lv3p#1_690.0|lv5pE_73.5|nta#A#3_35.5|nta#A#2_580.5333333333334|nta#A#1_4332.933333333333|lv3pT_10925.533333333335|mlv5p#2_30.0|mlv5p#1_109.0|total_74728.89999999994|nta#AU_0.5|lv3pE_690.0|mlv3p#2_109.0|nta#G#2_1.3333333333333333|nta#G#1_50.166666666666664|lv3p_11615.533333333335|lv3p#-3_149.5|lv3p#-2_948.8666666666667|lv3p#-1_9827.166666666668|nta#T_70.5
