name	pre-microRNA	RC_adj	UR	181023-190319_Brain_S29181023-190319_Brain_S29(total)	RPM (lib)	arm	isoString_RC_adj
hsa-miR-9-5p	hsa-mir-9-1	1225683.999999952	2758.0	45457.328688961265	47526.37996683045	5p	mlv3p_233.00000000000006|NucVar_9921.333333333367|canonical_294194.0|nta#G_1831.4999999999977|nta#C_1888.4999999999939|nta#A_47288.166666667006|mv_40449.33333333352|lv5p_52995.8333333334|nta#C#2_3.333333333333334|nta#T#4_0.3333333333333333|nta#C#1_1885.1666666666606|nta#T#3_40.66666666666667|lv5p#1_3599.5|nta#T#2_1701.3333333333312|lv5pT_49396.3333333334|nta#T#1_52543.500000000226|lv5p#-4_459.99999999999983|nta#UA_74.66666666666664|mlv5p_1018.1666666666667|lv5p#-3_2409.9999999999995|lv5p#-2_11531.333333333338|lv5p#-1_34995.00000000004|lv3p#2_49.333333333333336|lv3p#1_468.6666666666665|lv5pE_3599.5|nta#A#4_9.166666666666666|nta#A#3_270.5000000000001|nta#A#2_6629.999999999985|nta#A#1_40378.500000000044|lv3pT_721060.3333333357|mlv5p#2_763.5|mlv5p#1_254.66666666666669|total_1225683.999999952|nta#AU_10.5|lv3pE_518.0000000000009|mlv3p#2_233.00000000000006|nta#G#3_2.3333333333333335|nta#G#2_166.66666666666669|nta#G#1_1662.499999999998|lv3p_721578.333333336|lv3p#-4_7906.666666666664|lv3p#-3_13616.333333333336|lv3p#-2_414188.9999999999|lv3p#-1_285348.33333333256|nta#T_54285.83333333364
hsa-miR-9-5p	hsa-mir-9-2	1225683.999999952	2758.0	45457.328688961265	47526.37996683045	5p	mlv3p_233.00000000000006|NucVar_9921.333333333367|canonical_294194.0|nta#G_1831.4999999999977|nta#C_1888.4999999999939|nta#A_47288.166666667006|mv_40449.33333333352|lv5p_52995.8333333334|nta#C#2_3.333333333333334|nta#T#4_0.3333333333333333|nta#C#1_1885.1666666666606|nta#T#3_40.66666666666667|lv5p#1_3599.5|nta#T#2_1701.3333333333312|lv5pT_49396.3333333334|nta#T#1_52543.500000000226|lv5p#-4_459.99999999999983|nta#UA_74.66666666666664|mlv5p_1018.1666666666667|lv5p#-3_2409.9999999999995|lv5p#-2_11531.333333333338|lv5p#-1_34995.00000000004|lv3p#2_49.333333333333336|lv3p#1_468.6666666666665|lv5pE_3599.5|nta#A#4_9.166666666666666|nta#A#3_270.5000000000001|nta#A#2_6629.999999999985|nta#A#1_40378.500000000044|lv3pT_721060.3333333357|mlv5p#2_763.5|mlv5p#1_254.66666666666669|total_1225683.999999952|nta#AU_10.5|lv3pE_518.0000000000009|mlv3p#2_233.00000000000006|nta#G#3_2.3333333333333335|nta#G#2_166.66666666666669|nta#G#1_1662.499999999998|lv3p_721578.333333336|lv3p#-4_7906.666666666664|lv3p#-3_13616.333333333336|lv3p#-2_414188.9999999999|lv3p#-1_285348.33333333256|nta#T_54285.83333333364
hsa-miR-9-5p	hsa-mir-9-3	1211755.999999952	2532.0	44940.77656461284	46986.31627979689	5p	mlv3p_233.00000000000006|NucVar_9921.333333333367|canonical_294194.0|nta#G_1820.9999999999977|nta#C_1858.9999999999939|nta#A_46894.666666667006|mv_31051.33333333324|lv5p_49801.3333333334|nta#C#2_3.333333333333334|nta#T#4_0.3333333333333333|nta#C#1_1855.6666666666606|lv5p#1_405.0|nta#T#3_40.66666666666667|nta#T#2_1716.3333333333312|lv5pT_49396.3333333334|nta#T#1_52332.000000000226|lv5p#-4_459.99999999999983|nta#UA_73.66666666666664|mlv5p_312.66666666666663|lv5p#-3_2409.9999999999995|lv5p#-2_11531.333333333338|lv5p#-1_34995.00000000004|lv3p#2_49.333333333333336|lv3p#1_468.6666666666665|lv5pE_405.0|nta#A#4_8.666666666666666|nta#A#3_270.0000000000001|nta#A#2_6603.999999999985|nta#A#1_40012.000000000044|lv3pT_721060.3333333357|mlv5p#2_58.0|mlv5p#1_254.66666666666669|total_1211755.999999952|nta#AU_10.0|lv3pE_518.0000000000009|mlv3p#2_233.00000000000006|nta#G#3_2.3333333333333335|nta#G#2_165.66666666666669|nta#G#1_1652.999999999998|lv3p_721578.333333336|lv3p#-4_7906.666666666664|lv3p#-3_13616.333333333336|lv3p#-2_414188.9999999999|lv3p#-1_285348.33333333256|nta#T_54089.33333333364
hsa-let-7a-5p	hsa-let-7a-1	1126452.1166666453	1915.0	41777.0845664085	43678.62459748312	5p	mlv3p_3946.5|NucVar_18966.233333333294|canonical_735870.3333333334|nta#G_3584.183333333338|nta#C_1924.4499999999978|nta#A_62489.70000000013|mv_12482.88333333337|lv5p_32871.64999999999|nta#T#5_1.0|nta#C#2_1.6666666666666665|nta#T#4_10.583333333333334|lv5p#2_98.5|nta#C#1_1922.7833333333313|lv5p#1_21678.5|nta#T#3_420.9499999999998|nta#T#2_81.64999999999998|lv5pT_11094.649999999998|nta#T#1_636.8333333333335|mlv5p_8599.75|lv5p#-3_1231.366666666667|lv5p#-2_1435.1|lv5p#-1_8428.18333333333|lv3p#2_2327.0|lv3p#1_38909.233333333395|lv5pE_21777.0|nta#A#4_45.66666666666667|nta#A#3_513.35|nta#A#2_4828.983333333327|nta#A#1_57101.700000000055|lv3pT_203329.18333333344|mlv5p#3_260.0|mlv5p#2_7903.0|mlv5p#1_436.75|total_1126452.1166666453|nta#AU_10.4|lv3pE_41236.233333333395|mlv3p#3_3.5|mlv3p#2_3943.0|nta#G#2_55.666666666666664|nta#G#1_3528.5166666666714|lv3p_244565.416666667|lv3p#-3_3553.4333333333334|lv3p#-2_20518.63333333333|lv3p#-1_179257.11666666676|nta#T_1151.0166666666653
hsa-let-7a-5p	hsa-let-7a-3	1088778.4499999792	1602.0	40379.86942075508	42217.81333067719	5p	mlv3p_241.0|NucVar_18966.233333333294|canonical_735870.3333333334|nta#G_3403.683333333338|nta#C_1901.9499999999978|nta#A_60356.53333333346|mv_7435.883333333315|lv5p_16753.650000000005|nta#C#2_0.6666666666666666|nta#T#4_10.583333333333334|nta#C#1_1901.2833333333313|lv5p#1_5659.0|nta#T#3_410.9499999999998|nta#T#2_80.64999999999998|lv5pT_11094.649999999998|nta#T#1_545.8333333333335|mlv5p_558.75|lv5p#-3_1231.366666666667|lv5p#-2_1435.1|lv5p#-1_8428.18333333333|lv3p#2_4.0|lv3p#1_38909.233333333395|lv5pE_5659.0|nta#A#4_30.0|nta#A#3_381.84999999999985|nta#A#2_4761.483333333327|nta#A#1_55183.200000000055|lv3pT_203329.18333333344|mlv5p#3_1.0|mlv5p#2_121.0|mlv5p#1_436.75|total_1088778.4499999792|nta#AU_10.4|lv3pE_38913.233333333395|mlv3p#2_241.0|nta#G#3_6.0|nta#G#2_8.666666666666666|nta#G#1_3389.0166666666714|lv3p_242242.416666667|lv3p#-3_3553.4333333333334|lv3p#-2_20518.63333333333|lv3p#-1_179257.11666666676|nta#T_1048.0166666666676
hsa-let-7f-5p	hsa-let-7f-2	1088330.9833333315	1322.0	40363.274083504075	42200.462634395284	5p	mlv3p_935.5|NucVar_18266.2|canonical_746324.0|nta#G_902.2333333333335|nta#C_1726.9333333333336|nta#A_65448.333333333336|mv_7484.699999999999|lv5p_25934.36666666667|nta#C#2_1.0|nta#T#4_78.0|lv5p#2_35.5|nta#C#1_1725.9333333333336|lv5p#1_11991.5|nta#T#3_570.2000000000002|nta#T#2_131.56666666666666|lv5pT_13907.366666666667|nta#T#1_207.5|mlv5p_3160.8333333333335|lv5p#-3_1840.7|lv5p#-2_1887.8666666666668|lv5p#-1_10178.8|lv3p#2_305.5|lv3p#1_45894.15|lv5pE_12027.0|nta#A#4_0.3333333333333333|nta#A#3_248.1|nta#A#2_6850.533333333334|nta#A#1_58349.36666666667|lv3pT_170960.96666666667|mlv5p#3_40.0|mlv5p#2_2268.5|mlv5p#1_852.3333333333333|total_1088330.9833333315|nta#AU_10.0|lv3pE_46199.65|mlv3p#3_252.0|mlv3p#2_683.5|nta#G#3_0.6666666666666666|nta#G#2_14.333333333333334|nta#G#1_887.2333333333335|lv3p_217160.61666666667|lv3p#-3_2695.7666666666664|lv3p#-2_14405.3|lv3p#-1_153859.90000000002|nta#T_987.2666666666669
hsa-let-7a-5p	hsa-let-7a-2	1088069.4499999792	1625.0	40353.57451436773	42190.32157636165	5p	mlv3p_340.0|NucVar_18966.233333333294|canonical_735870.3333333334|nta#G_3332.683333333338|nta#C_1993.9499999999978|nta#A_66105.86666666668|mv_4077.7166666666753|lv5p_12676.483333333332|nta#C#2_0.6666666666666666|nta#T#4_10.583333333333334|nta#C#1_1993.2833333333313|lv5p#1_1581.8333333333333|nta#T#3_411.4499999999998|nta#T#2_79.64999999999998|lv5pT_11094.649999999998|nta#T#1_638.8333333333335|mlv5p_573.25|lv5p#-3_1231.366666666667|lv5p#-2_1435.1|lv5p#-1_8428.18333333333|lv3p#2_754.0|lv3p#1_38909.233333333395|lv5pE_1581.8333333333333|nta#A#4_45.66666666666667|nta#A#3_853.3500000000004|nta#A#2_10100.483333333348|nta#A#1_55106.36666666672|lv3pT_203329.18333333344|mlv5p#3_74.0|mlv5p#2_62.5|mlv5p#1_436.75|total_1088069.4499999792|nta#AU_10.9|lv3pE_39663.233333333395|mlv3p#2_340.0|nta#G#2_1.6666666666666665|nta#G#1_3331.0166666666714|lv3p_242992.416666667|lv3p#-3_3553.4333333333334|lv3p#-2_20518.63333333333|lv3p#-1_179257.11666666676|nta#T_1140.5166666666653
hsa-let-7f-5p	hsa-let-7f-1	1033039.5000000005	1139.0	38312.66142022092	40056.513585676636	5p	mlv3p_684.5|NucVar_18266.2|canonical_746324.0|nta#G_757.2333333333335|nta#C_1676.4333333333336|nta#A_64949.0|mv_3903.7000000000007|lv5p_14779.366666666667|nta#C#2_1.0|lv5p#2_157.0|nta#C#1_1675.4333333333336|lv5p#1_715.0|nta#T#3_564.2000000000002|nta#T#2_130.5666666666667|lv5pT_13907.366666666667|nta#T#1_207.5|mlv5p_3368.8333333333335|lv5p#-3_1840.7|lv5p#-2_1887.8666666666668|lv5p#-1_10178.8|lv3p#2_286.0|lv3p#1_6181.0|lv5pE_872.0|nta#A#3_248.1|nta#A#2_6847.533333333334|nta#A#1_57853.36666666667|lv3pT_170960.96666666667|mlv5p#3_240.0|mlv5p#2_2276.5|mlv5p#1_852.3333333333333|total_1033039.5000000005|nta#AU_10.0|lv3pE_6467.0|mlv3p#3_1.0|mlv3p#2_683.5|nta#G#3_0.6666666666666666|nta#G#2_17.333333333333336|nta#G#1_739.2333333333335|lv3p_177427.96666666667|lv3p#-3_2695.7666666666664|lv3p#-2_14405.3|lv3p#-1_153859.90000000002|nta#T_902.2666666666669
hsa-miR-30d-5p	hsa-mir-30d	868806.5	1467.0	32221.700403699135	33688.31430993118	5p	mlv3p_987.0|NucVar_1412.0|canonical_47199.0|nta#G_1097.0|nta#C_790.0|nta#A_33330.5|mv_24581.0|lv5p_990.0|nta#C#2_54.0|nta#C#1_736.0|nta#T#3_1.0|lv5p#1_26.0|nta#T#2_242.0|lv5pT_964.0|nta#T#1_21766.5|nta#UA_17.5|mlv5p_224.0|lv5p#-2_241.5|lv5p#-1_722.5|lv3p#3_180.0|lv3p#2_579687.0|lv3p#1_116542.0|lv5pE_26.0|nta#A#4_8.0|nta#A#3_5.0|nta#A#2_1575.0|nta#A#1_31742.5|lv3pT_39777.5|mlv5p#1_224.0|total_868806.5|nta#AU_100.0|lv3pE_696409.0|mlv3p#2_987.0|nta#G#3_2.0|nta#G#2_98.5|nta#G#1_996.5|lv3p_736186.5|lv3p#-3_1873.0|lv3p#-2_3110.0|lv3p#-1_34794.5|nta#T_22009.5
hsa-miR-26a-5p	hsa-mir-26a-2	775264.8333333335	1462.0	28752.491139500467	30061.199333533707	5p	mlv3p_4077.8333333333335|NucVar_17315.833333333332|canonical_600233.5|nta#G_830.0|nta#C_1018.5|nta#A_42514.333333333336|mv_2253.3333333333335|lv5p_25179.5|nta#C#3_0.5|nta#C#2_14.5|nta#T#4_1.0|lv5p#2_41.0|nta#C#1_1003.5|nta#T#3_563.0|lv5p#1_9765.0|nta#T#2_5423.5|lv5pT_15373.5|nta#T#1_34196.166666666664|nta#UA_43.666666666666664|mlv5p_3103.5|lv5p#-3_663.5|lv5p#-2_2312.5|lv5p#-1_12397.5|lv3p#2_292.5|lv3p#1_1266.0|lv5pE_9806.0|nta#A#4_0.5|nta#A#3_604.5|nta#A#2_4305.0|nta#A#1_37604.333333333336|lv3pT_36996.333333333336|mlv5p#3_43.0|mlv5p#2_2185.0|mlv5p#1_875.5|total_775264.8333333335|nta#AU_44.0|lv3pE_1558.5|mlv3p#3_185.0|mlv3p#2_3892.8333333333335|nta#G#3_1.0|nta#G#2_2.5|nta#G#1_826.5|lv3p_38554.833333333336|lv3p#-3_1332.0|lv3p#-2_5764.833333333333|lv3p#-1_29899.5|nta#T_40183.666666666664
