name	pre-microRNA	RC_adj	UR	32151694_EXO_S1032151694_EXO_S10(total)	RPM (lib)	arm	isoString_RC_adj
hsa-miR-30a-5p	hsa-mir-30a	701214.5	1186.0	80078.19682064613	148925.2099553552	5p	mlv3p_172.0|NucVar_2413.0|canonical_137838.0|nta#G_675.0|nta#C_747.0|nta#A_44528.0|mv_40243.0|lv5p_10974.0|nta#C#2_43.0|nta#C#1_704.0|nta#T#3_1.0|lv5p#1_19.0|nta#T#2_71.0|lv5pT_10955.0|nta#T#1_19197.0|nta#UA_112.0|mlv5p_40.5|lv5p#-3_1811.0|lv5p#-2_2169.0|lv5p#-1_6975.0|lv3p#3_260.0|lv3p#2_191484.5|lv3p#1_192765.5|lv5pE_19.0|nta#A#4_4.0|nta#A#3_38.0|nta#A#2_1841.0|nta#A#1_42645.0|lv3pT_59805.0|mlv5p#1_40.5|total_701214.5|nta#AU_19.0|lv3pE_384510.0|mlv3p#2_172.0|nta#G#3_1.0|nta#G#2_179.0|nta#G#1_495.0|lv3p_444315.0|lv3p#-3_4357.5|lv3p#-2_3479.0|lv3p#-1_51968.5|nta#T_19269.0
hsa-let-7b-5p	hsa-let-7b	542813.5833333334	1146.0	61988.924876891266	115283.73538273292	5p	mlv3p_1411.0|NucVar_3328.25|canonical_217790.0|nta#G_3906.5|nta#C_575.25|nta#A_66931.83333333333|mv_5254.5|lv5p_3477.25|nta#T#6_1.0|nta#T#5_1.0|nta#T#4_29.0|nta#C#1_575.25|lv5p#1_1.0|nta#T#3_214.0|nta#T#2_5348.0|lv5pT_3476.25|nta#T#1_45111.5|nta#UA_378.0|mlv5p_176.5|lv5p#-3_407.0|lv5p#-2_281.0|lv5p#-1_2788.25|lv3p#2_175.0|lv3p#1_126375.75|lv5pE_1.0|nta#A#4_14.0|nta#A#3_1303.3333333333333|nta#A#2_18555.0|nta#A#1_47059.5|lv3pT_62707.25|mlv5p#1_176.5|total_542813.5833333334|nta#AU_14.0|lv3pE_126550.75|mlv3p#3_1383.0|mlv3p#2_28.0|nta#G#2_2.0|nta#G#1_3904.5|lv3p_189258.0|lv3p#-3_1355.0|lv3p#-2_16291.75|lv3p#-1_45060.5|nta#T_50704.5
hsa-miR-30d-5p	hsa-mir-30d	281682.5	825.0	32167.941016524408	59824.24130312386	5p	mlv3p_191.0|NucVar_810.5|canonical_50124.0|nta#G_559.5|nta#C_143.0|nta#A_22189.5|mv_13330.0|lv5p_2224.0|nta#C#2_15.5|nta#C#1_127.5|lv5p#1_0.5|nta#T#2_15.0|lv5pT_2223.5|nta#T#1_7552.0|nta#UA_1.0|mlv5p_19.0|lv5p#-3_318.5|lv5p#-2_509.5|lv5p#-1_1395.5|lv3p#3_3.0|lv3p#2_76381.5|lv3p#1_76516.0|lv5pE_0.5|nta#A#4_3.0|nta#A#3_42.0|nta#A#2_659.5|nta#A#1_21485.0|lv3pT_31624.5|mlv5p#1_19.0|total_281682.5|nta#AU_11.0|lv3pE_152900.5|mlv3p#2_191.0|nta#G#2_52.0|nta#G#1_507.5|lv3p_184525.0|lv3p#-3_2098.0|lv3p#-2_4119.5|lv3p#-1_25407.0|nta#T_7567.0
hsa-miR-10a-5p	hsa-mir-10a	248985.5	767.0	28433.966888144765	52879.99301688584	5p	lv5p#-2_1061.0|nta#A#1_16136.0|lv5p_20883.5|lv5p#-1_18727.0|canonical_39553.0|lv3pE_3554.5|nta#C#1_221.0|lv5pE_12.0|nta#G_130.0|nta#C_221.0|nta#G#2_9.0|nta#G#1_121.0|lv3p_141382.0|nta#A_16980.5|lv3p#1_3554.5|NucVar_856.5|nta#T#2_18.0|nta#T#1_752.5|mv_28208.5|lv3p#-4_275.0|lv3p#-3_816.0|lv3pT_137827.5|lv5p#1_12.0|lv3p#-2_9065.0|lv3p#-1_127671.5|lv5pT_20871.5|nta#T_770.5|lv5p#-4_436.5|nta#A#3_30.0|lv5p#-3_647.0|nta#A#2_814.5|total_248985.5
hsa-miR-10b-5p	hsa-mir-10b	218842.0	635.0	24991.600642348156	46478.06170159038	5p	lv5p#-2_307.0|lv5p_7678.0|nta#A#1_7335.0|lv5p#-1_7166.0|canonical_27068.0|lv3pE_2302.5|nta#C#1_77.0|nta#AU_1.0|nta#G_75.0|nta#G#3_1.0|nta#C_77.0|nta#G#2_11.0|nta#G#1_63.0|lv3p_157514.0|nta#A_7920.5|nta#UA_2.0|lv3p#1_2302.5|nta#T#2_26.0|NucVar_621.5|nta#T#1_722.5|mv_17139.5|lv3p#-4_283.0|lv3p#-3_1073.0|lv3pT_155211.5|lv3p#-2_9336.0|lv3p#-1_144519.5|lv5pT_7678.0|nta#T_748.5|lv5p#-4_81.0|nta#A#3_105.0|lv5p#-3_124.0|total_218842.0|nta#A#2_480.5
hsa-let-7a-5p	hsa-let-7a-1	196643.050000001	627.0	22456.49635213225	41763.408354378815	5p	mlv3p_139.5|NucVar_1973.1666666666663|canonical_128063.66666666667|nta#G_629.9166666666672|nta#C_260.33333333333326|nta#A_9973.050000000014|mv_1169.5666666666668|lv5p_4006.933333333335|nta#T#4_4.666666666666666|nta#C#1_260.33333333333326|lv5p#1_514.0|nta#T#3_23.416666666666668|nta#T#2_6.666666666666666|lv5pT_3492.933333333335|nta#T#1_238.63333333333335|mlv5p_27.5|lv5p#-3_425.61666666666656|lv5p#-2_307.9999999999999|lv5p#-1_2759.316666666667|lv3p#2_852.5|lv3p#1_10567.516666666674|lv5pE_514.0|nta#A#3_40.66666666666667|nta#A#2_710.0333333333334|nta#A#1_9222.350000000011|lv3pT_38706.016666666656|mlv5p#1_27.5|total_196643.050000001|nta#AU_1.2000000000000002|lv3pE_11420.016666666674|mlv3p#2_139.5|nta#G#1_629.9166666666672|lv3p_50126.03333333335|lv3p#-3_367.2499999999999|lv3p#-2_4495.833333333336|lv3p#-1_33842.93333333333|nta#T_273.38333333333327
hsa-let-7a-5p	hsa-let-7a-3	196591.71666666766	627.0	22450.634122001346	41752.50608774803	5p	lv5p#-2_307.9999999999999|nta#A#1_9204.350000000011|lv5p_4231.9333333333325|lv5p#-1_2759.316666666667|canonical_128063.66666666667|lv3pE_10567.516666666674|nta#C#1_260.33333333333326|nta#AU_1.2000000000000002|lv5pE_739.0|nta#G_630.9166666666672|mlv5p#1_27.5|mlv5p_27.5|nta#C_260.33333333333326|nta#G#2_1.0|nta#G#1_629.9166666666672|lv3p_49273.53333333335|nta#A_9954.71666666668|nta#T#4_4.666666666666666|lv3p#1_10567.516666666674|nta#T#3_23.416666666666668|nta#T#2_6.666666666666666|NucVar_1973.1666666666663|nta#T#1_252.63333333333335|mv_1888.5666666666655|lv3p#-3_367.2499999999999|lv3pT_38706.016666666656|lv5p#1_739.0|lv3p#-2_4495.833333333336|lv3p#-1_33842.93333333333|lv5pT_3492.933333333335|nta#T_287.38333333333327|nta#A#3_40.333333333333336|lv5p#-3_425.61666666666656|nta#A#2_710.0333333333334|total_196591.71666666766
hsa-let-7a-5p	hsa-let-7a-2	196356.88333333432	628.0	22423.816322473933	41702.631757609124	5p	mlv3p_227.0|NucVar_1973.1666666666663|canonical_128063.66666666667|nta#G_629.9166666666672|nta#C_260.33333333333326|nta#A_10632.550000000014|mv_1007.5666666666673|lv5p_3713.2666666666687|lv5p#3_1.0|nta#T#4_4.666666666666666|nta#C#1_260.33333333333326|lv5p#1_219.33333333333334|nta#T#3_23.416666666666668|nta#T#2_6.666666666666666|lv5pT_3492.933333333335|nta#T#1_238.63333333333335|mlv5p_27.5|lv5p#-3_425.61666666666656|lv5p#-2_307.9999999999999|lv5p#-1_2759.316666666667|lv3p#2_275.0|lv3p#1_10567.516666666674|lv5pE_220.33333333333334|nta#A#3_170.66666666666669|nta#A#2_1372.5333333333335|nta#A#1_9089.350000000011|lv3pT_38706.016666666656|mlv5p#1_27.5|total_196356.88333333432|nta#AU_1.2000000000000002|lv3pE_10842.516666666674|mlv3p#2_227.0|nta#G#1_629.9166666666672|lv3p_49548.53333333335|lv3p#-3_367.2499999999999|lv3p#-2_4495.833333333336|lv3p#-1_33842.93333333333|nta#T_273.38333333333327
hsa-miR-26a-5p	hsa-mir-26a-2	130820.99999999997	592.0	14939.665090031289	27784.001744929006	5p	mlv3p_496.0|NucVar_1625.8333333333333|canonical_94443.5|nta#G_169.5|nta#C_98.5|nta#A_8563.333333333332|mv_1072.0|lv5p_7256.333333333333|nta#T#5_8.0|nta#C#2_2.5|nta#C#1_96.0|lv5p#1_87.0|nta#T#3_64.5|nta#T#2_621.5|lv5pT_7169.333333333333|nta#T#1_5460.333333333333|nta#UA_6.833333333333333|mlv5p_91.5|lv5p#-3_529.8333333333334|lv5p#-2_1534.5|lv5p#-1_5105.0|lv3p#2_213.5|lv3p#1_214.0|lv5pE_87.0|nta#A#3_8.5|nta#A#2_1135.0|nta#A#1_7419.833333333333|lv3pT_10422.666666666668|mlv5p#1_91.5|total_130820.99999999997|nta#AU_3.0|lv3pE_427.5|mlv3p#3_58.0|mlv3p#2_438.0|nta#G#1_169.5|lv3p_10850.166666666668|lv3p#-3_225.33333333333334|lv3p#-2_1150.3333333333333|lv3p#-1_9047.0|nta#T_6154.333333333333
hsa-miR-26a-5p	hsa-mir-26a-1	130639.99999999997	586.0	14918.995018855441	27745.560635964604	5p	mlv3p_452.0|NucVar_1625.8333333333333|canonical_94443.5|nta#G_169.5|nta#C_98.5|nta#A_8563.333333333332|mv_1057.0|lv5p_7206.333333333333|nta#C#2_2.5|nta#C#1_96.0|lv5p#1_37.0|nta#T#3_0.5|nta#T#2_621.5|lv5pT_7169.333333333333|nta#T#1_5460.333333333333|nta#UA_6.833333333333333|mlv5p_91.5|lv5p#-3_529.8333333333334|lv5p#-2_1534.5|lv5p#-1_5105.0|lv3p#2_213.5|lv3p#1_214.0|lv5pE_37.0|nta#A#3_8.5|nta#A#2_1135.0|nta#A#1_7419.833333333333|lv3pT_10422.666666666668|mlv5p#1_91.5|total_130639.99999999997|nta#AU_3.0|lv3pE_427.5|mlv3p#3_14.0|mlv3p#2_438.0|nta#G#1_169.5|lv3p_10850.166666666668|lv3p#-3_225.33333333333334|lv3p#-2_1150.3333333333333|lv3p#-1_9047.0|nta#T_6082.333333333333
