name	pre-microRNA	RC_adj	UR	32140237_EXO_S3132140237_EXO_S31(total)	RPM (lib)	arm	isoString_RC_adj
hsa-miR-30a-5p	hsa-mir-30a	283602.5	811.0	25930.68485480316	173799.04448137744	5p	mlv3p_206.5|NucVar_878.5|canonical_58636.0|nta#G_166.5|nta#C_605.0|nta#A_22666.0|mv_15746.5|lv5p_4887.0|nta#C#2_20.5|nta#C#1_584.5|nta#T#3_1.0|lv5p#1_4.0|nta#T#2_27.0|lv5pT_4883.0|nta#T#1_6568.5|nta#UA_2.0|mlv5p_64.5|lv5p#-3_839.5|lv5p#-2_1017.0|lv5p#-1_3026.5|lv3p#2_74876.0|nta#A#5_1.0|lv3p#1_71078.5|lv5pE_4.0|nta#A#4_2.0|nta#A#3_4.0|nta#A#2_1069.0|nta#A#1_21590.0|lv3pT_27195.0|mlv5p#1_64.5|total_283602.5|nta#AU_48.0|lv3pE_145954.5|mlv3p#2_206.5|nta#G#2_79.5|nta#G#1_87.0|lv3p_173149.5|lv3p#-3_2207.0|lv3p#-2_1752.5|lv3p#-1_23235.5|nta#T_6596.5
hsa-let-7b-5p	hsa-let-7b	126583.58333333334	605.0	11573.942427194332	77573.73729202722	5p	mlv3p_171.0|NucVar_998.75|canonical_52279.0|nta#G_1074.0|nta#C_260.0|nta#A_17202.5|mv_870.8333333333333|lv5p_673.5|nta#T#4_7.0|nta#C#1_260.0|lv5p#1_43.0|nta#T#3_11.0|nta#T#2_675.0|lv5pT_630.5|nta#T#1_10325.0|nta#UA_13.0|mlv5p_100.5|lv5p#-3_44.0|lv5p#-2_59.0|lv5p#-1_527.5|lv3p#2_1.0|lv3p#1_27983.75|lv5pE_43.0|nta#A#4_1.0|nta#A#3_581.0|nta#A#2_4827.75|nta#A#1_11792.75|lv3pT_13950.75|mlv5p#1_100.5|total_126583.58333333334|nta#AU_4.0|lv3pE_27984.75|mlv3p#3_170.0|mlv3p#2_1.0|nta#G#2_1.0|nta#G#1_1073.0|lv3p_41935.5|lv3p#-3_102.0|lv3p#-2_3291.5|lv3p#-1_10557.25|nta#T_11018.0
hsa-miR-30d-5p	hsa-mir-30d	122357.5	566.0	11187.538093358055	74983.88267074563	5p	mlv3p_25.0|NucVar_588.0|canonical_26326.0|nta#G_92.0|nta#C_40.0|nta#A_10931.5|mv_5214.0|lv5p_1954.5|nta#C#2_16.5|nta#C#1_23.5|lv5p#1_64.5|nta#T#2_133.0|lv5pT_1890.0|nta#T#1_3603.0|mlv5p_118.0|lv5p#-3_225.5|lv5p#-2_96.0|lv5p#-1_1568.5|lv3p#2_27911.0|lv3p#1_30067.0|lv5pE_64.5|nta#A#3_23.0|nta#A#2_475.0|nta#A#1_10433.5|lv3pT_15354.5|mlv5p#2_86.0|mlv5p#1_32.0|total_122357.5|nta#AU_3.0|lv3pE_57978.0|mlv3p#2_25.0|nta#G#2_40.0|nta#G#1_52.0|lv3p_73332.5|lv3p#-3_861.0|lv3p#-2_2190.5|lv3p#-1_12303.0|nta#T_3736.0
hsa-miR-10b-5p	hsa-mir-10b	105179.0	445.0	9616.85282161949	64456.44766709319	5p	lv5p#-2_152.0|lv5p_3129.0|nta#A#1_5274.5|lv5p#-1_2800.0|canonical_12221.0|lv3pE_1635.5|nta#C#1_221.5|nta#G_12.5|nta#C_221.5|nta#G#2_2.5|nta#G#1_10.0|lv3p_76733.0|nta#A_5556.5|nta#UA_3.0|lv3p#1_1635.5|nta#T#2_9.0|NucVar_240.0|nta#T#1_254.0|mv_6802.5|lv3p#-4_194.0|lv3p#-3_438.0|lv3pT_75097.5|lv3p#-2_3137.5|lv3p#-1_71328.0|lv5pT_3129.0|nta#T_263.0|lv5p#-4_154.0|nta#A#3_30.0|lv5p#-3_23.0|nta#A#2_252.0|total_105179.0
hsa-miR-10a-5p	hsa-mir-10a	94406.0	469.0	8631.842929461296	57854.470934878635	5p	lv5p#-2_432.0|lv5p_8487.0|nta#A#1_5997.5|lv5p#-1_7710.0|canonical_15210.0|lv3pE_1405.5|nta#C#1_91.5|nta#G_49.5|nta#C_91.5|nta#G#2_7.5|nta#G#1_42.0|lv3p_54761.0|nta#A_6335.5|nta#UA_1.0|lv3p#2_27.0|lv3p#1_1378.5|nta#T#2_4.0|NucVar_450.0|nta#T#1_233.0|mv_8784.5|lv3p#-3_472.0|lv3pT_53355.5|lv3p#-2_3276.5|lv3p#-1_49607.0|lv5pT_8487.0|nta#T_237.0|lv5p#-4_159.0|nta#A#3_1.0|lv5p#-3_186.0|total_94406.0|nta#A#2_337.0
hsa-miR-26a-5p	hsa-mir-26a-2	60045.16666666667	368.0	5490.121892040673	36797.25176044542	5p	mlv3p_238.5|NucVar_691.5|canonical_43177.5|nta#G_9.0|nta#C_96.0|nta#A_4346.333333333334|mv_535.0|lv5p_3366.0|nta#C#2_1.0|nta#C#1_95.0|lv5p#1_55.0|nta#T#3_55.0|nta#T#2_127.0|lv5pT_3311.0|nta#T#1_1852.0|mlv5p_26.5|lv5p#-3_314.5|lv5p#-2_515.0|lv5p#-1_2481.5|lv3p#2_0.5|lv3p#1_102.0|lv5pE_55.0|nta#A#3_25.5|nta#A#2_517.0|nta#A#1_3803.8333333333335|lv3pT_5422.333333333333|mlv5p#2_8.0|mlv5p#1_18.5|total_60045.16666666667|nta#AU_4.0|lv3pE_102.5|mlv3p#3_98.0|mlv3p#2_140.5|nta#G#2_0.5|nta#G#1_8.5|lv3p_5524.833333333333|lv3p#-3_70.0|lv3p#-2_700.3333333333334|lv3p#-1_4652.0|nta#T_2034.0
hsa-miR-26a-5p	hsa-mir-26a-1	59890.16666666667	366.0	5475.949745629783	36702.26369829994	5p	mlv3p_140.5|NucVar_691.5|canonical_43177.5|nta#G_9.0|nta#C_96.0|nta#A_4315.333333333334|mv_535.0|lv5p_3403.0|nta#C#2_1.0|nta#C#1_95.0|lv5p#1_92.0|nta#T#2_127.0|lv5pT_3311.0|nta#T#1_1852.0|mlv5p_18.5|lv5p#-3_314.5|lv5p#-2_515.0|lv5p#-1_2481.5|lv3p#2_0.5|lv3p#1_102.0|lv5pE_92.0|nta#A#3_25.5|nta#A#2_517.0|nta#A#1_3772.8333333333335|lv3pT_5422.333333333333|mlv5p#1_18.5|total_59890.16666666667|nta#AU_4.0|lv3pE_102.5|mlv3p#2_140.5|nta#G#2_0.5|nta#G#1_8.5|lv3p_5524.833333333333|lv3p#-3_70.0|lv3p#-2_700.3333333333334|lv3p#-1_4652.0|nta#T_1979.0
hsa-let-7a-5p	hsa-let-7a-2	54053.116666666836	365.0	4942.249570096335	33125.16648445311	5p	lv5p#-2_119.99999999999999|nta#A#1_3047.56666666667|lv5p_768.6666666666671|lv5p#-1_620.666666666667|canonical_35866.666666666664|lv3pE_1581.4499999999996|nta#C#1_45.45000000000001|nta#AU_1.2000000000000002|lv5pE_0.6666666666666666|nta#G_55.0|mlv5p#1_24.25|mlv5p_24.25|nta#C_45.45000000000001|nta#G#1_55.0|lv3p_12676.500000000013|nta#A_3881.933333333337|lv3p#2_12.0|lv3p#1_1569.4499999999996|nta#T#3_39.00000000000001|nta#T#2_4.0|NucVar_487.9833333333332|nta#T#1_5.666666666666667|mv_198.00000000000006|lv3p#-3_230.41666666666669|lv3pT_11095.050000000008|lv5p#1_0.6666666666666666|lv3p#-2_1230.8333333333326|lv3p#-1_9633.800000000001|lv5pT_768.0000000000005|nta#T_48.66666666666667|nta#A#4_0.5|nta#A#3_64.58333333333333|lv5p#-3_27.333333333333332|total_54053.116666666836|nta#A#2_769.2833333333335
hsa-let-7a-5p	hsa-let-7a-1	54000.116666666836	361.0	4937.403610355838	33092.68669546143	5p	mlv3p_109.0|NucVar_487.9833333333332|canonical_35866.666666666664|nta#G_55.0|nta#C_44.45000000000001|nta#A_3380.933333333337|mv_328.6666666666666|lv5p_768.0000000000005|nta#C#1_44.45000000000001|nta#T#3_39.00000000000001|nta#T#2_4.0|lv5pT_768.0000000000005|nta#T#1_5.666666666666667|mlv5p_141.25|lv5p#-3_27.333333333333332|lv5p#-2_119.99999999999999|lv5p#-1_620.666666666667|lv3p#3_1.0|lv3p#2_104.0|lv3p#1_1569.4499999999996|nta#A#4_0.5|nta#A#3_64.58333333333333|nta#A#2_268.28333333333325|nta#A#1_3047.56666666667|lv3pT_11095.050000000008|mlv5p#2_117.0|mlv5p#1_24.25|total_54000.116666666836|nta#AU_1.2000000000000002|lv3pE_1674.4499999999996|mlv3p#2_109.0|nta#G#1_55.0|lv3p_12769.500000000013|lv3p#-3_230.41666666666669|lv3p#-2_1230.8333333333326|lv3p#-1_9633.800000000001|nta#T_48.66666666666667
hsa-let-7a-5p	hsa-let-7a-3	53876.616666666836	353.0	4926.111609828451	33017.002658848745	5p	lv5p#-2_119.99999999999999|nta#A#1_3098.56666666667|lv5p_1035.0000000000002|lv5p#-1_620.666666666667|canonical_35866.666666666664|lv3pE_1569.4499999999996|nta#C#1_44.45000000000001|nta#AU_1.2000000000000002|lv5pE_267.0|nta#G_55.0|mlv5p#1_24.25|mlv5p_24.25|nta#C_44.45000000000001|nta#G#1_55.0|lv3p_12664.500000000013|nta#A_3397.433333333337|lv3p#1_1569.4499999999996|nta#T#3_39.00000000000001|nta#T#2_4.0|NucVar_487.9833333333332|nta#T#1_5.666666666666667|mv_252.66666666666674|lv3p#-3_230.41666666666669|lv3pT_11095.050000000008|lv5p#1_267.0|lv3p#-2_1230.8333333333326|lv3p#-1_9633.800000000001|lv5pT_768.0000000000005|nta#T_48.66666666666667|nta#A#3_30.583333333333332|lv5p#-3_27.333333333333332|total_53876.616666666836|nta#A#2_268.28333333333325
