name	pre-microRNA	RC_adj	UR	180626-180628-190531_Brain_S32180626-180628-190531_Brain_S32(total)	RPM (lib)	arm	isoString_RC_adj
hsa-let-7f-5p	hsa-let-7f-2	265529.9666666667	641.0	25482.247899287355	29309.654688079103	5p	mlv3p_94.83333333333333|NucVar_3180.7666666666664|canonical_177344.5|nta#G_96.33333333333333|nta#C_397.66666666666663|nta#A_14401.133333333335|mv_1938.6666666666665|lv5p_5215.866666666666|nta#T#4_14.0|nta#C#1_397.66666666666663|lv5p#1_344.0|nta#T#3_55.333333333333336|nta#T#2_29.0|lv5pT_4871.866666666666|nta#T#1_110.16666666666667|nta#UA_0.5|mlv5p_229.0|lv5p#-3_620.8333333333334|lv5p#-2_1115.5|lv5p#-1_3135.533333333333|lv3p#2_52.0|lv3p#1_8016.8|lv5pE_344.0|nta#A#3_70.5|nta#A#2_1262.5666666666668|nta#A#1_13068.06666666667|lv3pT_54353.9|mlv5p#2_40.0|mlv5p#1_189.0|total_265529.9666666667|nta#AU_2.0|lv3pE_8068.8|mlv3p#2_94.83333333333333|nta#G#2_3.0|nta#G#1_93.33333333333333|lv3p_62422.700000000004|lv3p#-3_744.4|lv3p#-2_5701.566666666666|lv3p#-1_47907.93333333333|nta#T_208.5
hsa-let-7f-5p	hsa-let-7f-1	258032.66666666674	592.0	24762.750738294002	28482.08981149857	5p	mlv3p_94.83333333333333|NucVar_3180.7666666666664|canonical_177344.5|nta#G_121.33333333333333|nta#C_391.66666666666663|nta#A_14342.133333333335|mv_1565.1666666666665|lv5p_5079.366666666666|lv5p#2_8.5|nta#C#1_391.66666666666663|lv5p#1_199.0|nta#T#3_55.333333333333336|nta#T#2_29.0|lv5pT_4871.866666666666|nta#T#1_107.16666666666667|nta#UA_0.5|mlv5p_241.5|lv5p#-3_620.8333333333334|lv5p#-2_1115.5|lv5p#-1_3135.533333333333|lv3p#2_34.0|lv3p#1_1092.0|lv5pE_207.5|nta#A#3_41.5|nta#A#2_1250.5666666666668|nta#A#1_13050.06666666667|lv3pT_54353.9|mlv5p#2_52.5|mlv5p#1_189.0|total_258032.66666666674|nta#AU_2.0|lv3pE_1126.0|mlv3p#2_94.83333333333333|nta#G#2_28.0|nta#G#1_93.33333333333333|lv3p_55479.9|lv3p#-3_744.4|lv3p#-2_5701.566666666666|lv3p#-1_47907.93333333333|nta#T_191.5
hsa-miR-128-3p	hsa-mir-128-2	248780.5	923.0	23874.843405026815	27460.819732189662	3p	mlv3p_86.5|NucVar_4361.0|canonical_152499.5|nta#G_1274.0|nta#C_116.0|nta#A_22381.5|mv_3543.5|lv5p_14652.5|nta#C#3_1.0|nta#C#2_12.0|lv5p#2_13.5|nta#C#1_103.0|lv5p#1_74.5|nta#T#3_12.0|nta#T#2_291.0|lv5pT_14564.5|nta#T#1_5419.0|nta#UA_10.0|mlv5p_242.5|lv5p#-2_5719.0|lv5p#-1_8845.5|lv3p#2_340.0|lv3p#1_21525.0|lv5pE_88.0|nta#A#4_23.5|nta#A#3_241.0|nta#A#2_4022.0|nta#A#1_18095.0|lv3pT_22036.5|mlv5p#2_8.0|mlv5p#1_234.5|total_248780.5|lv3pE_21865.0|mlv3p#4_31.0|mlv3p#3_22.0|mlv3p#2_33.5|nta#G#2_7.0|nta#G#1_1267.0|lv3p_43901.5|lv3p#-2_4875.5|lv3p#-1_17161.0|nta#T_5722.0
hsa-miR-30d-5p	hsa-mir-30d	248458.5	821.0	23843.941869028542	27425.276818039376	5p	mlv3p_116.5|NucVar_596.5|canonical_27781.0|nta#G_243.0|nta#C_162.0|nta#A_13024.0|mv_13660.5|lv5p_1951.0|nta#C#2_20.5|nta#C#1_141.5|lv5p#1_22.5|nta#T#2_46.0|lv5pT_1928.5|nta#T#1_5505.0|nta#UA_2.5|mlv5p_59.0|lv5p#-3_398.5|lv5p#-2_403.0|lv5p#-1_1127.0|lv3p#3_30.0|lv3p#2_119232.0|lv3p#1_45471.5|lv5pE_22.5|nta#A#4_3.0|nta#A#3_5.0|nta#A#2_376.5|nta#A#1_12639.5|lv3pT_20580.5|mlv5p#1_59.0|total_248458.5|nta#AU_8.0|lv3pE_164733.5|mlv3p#3_14.0|mlv3p#2_102.5|nta#G#2_46.0|nta#G#1_197.0|lv3p_185314.0|lv3p#-3_1584.5|lv3p#-2_1787.5|lv3p#-1_17208.5|nta#T_5551.0
hsa-miR-30a-5p	hsa-mir-30a	242243.5	845.0	23247.50383726061	26739.254422250484	5p	mlv3p_117.5|NucVar_690.5|canonical_36127.0|nta#G_270.0|nta#C_348.0|nta#A_11707.0|mv_15600.5|lv5p_2637.0|nta#C#2_23.5|nta#C#1_324.5|lv5p#1_41.0|nta#T#2_25.0|lv5pT_2596.0|nta#T#1_4135.5|nta#UA_0.5|mlv5p_78.5|lv5p#-3_568.0|lv5p#-2_441.5|lv5p#-1_1586.5|lv3p#3_5.0|lv3p#2_98687.5|lv3p#1_45235.0|lv5pE_41.0|nta#A#4_3.0|nta#A#3_33.0|nta#A#2_478.0|nta#A#1_11193.0|lv3pT_26579.5|mlv5p#2_2.0|mlv5p#1_76.5|total_242243.5|nta#AU_27.0|lv3pE_143927.5|mlv3p#2_117.5|nta#G#2_75.0|nta#G#1_195.0|lv3p_170507.0|lv3p#-3_1617.0|lv3p#-2_1194.5|lv3p#-1_23768.0|nta#T_4160.5
hsa-miR-143-3p	hsa-mir-143	234612.0	667.0	22515.127837351203	25896.876318716622	3p	mlv3p_47.0|NucVar_1463.0|canonical_60918.0|nta#G_279.0|nta#C_616.0|nta#A_9301.0|mv_1867.0|lv5p_2746.0|nta#C#2_70.0|nta#T#4_8.0|nta#C#1_546.0|lv5p#1_309.0|nta#T#3_497.0|nta#T#2_7535.0|lv5pT_2437.0|nta#T#1_107251.0|nta#UA_104.0|mlv5p_171.0|lv5p#-2_683.0|lv5p#-1_1754.0|nta#A#5_39.0|lv3p#1_15096.0|lv5pE_309.0|nta#A#4_149.0|nta#A#3_91.0|nta#A#2_987.0|nta#A#1_8035.0|lv3pT_26817.0|mlv5p#1_171.0|total_234612.0|nta#AU_2.0|lv3pE_15096.0|mlv3p#3_15.0|mlv3p#2_32.0|nta#G#1_279.0|lv3p_41913.0|lv3p#-2_690.0|lv3p#-1_26127.0|nta#T_115291.0
hsa-let-7b-5p	hsa-let-7b	210401.75	924.0	20191.730595418856	23224.507258757163	5p	mlv3p_280.0|NucVar_2119.0|canonical_87771.0|nta#G_1279.0|nta#C_435.25|nta#A_33517.75|mv_1861.25|lv5p_2778.0|nta#T#5_3.0|nta#T#4_13.0|nta#C#1_435.25|lv5p#1_10.0|nta#T#3_88.0|nta#T#2_778.0|lv5pT_2768.0|nta#T#1_14129.0|nta#UA_251.0|mlv5p_235.5|lv5p#-3_264.25|lv5p#-2_493.75|lv5p#-1_2010.0|lv3p#2_103.0|lv3p#1_38467.75|lv5pE_10.0|nta#A#4_31.0|nta#A#3_474.0|nta#A#2_6571.0|nta#A#1_26441.75|lv3pT_26543.25|mlv5p#1_235.5|total_210401.75|nta#AU_8.0|lv3pE_38570.75|mlv3p#3_250.0|mlv3p#2_30.0|nta#G#2_2.0|nta#G#1_1277.0|lv3p_65114.0|lv3p#-3_1091.0|lv3p#-2_6703.75|lv3p#-1_18748.5|nta#T_15011.0
hsa-miR-181a-5p	hsa-mir-181a-2	188892.5	1009.0	18127.54157936023	20850.279227120434	5p	mlv3p_10.5|NucVar_1610.0|canonical_58217.0|nta#G_268.5|nta#C_156.0|nta#A_15082.25|mv_5923.25|lv5p_4554.0|nta#T#4_1.0|nta#C#1_156.0|nta#T#3_1.0|lv5p#1_5.5|nta#T#2_107.5|lv5pT_4548.5|nta#T#1_1251.25|lv5p#-4_237.0|nta#UA_0.5|mlv5p_32.0|lv5p#-3_194.0|lv5p#-2_953.5|lv5p#-1_3164.0|lv3p#2_1011.0|lv3p#1_4063.75|lv5pE_5.5|nta#A#3_48.0|nta#A#2_663.5|nta#A#1_14370.75|lv3pT_96603.5|mlv5p#1_32.0|total_188892.5|nta#AU_11.5|lv3pE_5074.75|mlv3p#2_10.5|nta#G#2_53.5|nta#G#1_215.0|lv3p_101678.25|lv3p#-4_3270.75|lv3p#-3_7262.25|lv3p#-2_52725.0|lv3p#-1_33345.5|nta#T_1360.75
hsa-miR-181a-5p	hsa-mir-181a-1	188872.5	1007.0	18125.622229298227	20848.071592701162	5p	mlv3p_10.5|NucVar_1610.0|canonical_58217.0|nta#G_268.5|nta#C_156.0|nta#A_15073.25|mv_5912.25|lv5p_4554.0|nta#T#4_1.0|nta#C#1_156.0|lv5p#1_5.5|nta#T#3_1.0|nta#T#2_107.5|lv5pT_4548.5|nta#T#1_1251.25|lv5p#-4_237.0|nta#UA_0.5|mlv5p_32.0|lv5p#-3_194.0|lv5p#-2_953.5|lv5p#-1_3164.0|lv3p#2_1011.0|lv3p#1_4063.75|lv5pE_5.5|nta#A#3_48.0|nta#A#2_663.5|nta#A#1_14361.75|lv3pT_96603.5|mlv5p#1_32.0|total_188872.5|nta#AU_11.5|lv3pE_5074.75|mlv3p#2_10.5|nta#G#2_53.5|nta#G#1_215.0|lv3p_101678.25|lv3p#-4_3270.75|lv3p#-3_7262.25|lv3p#-2_52725.0|lv3p#-1_33345.5|nta#T_1360.75
hsa-miR-27b-3p	hsa-mir-27b	178861.5	588.0	17164.89155576182	19743.04018413437	3p	mlv3p_3.0|NucVar_1329.0|canonical_50874.0|nta#G_267.0|nta#C_152.5|nta#A_11161.0|mv_3501.0|lv5p_4597.5|nta#C#2_8.0|nta#C#1_144.5|lv5p#1_1418.0|nta#T#3_60.0|nta#T#2_788.0|lv5pT_3179.5|nta#T#1_7390.5|nta#UA_12.0|mlv5p_140.0|lv5p#-2_1016.5|lv5p#-1_2163.0|lv3p#2_1.0|lv3p#1_15874.0|lv5pE_1418.0|nta#A#4_15.0|nta#A#3_271.0|nta#A#2_933.5|nta#A#1_9941.5|lv3pT_82723.0|mlv5p#1_140.0|total_178861.5|nta#AU_30.0|lv3pE_15875.0|mlv3p#4_3.0|nta#G#2_4.5|nta#G#1_262.5|lv3p_98598.0|lv3p#-2_36609.5|lv3p#-1_46113.5|nta#T_8238.5
