name	180913-190529_Brain_S36	32141643_EXO_S1	32141786_EXO_S2	32150013_EXO_S3	32150076_EXO_S4	32150080_EXO_S5	32150147_EXO_S6	32150163_EXO_S7	32150243_EXO_S8	32150292_EXO_S9	32150424_EXO_S10	32150696_EXO_S11	32150698_EXO_S12	32150825_EXO_S13	32150844_EXO_S14	32150849_EXO_S15	32150993_EXO_S16	32151026_EXO_S17	32151125_EXO_S18	32151152_EXO_S19	32151180_EXO_S20	32151226_EXO_S21	32151444_EXO_S22	32151565_EXO_S23	32151667_EXO_S24	32151691_EXO_S25	32151725_EXO_S26	32151765_EXO_S27	32151859_EXO_S28	32151881_EXO_S29	32151984_EXO_S30	32152084_EXO_S31	32152094_EXO_S32	32152253_EXO_S33	32152273_EXO_S34	32152341_EXO_S35
hsa-miR-193b-5p	32	4		3	19	6	13	4	1				25			6	1	26					67	4			22		7	16	8	21	7	20	18	14
hsa-miR-194-3p	11	3	1		65	5	36	7		244		23			1			62	27	113			17	3	2		7		5	1	5	23	1	6		
hsa-miR-194-5p	294	67	47	13	3215	387	2045	123	3	198	91	2714	2445	984	997	114	62	4056	1669	367	13	1	993	57	29	43	151	45	270	194	339	5224	152	275	113	194
hsa-miR-195-3p	70				3		2										1						2				1					3				
hsa-miR-195-5p	3333	17	3		9	8	4	12				39								2		1	12		5		4	5	15	12	1	33	2	14	5	
hsa-miR-196a-1-3p																				41							2		5			3			3	2
hsa-miR-196a-3p																								3								1		1	1	
hsa-miR-196a-5p	3	46	45	6	900	109	803	70		1097	130	1836	1453	447	427	2	158	1496	559	330	5	49	850	37	23	12	201	38	139	323	229	1436	62	356	218	96
hsa-miR-196b-3p				5				19															6		5		5		1		4					
hsa-miR-196b-5p	7	75	54	9	150	78	265	63	4	92		643	433	148	116	140		384	292	88	1		137	20	1	5	90	7	67	51	40	384	11	97	53	74
hsa-miR-197-3p	3938	31		24	133	107	175	24				332	597	199	356	16		555	672	545	2		364	39	8	13	171	4	127	102	65	219	22	165	195	76
hsa-miR-197-5p																													4	2				1	1	1
hsa-miR-1973																																1				
hsa-miR-1976							5																													
hsa-miR-199a-3p	1337	1		1	10	4	27	4	3		2	8	1	2							2	43	84		2	1	12	11	13	20	5	367	3		9	2
hsa-miR-199a-5p	98	1					1											1								1			1			2			2	
hsa-miR-199b-3p	1331	1		1	10	4	27	4	3		2	8	1	2							2	43	84		2	1	12	11	13	20	5	367	3		9	2
hsa-miR-199b-5p	34		1								1																1				2	3				2
hsa-miR-19a-3p	43		7	5	3	16	30			1	1		130							1		1	7		1		8		13	9	2	18		18	2	2
hsa-miR-19b-3p	294	17	11	4	56	34	48	21				84	146					388	34	200		1	41	18	9	9	51	4	55	47	24	148	11	88	40	29
hsa-miR-200a-3p	42	548	276	453	3333	1331	4530	1240	8	758	878	8906	5199	2693	297	456	238	7838	6810	6622	19	8	3763	591	306	109	3730	170	3701	4105	1524	9481	880	3844	2907	1821
hsa-miR-200a-5p	2	44	68	9	112	52	204	40			181	888	256	75		160	43	369	36	764	2		137	14		6	180	1	161	150	63	259	39	133	153	72
hsa-miR-200b-3p	233	2375	1877	1780	7269	3366	13521	2895	39	4215	4622	43603	20774	8812	2904	1669	2211	39648	24444	24493	326	173	10789	1665	882	329	14923	492	10893	10818	4222	21057	1912	12045	9520	6034
hsa-miR-200b-5p	5	90	105	105	411	193	676	76			128	1497	921	142	157	141	58	874	604	1592	73		718	85	27	8	532	22	525	475	137	785	85	368	375	304
hsa-miR-200c-3p	67	2541	2339	2272	7226	2913	12435	3534	58	3464	2871	37193	25665	10319	4088	1803	2205	33928	22979	26397	390	233	10378	1607	756	283	12516	489	11485	10466	3361	12792	2179	7710	7180	5682
hsa-miR-200c-5p				6		2	2																							3						
hsa-miR-203a-3p	945	607	3230	2368	7209	3900	3061	977	139	616	1805	8749	5438	3621	2707	678	625	5891	3976	5751	170	273	3838	1299	516	851	9019	303	2470	2696	1689	9509	1377	8444	2639	3212
hsa-miR-203a-5p																								4						3		2				
hsa-miR-203b-3p	40	1		5	9	14	2	2															1	4			9		5	7	3	6	3		12	5
hsa-miR-204-3p	83	91	19	23	181	147	459	89				321	345	66	93			498		582	2		442	3	20	44	201	18	119	175	73	436	32	84	237	58
hsa-miR-204-5p	5048	4040	492	805	9220	5450	22521	3856	49	4723	1441	44102	26426	9512	5509	2693	2143	36366	22363	43516	487	153	32307	869	914	895	9005	423	7918	8883	4711	21699	2015	7525	14096	3261
hsa-miR-205-3p																		31																		
hsa-miR-205-5p	14	47	390	506	1315	740	480	91	6	206	1930	5383	1674	698	1296	113	529	865	863	1549	2	4	1989	294	76	320	1832	81	404	384	487	1128	316	2271	654	697
hsa-miR-206	20	1			1	5	3	3		112				58			1	97		45		1	11				13		2	5	3	16	1	14	17	
hsa-miR-208a-5p																		1		1																
hsa-miR-20a-3p	3						4									1		17						1	2				1			4		3		2
hsa-miR-20a-5p	623	20	13	2	47	35	111	37			4	257	499	1				674	658	12	2	30	101	15	9	6	87	6	104	108	22	176	32	83	60	39
hsa-miR-20b-3p	2	4			7		1								1												1							3		
hsa-miR-20b-5p	106	8			17	1	20	4		1		53						65	48	109		37	29	1	3		9	1	10	13	5	60	2	12	12	4
hsa-miR-21-3p	12	1		4	99	10	60	4				45	1						177	1			21	3	1		29	3	52	39	10	94	8	33	16	26
hsa-miR-21-5p	24749	3249	3001	4128	44657	7711	33845	5210	124	4163	9247	34788	21046	19146	7369	4035	3904	30871	35067	24732	370	352	19730	3284	1671	1236	25292	1008	22688	22382	8647	70487	4509	14936	13536	22507
hsa-miR-210-3p	21	4		1	7	12	43	17			80	1	58	122		21		190	255	264			22	3	5		36		26	18	4	30	1	28	11	6
hsa-miR-210-5p	4				1	6	13	8									47		1	74			12	3	2	7	4		8	3	3	9			9	8
hsa-miR-211-5p	12				79	1	32	1				51	4	58	5	1	4	62	1	13			29	6	2		2		21	15	13	36		14	28	6
hsa-miR-2110	381	3		7	7	39	43	4	3	58		217	187	53				248	1	108			28	4	2	2	71		37	16	19	54	6	26	43	23
hsa-miR-2113	24																																			
hsa-miR-2114-3p																																1				
hsa-miR-2114-5p							6																													
hsa-miR-2115-3p	1																															4		3		
hsa-miR-2115-5p	11																																			
hsa-miR-2116-3p	30	7				4	12											39	1				8	4			14		4	3	8	13	1		1	7
hsa-miR-2116-5p	3																																			
hsa-miR-212-3p	548							2					1						63								3		1			7				1
hsa-miR-212-5p	764				10																											2				
hsa-miR-214-3p	214				1		3					1			1							2	21			4			1			49			1	
hsa-miR-214-5p	5																																			
hsa-miR-215-5p	4	1	1		34	5	12			4	1	4	1	2	1			3	1	1			13		1		8		2	1	1	40	2	13	1	
hsa-miR-216a-3p	1																																			
hsa-miR-216a-5p					2	2																										7				
hsa-miR-216b-5p	20	7			13		13						101										14	1		1			2	4		14	6	10	6	8
hsa-miR-217-5p	5				3		9																				2			1		7				
hsa-miR-218-2-3p	1																																			
hsa-miR-218-5p	11867	18	23	7	78	61	122	52				193	152	57			1	87	41	77	3		55	27	4	5	68	5	37	86	20	148	14	89	102	29
hsa-miR-219a-1-3p							3																				3		3				2	8	2	
hsa-miR-219a-2-3p	82882				6								1				2						1		3	1	1							1		
hsa-miR-219a-5p	304																																			
hsa-miR-219b-3p	3																																			
hsa-miR-219b-5p	3																																			
hsa-miR-22-3p	7502	319	265	273	2458	1347	1759	516	27	117	214	1543	532	720	354	427	293	1899	1057	987	5	87	1878	275	109	40	1258	79	1897	1380	459	3813	261	1525	813	649
hsa-miR-22-5p	840	6	9	20	95	52	87	19	1			119	26	64				251					196	28	7	10	137	8	138	140	49	219	25	100	64	56
hsa-miR-221-3p	13794	240	351	293	2034	1863	2358	1288	9	949	1540	11977	6037	2531	2168	1106	791	15129	6481	10769	12	166	2891	320	179	94	1912	140	1933	2626	710	2615	476	1882	955	753
hsa-miR-221-5p	306	3		4	23	5	24	12				368	96	62				38	191				16		2		17		20	22	3	21	3	13	12	3
hsa-miR-222-3p	14577	265	197	261	1809	1535	2497	1318	10	481	750	7291	4698	3038	1246	570	118	8254	4251	7849	117	205	2950	261	200	82	1596	86	2206	2640	667	2856	333	1805	1460	619
hsa-miR-222-5p					19			2																					5	1					2	
hsa-miR-223-3p	1324	16	2	11	119	138	63	12	4	5	329	244	451	29	12	5	17	84	27	9	4	6	38	4	5	22	3	9	21	12	100	589	28	73	63	36
hsa-miR-223-5p	10				1		1	1									1															4				
hsa-miR-224-3p	6	2			10	3	14					25		64				99					18				9		6	6	4	27	2	9		5
hsa-miR-224-5p	65	27	65	78	267	57	167	17			257	929	748	72	63	224	46	294	410	620	2	1	191	64	6	16	268	13	153	118	109	278	34	158	208	183
hsa-miR-2276-3p	21	1				2																	2									3				
hsa-miR-2276-5p																																2				
hsa-miR-2277-3p	13																																			
hsa-miR-2277-5p	5				5				1																						3					
hsa-miR-2278					2														72					3								1				
hsa-miR-2355-3p	133		29		1	1	3																				7			1		6	1	2	6	3
hsa-miR-2355-5p	4																																			
hsa-miR-23a-3p	9242	633	305	578	2799	1897	3689	1018	21	1840	743	8454	6289	2145	1906	456	430	12907	7357	8117	90	209	5677	453	284	211	4213	188	3893	3510	1179	7566	579	3141	3017	1569
hsa-miR-23a-5p	5	2	7	1	9	11	3	5	1									49					10				2		5		1	9			2	2
hsa-miR-23b-3p	36202	737	478	339	4335	2253	5948	1174	14	3195	826	13292	9806	3479	1805	908	343	16774	8069	8296	32	115	7225	611	218	245	2942	230	2968	3012	1656	11532	667	4371	2768	1544
hsa-miR-23b-5p	173	12			9		20	3										49					24	4	4		5	6	8	6		35	2	13	7	1
hsa-miR-23c	11		1		18	4	3	2		4		6	3	2	2			9	7	1			8			1	4			1		5		5	1	1
hsa-miR-24-1-5p	285	2			48	15	34	4					52							153			4	2	1	1	13		4	8	8	71		7	4	6
hsa-miR-24-2-5p	63	1			8	13	14	9				1	24	80			1	59	41				30		5		20		19	17	8	41	9	11	16	6
hsa-miR-24-3p	19185	281	100	296	1978	973	2222	402	24	7	784	2251	1326	567	249	162	26	3426	1661	1249	12	36	1341	164	110	71	1201	58	1382	965	329	3984	238	1240	892	457
hsa-miR-25-3p	3951	161	366	72	911	408	1189	207	7	769	426	4332	1755	613	307	155	112	2813	1543	1894	5	6	975	58	41	29	709	29	509	578	273	1552	84	629	622	393
hsa-miR-25-5p	24		5		1							61	50						94				27	2			4		4	2	2	8		5	7	2
hsa-miR-2681-3p	22																															2				
hsa-miR-2681-5p	4																																			
hsa-miR-2682-3p	8																																			
hsa-miR-2682-5p	64																																			
hsa-miR-26a-1-3p	9					1	7																3				4		5		5	11		5	5	3
hsa-miR-26a-2-3p	106	3	5		17	8	26	2				62	68					52		130			30		1		16		10	16	1	37	1	14	9	7
hsa-miR-26a-5p	403776	9416	5459	5193	37456	24393	74429	20861	176	15404	12923	126451	89668	31716	12892	6262	6197	155327	72756	91068	490	547	68684	6094	3557	1636	52442	2637	47674	58007	18153	122554	10440	45531	43871	19970
hsa-miR-26b-3p	53	5			14	4	4	3			27		45					59				1	8	4	2	1	11		9	14	8	34	3	1	12	1
hsa-miR-26b-5p	29088	1517	1295	942	6780	3386	10411	2953	38	2727	1520	27386	18584	7187	4148	1416	1587	32802	14855	22118	308	287	8416	1006	536	321	8425	450	5975	7884	2757	15794	1622	6607	5843	3157
hsa-miR-27a-3p	7235	260	354	263	2031	873	1891	599	3	347	602	1301	915	561	71	197	227	2212	1258	1842	38	81	1727	177	145	125	1716	126	1850	2005	462	5734	340	1267	1240	660
hsa-miR-27a-5p		2		8	11		17																22	4			4		7	8	1	18		4		2
hsa-miR-27b-3p	111592	1455	1668	976	10987	5223	13393	2363	19	1206	673	11039	8906	4537	2484	686	673	14624	8611	6471	88	233	10502	1171	480	516	6689	540	6245	7245	3120	32033	1560	8980	6202	3286
hsa-miR-27b-5p	198	1			19	25	23	17		78				28				63	80	41			36	1			20		13	16	7	54	3	47	9	6
hsa-miR-28-3p	1197	153	137	80	574	306	732	186	2	717		1943	951	825	225	47	56	1613	789	1178	3	43	544	45	35	6	497	7	398	470	163	980	77	504	468	350
hsa-miR-28-5p	1912	84	27	8	225	102	332	85	3			100	565	258	4	18		528	4	549	2		368	33	24	1	288	8	256	218	106	603	48	234	259	150
hsa-miR-2861																														5						
hsa-miR-296-3p	15				10		9																4	1					2		6	6		6	1	
hsa-miR-296-5p	16						2																6		4		1					2		23	1	
hsa-miR-298				5																																
hsa-miR-299-3p	36																																			
hsa-miR-299-5p	236																																			
hsa-miR-29a-3p	38279	340	225	297	1972	969	2169	770	4	235	4	2203	2701	923	519	206	211	4101	2965	1992	128	49	2086	322	186	82	2137	114	2976	2718	698	4820	477	2224	1864	830
hsa-miR-29a-5p	32					3		5			1					17							5	1			6		5	3		3	1	2	3	
hsa-miR-29b-1-5p	82	4	5	1	19	15	18	5				193	98	6			35	124					46	2		3	16	2	20	23	2	37	1	16	18	6
hsa-miR-29b-2-5p	460	5		1	10	10	7	3				122						39	153	57			22	1	3	5	15		10	7	7	17	4	25	4	12
hsa-miR-29b-3p	4199	57	33	56	448	150	411	140		188		102	150	310	157	58	44	352	281	241	1	22	440	50	7	10	381	13	415	382	118	782	64	338	255	193
hsa-miR-29c-3p	2401	161	90	74	511	274	515	221	1			551	534	241	297	4	1	413	783	473	2	1	479	53	25	15	548	19	611	513	148	959	101	510	304	233
hsa-miR-29c-5p	332	13	16	5	21	24	63	7		82		323	115					131	144	171			53	9	5		36	5	46	29	19	76	12	51	30	32
hsa-miR-301a-3p	2				1	1	1					58															2		2			4		4		4
hsa-miR-301a-5p	34	2					5																						1				1			1
hsa-miR-301b-3p											1																					1				
hsa-miR-302a-3p																												13	9	8	1	1	3	3		
hsa-miR-302a-5p	11					1																			1		1	7	6	6	4	5	4			
hsa-miR-302b-3p	14														1	1					1	7	4	2	11	1	8	29	32	21	11	13	15			
hsa-miR-302b-5p																									1											
hsa-miR-302c-3p																							1						3	4	1	3				
hsa-miR-302c-5p																									2					1						
hsa-miR-302d-3p																							1		1			5	7	6	4	4	1			
hsa-miR-302d-5p																												1	1							
hsa-miR-3059-3p	5																																			
hsa-miR-3059-5p	108																																			
hsa-miR-3064-3p	12																																			
hsa-miR-3064-5p	31					2	8																									1				1
hsa-miR-3065-3p	26	2		1	22	2	1					31	20					51	133				19				12	1	23	4	10	20	1	5	13	10
hsa-miR-3065-5p	42			7	19	2	21	10		248		37	174			41	1	111		175			19				7	1	37	17	12	37	8	2	14	17
hsa-miR-3074-3p						2	3																2				2		1			1				
hsa-miR-3074-5p	1	3																							2				9	4	1	1				
hsa-miR-3085-3p	11																																			
hsa-miR-3085-5p	1																																			
hsa-miR-30a-3p	3854	2347	2890	1078	7711	5708	14333	2983	25	4088	1402	21843	14294	6290	2740	699	2098	32004	13725	21903	250	49	12662	845	410	282	9034	307	7795	7927	2684	19210	1129	6744	7959	2803
hsa-miR-30a-5p	83012	28733	17845	13118	102666	68492	186285	41730	337	24972	15331	220742	133243	69670	25349	13662	16768	315832	110622	177104	1615	1009	163698	14673	6827	4111	145134	6614	139207	139260	46418	334241	23975	111594	108713	44028
hsa-miR-30b-3p	70	3	6		18	5	43						30					26	111	35			14	11			19		13	4	3	29	3	12	30	12
hsa-miR-30b-5p	4022	684	225	333	2299	1805	4319	1434	6	77	12	6704	2180	1972	866	256	183	7462	3317	3728	113	38	7115	729	257	238	3863	143	2162	5018	1749	15977	750	7287	4042	1456
hsa-miR-30c-1-3p	61			2	2	10	11																12	6			14		4	3		29	1	7	8	1
hsa-miR-30c-2-3p	438	102	24	54	366	222	640	153		285		833	476	184		76	36	719	353	649	2		640	38	14	26	509	10	477	389	158	1011	77	376	461	103
hsa-miR-30c-5p	31971	3484	1350	2459	13786	10255	27696	6650	65	9992	3230	64488	42757	21201	8839	4441	2941	76454	34538	47665	319	126	45880	3564	1593	958	25884	913	15966	22736	9350	74795	3550	23379	20743	7893
hsa-miR-30d-3p	11				45	6	18	4		3		4	5	1	1		2	8	4	5			4	2	2	2	19		9	15	6	31	1	12	9	
hsa-miR-30d-5p	124552	9757	6889	4022	34317	22188	61272	16053	162	13101	7744	122887	68421	35853	13451	6666	7014	159361	60476	85110	771	404	67561	6775	2274	1778	46468	1832	31494	48766	16398	97824	8216	56355	42451	16037
hsa-miR-30e-3p	3193	273	481	165	1243	793	1743	323	3	437	566	3505	1744	844	286	43	112	4643	1861	2258	9	3	954	137	54	43	986	24	709	1127	343	2415	167	1091	1043	370
hsa-miR-30e-5p	13150	997	669	720	6984	5208	8923	2803	40	1240	181	11054	7705	4281	1466	459	643	14523	4562	6491	34	97	7398	1401	557	270	8495	323	5716	8854	2519	19631	1828	8631	5638	2806
hsa-miR-31-3p						1		1																			4		4	6	1	4				3
hsa-miR-31-5p	850	129	140	306	1193	686	739	366	9	269	15	1093	1214	368	284	4	1	1530	922	1434	7		911	132	94	23	1086	51	1197	973	270	1664	167	746	585	710
hsa-miR-3115	22																																			
hsa-miR-3116																													1							
hsa-miR-3117-3p	25																																			
hsa-miR-3120-3p	14																																			
hsa-miR-3124-5p	8	9		1																				3	1											3
hsa-miR-3125	12						16																3							2		4			3	
hsa-miR-3127-3p	4													60																		1		1	4	
hsa-miR-3127-5p	8					2	2	5					100					11					3	1			2			5					1	3
hsa-miR-3129-3p	2																																	2		
hsa-miR-3129-5p	3																																			
hsa-miR-3130-3p	5							6				41						33									4									
hsa-miR-3130-5p	2	2																					1									1		2		
hsa-miR-3131																							3									1				
hsa-miR-3135a										288																	2									
hsa-miR-3138																							1	2			3		2			1			1	
hsa-miR-3139	3																																			
hsa-miR-3140-3p																											3									
hsa-miR-3140-5p	2																																			
hsa-miR-3141																													3			2				
hsa-miR-3143	3																																		2	
hsa-miR-3144-3p		1					8																				5		2	1	1	5	1	4		
hsa-miR-3144-5p		1		4			9																					1	3		1	3		3		
hsa-miR-3145-5p	3																													1		3	1		5	
hsa-miR-3149	7																																	1		
hsa-miR-3150a-5p	5																													3						
hsa-miR-3150b-3p				5					7																							1				1
hsa-miR-3151-5p	28																																			
hsa-miR-3152-5p																											2				1			3		
hsa-miR-3157-3p								1																												
hsa-miR-3157-5p	6																																			
hsa-miR-3158-3p	3	1				7	1																4			1			2					2		
hsa-miR-3159	3																		1																	
hsa-miR-3161																														2						
hsa-miR-3164																																1				
hsa-miR-3173-3p	8				1																													2		
hsa-miR-3173-5p	85	3	3			7	3	1				22	41					1		23			13				7		8	1	1	6	5	1	20	1
hsa-miR-3174	9																																			1
hsa-miR-3175	7																																			
hsa-miR-3176						10																														
hsa-miR-3177-3p	61			3	2																		28								2	2				
hsa-miR-3178	4			4		14	8	99	1								43						13	3	1		12		2	3	1	14	10	12	27	9
hsa-miR-3179	4																																	2		
hsa-miR-3180-3p	37						3																													
hsa-miR-3180-5p	15																																			
hsa-miR-3181																								1		4							1			
hsa-miR-3182	7				24		20	14	1										47										4	10		20		25	15	8
hsa-miR-3183	3																																			
hsa-miR-3185		4							5																											
hsa-miR-3186-3p																														1						
hsa-miR-3187-3p	10			3	5		4																	4					1	1						
hsa-miR-3188	5																												2							
hsa-miR-3189-3p							4															21							3							
hsa-miR-3190-3p	2																																			
hsa-miR-3192-5p					1																						1							5		
hsa-miR-3195				10				2	2														8			12						1			29	3
hsa-miR-3196																																				5
hsa-miR-3198																																		3		
hsa-miR-3199	5																																			
hsa-miR-32-3p	166				8		50	11				41	8					74	65		1		6	2	3		41		15	37	9	71	13	44	34	23
hsa-miR-32-5p	219	13	57	9	28	9	76	39			1		39	20				36	118	85			33	9		8	70	2	40	51	15	150	4	26	27	9
hsa-miR-3200-3p	558						7	7															3		1					6	2	4		2	1	4
hsa-miR-3200-5p	58				3	1	3																													
hsa-miR-3202																																				4
hsa-miR-320a-3p	11885	609	543	432	3023	1950	3220	738	22	4821	4079	24595	15783	5927	2703	3074	1559	25360	14418	23847	277	137	8176	541	206	166	3254	198	3829	2951	1176	4735	541	2293	2518	1543
hsa-miR-320a-5p	4																																			
hsa-miR-320b	1310	54	31	75	335	247	258	100	9	4	2	481	286	107	31	31	184	829	564	908	144	21	965	52	20	37	221	25	328	272	110	364	38	166	212	147
hsa-miR-320c	928	30	11	30	185	191	212	42	1		3	195	218	70	1	30	107	690	429	300	78	21	685	30	12	16	148	25	211	160	64	234	18	112	152	80
hsa-miR-320d	553	30	11	39	109	56	81	17	1	137		54	33	1			42	273	130	44	77		327	14	9	9	50	10	113	50	24	93	10	56	67	31
hsa-miR-320e	80				31	2	11	7		1	2	12	2	2		1	1	3	2	6			61				3	5	4	6	2	10		19	3	7
hsa-miR-323a-3p	14448						9			1		71						35						1	1	3			4	2	2	4	2	4		
hsa-miR-323a-5p	265			1																											9		3			
hsa-miR-323b-3p	1958						1	5											125										4				7			
hsa-miR-323b-5p	9																																			
hsa-miR-324-3p	710	28	24	4	136	65	131	33	4			299	124	107	50			442	161	265		1	116	15	8	6	124	1	95	112	38	144	25	141	113	41
hsa-miR-324-5p	441	1	1		11	3	37	3				38	60	1				82					7	3			8		5	11	3	46	6	4	3	7
hsa-miR-326	348				21		7								2		2			43		1	12	1					2	6	4	10		8		5
hsa-miR-328-3p	4805	19		14	72	44	97	28	1		82	125	372	110	49	22	2	275	217	239	79	1	202	8	25	23	52	8	83	41	29	170	23	88	83	22
hsa-miR-328-5p																																			4	
hsa-miR-329-3p	10396						3								251		2												4	1			1			
hsa-miR-329-5p	156																																			
hsa-miR-330-3p	6158		1	9	13	14	36	10	1		1	15		47				162	90				29	8	3	1	41		28	24	4	49	9	24	54	11
hsa-miR-330-5p	792				6		4											18					6	4	1				3		1	3		2		1
hsa-miR-331-3p	712	7	1	64	141	35	195	28		232	55	215	116	59				443	57	188	1		175	11	8		107		89	77	40	178	26	54	72	38
hsa-miR-331-5p	135				12	1	24	5					103					80					13				6	4	22	11		12	2	6	4	13
hsa-miR-335-3p	1355	10		3	196	30	74	10				196	33	36				284	130	228			127	5	1		58		22	19	24	226	6	47	24	18
hsa-miR-335-5p	5151	62	20	15	847	235	398	78	2			293	262	143		25		1526	430	201	1	1	360	14	25	3	201	7	175	179	96	1906	34	324	173	76
hsa-miR-337-3p	165																																1	6		
hsa-miR-337-5p	17																																			
hsa-miR-338-3p	8290				8		13	4					27	1			3						10		1				6		1	16		1	2	
hsa-miR-338-5p	22175	3	1		32	4	20											118					26		2		19		4	2	15	28	1	3	18	2
hsa-miR-339-3p	402	21		2	102	63	193	41				231	107	43				371			1		68	4	6	4	52		127	66	36	131	5	66	59	17
hsa-miR-339-5p	263	24	18	25	137	104	260	64			1	423	252	134	89	47	68	587	197	347	1		154	29	39	10	180	9	149	140	72	367	36	170	164	47
hsa-miR-33a-3p	12				3		9																				1					3				
hsa-miR-33a-5p	128						4																	2					3	24	9	6	1	8	5	
hsa-miR-33b-3p	9						1																				1									
hsa-miR-33b-5p	13																															1				
hsa-miR-340-3p	4639	16	9		34	36	100	36				483	31	197			1	298	246	189	1		101	17	1		61		68	60	27	109	8	45	82	35
hsa-miR-340-5p	13093	41	38	16	152	44	248	73	6			77	114	79	105		2	419	2	56	3	1	195	38	11	10	216	8	152	262	61	422	46	183	163	86
hsa-miR-342-3p	4234	47	20	33	213	92	267	38	3	1	143	1958	1107	324	116	148	53	994	440	771	2	1	365	39	5	13	187	13	203	161	85	416	32	228	164	66
hsa-miR-342-5p	378	4		2	13	14	6	1				199	59					3					29				10		5	2	2	6	1	8	10	4
hsa-miR-345-3p																																		1		
hsa-miR-345-5p	461	19	11	8	198	111	262	23			1	467	394	21	82	51	43	337	77	262			251	30	12	10	121		176	174	63	247	43	160	112	62
hsa-miR-346	1561																																			
hsa-miR-34a-3p	5																	55									1					3		3		
hsa-miR-34a-5p	734	1	30	10	46	20	24	14				307	86	25				259	142	73		1	47	14	5	1	55	6	21	10	13	85	13	44	5	26
hsa-miR-34b-3p	158	3			1	3	5	3				1															2	1	2			2		6		
hsa-miR-34b-5p	8						3																									4				
hsa-miR-34c-3p	59																																			
hsa-miR-34c-5p	115	1		4																										4						
hsa-miR-3529-5p	1																																			
hsa-miR-3605-3p	204	3	20		3	7	31					1		4				37		284			49	12	1		33	2	12	12	5	22	4	4	26	17
hsa-miR-3605-5p	45				3		1																7				5		12	4		9		4	8	2
hsa-miR-361-3p	2774	31	45	48	320	138	415	53	1	12	322	903	289	70		21	36	893	507	794	1		435	45	23	4	360	9	329	337	98	574	63	377	233	155
hsa-miR-361-5p	4655	45	20	42	283	150	495	123	2	1		1291	791	414		76	48	1677	671	664	3	1	562	65	35	17	367	6	390	377	139	964	86	323	261	146
hsa-miR-3611	6																																			
hsa-miR-3612	23																																			
hsa-miR-3613-3p	17				4		2	1															4		3				1			2				
hsa-miR-3613-5p	1915	14		4	104	69	134	45				93	45	108	2		1	161	83	32		3	73	4	6	6	54	7	69	102	13	129	12	45	50	35
hsa-miR-3614-3p																																1				
hsa-miR-3614-5p	3																																			
hsa-miR-3615	600	4		5	28	10	41	13		1		231	30	80				197	1	126			45	1	3	11	20	1	66	43	17	44	8	22	45	13
hsa-miR-3616-5p		4																																		
hsa-miR-3617-3p	1																																			
hsa-miR-3617-5p	5																																			
hsa-miR-3619-3p	2						1																													
hsa-miR-3619-5p																													3							
hsa-miR-362-3p	25	1	15	7	50	27	52	18			1	46	39	34	1			60	98	20	1		16	9	4	1	22	3	26	65	16	134	6	73	25	10
hsa-miR-362-5p	175	38	2	8	157	121	206	54	4	297		1562	476	165	102	81	40	1377	734	1126	1		256	52	13	9	157	3	115	251	113	494	48	334	119	59
hsa-miR-3620-3p	3																																			
hsa-miR-3621																																	6			
hsa-miR-3622a-3p	10					1																			2				5	1						
hsa-miR-3622a-5p	29											63						31					5						3	7		4			2	3
hsa-miR-363-3p	1237	155	6	28	337	167	369	101	3		175	598	154	274	1	40	175	234	426	441	5	113	246	52	5	10	181	4	128	165	123	627	18	402	158	59
hsa-miR-363-5p	7					4	3						26																			5			1	
hsa-miR-3648	2																																	1		
hsa-miR-3652	11																																			
hsa-miR-365a-3p	408	11	3	16	20	18	72	15				170	93	79	59			375	368	146	2		71	12	5	1	92	6	88	35	16	78	7	51	27	22
hsa-miR-365a-5p	8			5	4			2															12	5					2	1	2	8		8	2	1
hsa-miR-365b-3p	408	11	3	16	20	18	72	15				170	93	79	59			375	368	146	2		71	12	5	1	92	6	88	35	16	78	7	51	27	22
hsa-miR-365b-5p	4												1										5				2				1	4		2		
hsa-miR-3661	9																												1						5	
hsa-miR-3663-3p	3																												1							
hsa-miR-3663-5p	3						2																													
hsa-miR-3664-3p	2		2				1																				1					4		2	1	
hsa-miR-3664-5p							6																													
hsa-miR-3667-5p																																1				
hsa-miR-367-3p																													4	3						
hsa-miR-3675-3p																	1																			
hsa-miR-3679-3p	4																										3									
hsa-miR-3679-5p	9						5																14				5	2	3	7	2	8		3	4	
hsa-miR-3680-3p																																1				
hsa-miR-3680-5p																																2				
hsa-miR-3682-3p	2																																			
hsa-miR-3684																											1									
hsa-miR-3688-3p	3																										1		1							
hsa-miR-369-3p	9153		16		7	1	6	11									1						9	2		3		2	5	1	5	24	7			
hsa-miR-369-5p	593						1																							4		2				
hsa-miR-3691-3p	6																																			
hsa-miR-3691-5p	6																																			
hsa-miR-370-3p	2545											19						42					1						1			1				
hsa-miR-370-5p	86																																			
hsa-miR-371b-5p																																	2			
hsa-miR-374a-3p	271	4	21	3	24	13	45	19				21	65	123	123		2	19			1		17	6	3		44	1	34	36	9	54	11	20	27	8
hsa-miR-374a-5p	1188	4	41	19	145	38	225	97	4			234	343	1		48		598	291	324		40	118	13	9	3	134	4	86	144	46	384	13	122	96	46
hsa-miR-374b-3p	195		33			1	8	2				5											32	1		2	30		11	10	5	27	2	6	3	6
