name	pre-microRNA	RC_adj	UR	32151021_EXO_S1332151021_EXO_S13(total)	RPM (lib)	arm	isoString_RC_adj
hsa-miR-30c-5p	hsa-mir-30c-1	27102.0	454.0	3580.134336278206	20962.9725312507	5p	NucVar_264.0|canonical_7390.0|nta#G_32.5|nta#C_27.0|nta#A_1056.0|mv_577.5|lv5p_296.5|nta#C#2_5.5|nta#C#1_21.5|lv5p#1_37.0|nta#T#2_1.5|lv5pT_259.5|nta#T#1_340.0|lv5p#-4_7.0|nta#UA_0.5|mlv5p_17.5|lv5p#-3_6.0|lv5p#-2_61.0|lv5p#-1_185.5|lv3p#2_8.5|lv3p#1_14255.5|lv5pE_37.0|nta#A#3_14.5|nta#A#2_27.5|nta#A#1_1014.0|lv3pT_2835.5|mlv5p#1_17.5|total_27102.0|nta#AU_7.0|lv3pE_14264.0|nta#G#2_0.5|nta#G#1_32.0|lv3p_17099.5|lv3p#-4_108.5|lv3p#-3_316.0|lv3p#-2_1314.0|lv3p#-1_1097.0|nta#T_341.5
hsa-miR-30c-5p	hsa-mir-30c-2	27069.0	453.0	3575.775084817163	20937.44754809332	5p	NucVar_264.0|canonical_7390.0|nta#G_32.5|nta#C_27.0|nta#A_1056.0|mv_581.5|lv5p_259.5|nta#C#2_5.5|nta#C#1_21.5|nta#T#2_1.5|lv5pT_259.5|nta#T#1_340.0|lv5p#-4_7.0|nta#UA_0.5|mlv5p_17.5|lv5p#-3_6.0|lv5p#-2_61.0|lv5p#-1_185.5|lv3p#2_8.5|lv3p#1_14255.5|nta#A#3_14.5|nta#A#2_27.5|nta#A#1_1014.0|lv3pT_2835.5|mlv5p#1_17.5|total_27069.0|nta#AU_7.0|lv3pE_14264.0|nta#G#2_0.5|nta#G#1_32.0|lv3p_17099.5|lv3p#-4_108.5|lv3p#-3_316.0|lv3p#-2_1314.0|lv3p#-1_1097.0|nta#T_341.5
hsa-miR-30a-3p	hsa-mir-30a	26216.5	424.0	3463.1610887402253	20278.052149861043	3p	NucVar_309.0|canonical_7565.0|nta#G_65.0|nta#C_60.0|nta#A_2975.5|mv_1472.5|lv5p_1052.5|nta#C#2_15.0|nta#C#1_45.0|lv5p#1_22.0|nta#T#3_23.0|nta#T#2_459.0|lv5pT_1030.5|nta#T#1_5629.5|nta#UA_8.0|mlv5p_60.0|lv5p#-3_18.0|lv5p#-2_88.0|lv5p#-1_924.5|lv3p#1_262.0|lv5pE_22.0|nta#A#3_65.0|nta#A#2_322.0|nta#A#1_2588.5|lv3pT_6283.5|mlv5p#1_60.0|total_26216.5|nta#AU_2.5|lv3pE_262.0|nta#G#2_4.0|nta#G#1_61.0|lv3p_6545.5|lv3p#-3_339.0|lv3p#-2_630.0|lv3p#-1_5314.5|nta#T_6111.5
hsa-let-7f-5p	hsa-let-7f-2	26169.26666666667	278.0	3456.9216348813393	20241.517906291345	5p	mlv3p_1.0|NucVar_529.4|canonical_17753.0|nta#G_16.5|nta#C_29.7|nta#A_1738.1|mv_67.5|lv5p_244.66666666666666|nta#T#4_0.2|nta#C#1_29.7|lv5p#1_30.0|nta#T#3_6.5|nta#T#2_1.0|lv5pT_214.66666666666666|nta#T#1_1.0|mlv5p_4.0|lv5p#-3_34.0|lv5p#-2_26.0|lv5p#-1_154.66666666666666|lv3p#2_24.0|lv3p#1_904.0|lv5pE_30.0|nta#A#3_22.0|nta#A#2_280.2|nta#A#1_1435.8999999999999|lv3pT_4848.7|mlv5p#2_4.0|total_26169.26666666667|lv3pE_928.0|mlv3p#2_1.0|nta#G#1_16.5|lv3p_5776.7|lv3p#-3_90.0|lv3p#-2_535.8333333333334|lv3p#-1_4222.866666666667|nta#T_8.7
hsa-let-7f-5p	hsa-let-7f-1	25260.06666666667	255.0	3336.817652203155	19538.265946088657	5p	lv5p#-2_26.0|lv5p_214.66666666666666|nta#A#1_1398.8999999999999|lv5p#-1_154.66666666666666|canonical_17753.0|lv3pE_118.0|nta#C#1_29.7|nta#G_16.5|mlv5p#2_4.0|mlv5p_4.0|nta#C_29.7|nta#G#1_16.5|lv3p_4966.7|nta#A_1682.1|lv3p#1_118.0|nta#T#3_6.5|nta#T#2_1.0|NucVar_529.4|nta#T#1_1.0|mv_54.5|mlv3p_1.0|lv3p#-3_90.0|lv3pT_4848.7|lv3p#-2_535.8333333333334|lv3p#-1_4222.866666666667|lv5pT_214.66666666666666|mlv3p#2_1.0|nta#T_8.5|nta#A#3_3.0|lv5p#-3_34.0|total_25260.06666666667|nta#A#2_280.2
hsa-miR-125a-5p	hsa-mir-125a	21031.0	282.0	2778.164165975461	16267.149114631153	5p	lv5p#-2_3.0|nta#A#1_523.0|lv5p_55.0|lv5p#-1_29.0|canonical_894.0|nta#C#1_24.0|lv5pE_12.0|nta#G_7.0|mlv5p#1_5.0|mlv5p_5.0|nta#C_24.0|nta#G#2_3.0|nta#G#1_4.0|nta#A_528.0|lv3p_18332.0|nta#UA_1.0|nta#T#2_2.0|NucVar_56.0|nta#T#1_501.0|mv_627.0|lv3p#-5_147.0|lv3p#-4_183.0|lv3p#-3_771.0|lv3pT_18332.0|lv5p#1_12.0|lv3p#-2_13652.0|lv3p#-1_3579.0|lv5pT_43.0|nta#T_503.0|lv5p#-3_11.0|nta#A#2_5.0|total_21031.0
hsa-let-7c-5p	hsa-let-7c	16407.26666666667	254.0	2167.3757935874182	12690.76379773591	5p	lv5p#-2_19.0|nta#A#1_1327.5333333333333|lv5p_193.0|lv5p#-1_134.0|canonical_10692.0|lv3pE_1323.5|nta#C#1_38.5|nta#AU_0.2|lv5pE_20.0|nta#G_30.5|nta#C_38.5|nta#G#1_30.5|lv3p_3008.1166666666663|nta#A_1776.5333333333333|lv3p#2_1.0|lv3p#1_1322.5|nta#T#3_4.0|nta#T#2_14.0|NucVar_375.18333333333334|nta#T#1_97.6|mv_177.83333333333331|lv3p#-3_21.0|lv3pT_1684.6166666666668|lv5p#1_20.0|lv3p#-2_235.0|lv3p#-1_1428.6166666666668|lv5pT_173.0|nta#T_115.6|nta#A#3_2.0|lv5p#-3_20.0|total_16407.26666666667|nta#A#2_447.0
hsa-miR-21-5p	hsa-mir-21	16116.0	266.0	2128.899895338335	12465.473592857956	5p	lv5p#-2_35.0|lv5p_220.0|nta#A#1_1382.0|lv5p#-1_115.0|canonical_7087.0|lv3pE_3743.0|nta#C#2_16.0|nta#C#1_16.0|nta#AU_2.0|nta#G_50.0|nta#C_32.0|nta#G#2_1.0|nta#G#1_49.0|lv3p_6776.0|nta#A_1482.0|lv3p#2_217.0|lv3p#1_3526.0|NucVar_265.0|nta#T#1_29.0|mv_175.0|lv3p#-3_44.0|lv3pT_3033.0|lv3p#-2_203.0|lv3p#-1_2786.0|lv5pT_220.0|nta#T_29.0|lv5p#-3_70.0|total_16116.0|nta#A#2_100.0
hsa-miR-204-5p	hsa-mir-204	14718.5	257.0	1944.2922008896307	11384.52923035988	5p	lv5p#-2_75.0|lv5p_289.0|nta#A#1_143.0|lv5p#-1_214.0|canonical_8505.0|lv3pE_2272.0|nta#C#1_21.0|nta#G_18.0|mlv5p#1_27.0|mlv5p_27.0|nta#C_21.0|nta#G#2_2.0|nta#G#1_16.0|lv3p_2992.0|nta#A_144.0|nta#UA_14.0|lv3p#2_154.0|lv3p#1_2118.0|NucVar_389.5|nta#T#2_101.0|nta#T#1_2111.0|mv_121.0|lv3p#-3_63.0|lv3pT_720.0|lv3p#-2_126.0|lv3p#-1_531.0|lv5pT_289.0|nta#T_2212.0|nta#A#2_1.0|total_14718.5
hsa-let-7g-5p	hsa-let-7g	12661.033333333335	160.0	1672.5038805043753	9793.110987525502	5p	lv5p#-2_50.0|nta#A#1_992.4166666666667|lv5p_240.66666666666666|lv5p#-1_152.66666666666666|canonical_8482.0|lv3pE_430.0|nta#C#1_56.0|lv5pE_38.0|nta#G_61.0|nta#C_56.0|nta#G#1_61.0|lv3p_2376.0833333333335|nta#A_1089.4166666666665|nta#T#4_0.2|lv3p#1_430.0|nta#T#3_2.0|NucVar_303.6666666666667|nta#T#1_50.0|lv3p#-3_65.0|lv3pT_1946.0833333333333|lv5p#1_38.0|lv3p#-2_203.58333333333334|lv3p#-1_1677.5|lv5pT_202.66666666666666|nta#T_52.2|nta#A#3_5.0|nta#A#2_92.0|total_12661.033333333335
