name	pre-microRNA	RC_adj	UR	181003-190524_Brain_S35181003-190524_Brain_S35(total)	RPM (lib)	arm	isoString_RC_adj
hsa-let-7a-5p	hsa-let-7a-1	1294992.5999999763	1924.0	49362.04810597221	51582.68532629427	5p	mlv3p_3337.1666666666665|NucVar_27081.299999999963|canonical_877962.3333333334|nta#G_3735.616666666674|nta#C_2105.383333333339|nta#A_61645.400000000176|mv_6790.099999999992|lv5p_20400.39999999999|nta#T#5_0.25|nta#C#2_3.666666666666667|nta#T#4_25.583333333333336|lv5p#2_40.0|nta#C#1_2101.716666666673|lv5p#1_7935.5|nta#T#3_404.66666666666646|nta#T#2_138.1166666666667|lv5pT_12424.900000000007|nta#T#1_633.6333333333336|mlv5p_1692.7|lv5p#-3_1032.8333333333335|lv5p#-2_1739.8999999999996|lv5p#-1_9652.166666666672|lv3p#2_2077.5|lv3p#1_41805.750000000095|lv5pE_7975.5|nta#A#4_17.333333333333332|nta#A#3_283.74999999999994|nta#A#2_4442.216666666659|nta#A#1_56902.10000000011|lv3pT_245156.69999999987|mlv5p#3_59.0|mlv5p#2_1202.0|mlv5p#1_431.7|total_1294992.5999999763|nta#AU_15.899999999999999|lv3pE_43883.250000000095|mlv3p#3_130.5|mlv3p#2_3206.6666666666665|nta#G#2_56.00000000000001|nta#G#1_3679.6166666666736|lv3p_289039.9499999997|lv3p#-3_3807.2499999999986|lv3p#-2_24941.43333333333|lv3p#-1_216408.01666666658|nta#T_1202.2499999999984
hsa-let-7a-5p	hsa-let-7a-3	1290156.516666643	1751.0	49177.708073338435	51390.05243804836	5p	mlv3p_240.5|NucVar_27081.299999999963|canonical_877962.3333333334|nta#G_3630.616666666674|nta#C_2111.8833333333373|nta#A_61291.983333333505|mv_9002.100000000015|lv5p_20020.89999999999|nta#T#5_0.25|nta#C#2_3.666666666666667|nta#T#4_25.583333333333336|nta#C#1_2108.2166666666712|lv5p#1_7596.0|nta#T#3_400.16666666666646|nta#T#2_161.61666666666667|lv5pT_12424.900000000007|nta#T#1_630.1333333333336|nta#UA_9.0|mlv5p_535.7|lv5p#-3_1032.8333333333335|lv5p#-2_1739.8999999999996|lv5p#-1_9652.166666666672|lv3p#2_99.0|lv3p#1_41805.750000000095|lv5pE_7596.0|nta#A#4_17.333333333333332|nta#A#3_249.33333333333334|nta#A#2_4340.216666666659|nta#A#1_56685.10000000011|lv3pT_245156.69999999987|mlv5p#3_30.0|mlv5p#2_74.0|mlv5p#1_431.7|total_1290156.516666643|nta#AU_14.399999999999999|lv3pE_41904.750000000095|mlv3p#2_240.5|nta#G#2_6.0|nta#G#1_3624.6166666666736|lv3p_287061.4499999997|lv3p#-3_3807.2499999999986|lv3p#-2_24941.43333333333|lv3p#-1_216408.01666666658|nta#T_1217.7499999999984
hsa-let-7a-5p	hsa-let-7a-2	1286305.2666666429	1762.0	49030.90755280408	51236.647841865415	5p	mlv3p_460.0|NucVar_27081.299999999963|canonical_877962.3333333334|nta#G_3586.9500000000075|nta#C_2138.8833333333378|nta#A_66897.39999999963|mv_4557.599999999996|lv5p_14156.400000000007|nta#T#5_0.25|nta#C#2_3.666666666666667|nta#T#4_25.583333333333336|lv5p#2_13.0|nta#C#1_2135.2166666666712|lv5p#1_1718.5|nta#T#3_400.16666666666646|nta#T#2_135.61666666666667|lv5pT_12424.900000000007|nta#T#1_758.1333333333336|mlv5p_625.7|lv5p#-3_1032.8333333333335|lv5p#-2_1739.8999999999996|lv5p#-1_9652.166666666672|lv3p#2_556.5|nta#A#5_1.0|lv3p#1_41805.750000000095|lv5pE_1731.5|nta#A#4_18.333333333333332|nta#A#3_517.7500000000001|nta#A#2_10009.71666666668|nta#A#1_56350.60000000011|lv3pT_245156.69999999987|mlv5p#3_53.0|mlv5p#2_141.0|mlv5p#1_431.7|total_1286305.2666666429|nta#AU_14.399999999999999|lv3pE_42362.250000000095|mlv3p#3_57.0|mlv3p#2_403.0|nta#G#2_5.0|nta#G#1_3581.950000000007|lv3p_287518.9499999997|lv3p#-3_3807.2499999999986|lv3p#-2_24941.43333333333|lv3p#-1_216408.01666666658|nta#T_1319.7499999999984
hsa-miR-9-5p	hsa-mir-9-1	1037370.666666687	2540.0	39542.11070528619	41320.98103525595	5p	mlv3p_282.9999999999998|NucVar_9971.000000000031|canonical_246621.66666666666|nta#G_1135.166666666663|nta#C_1720.4999999999943|nta#A_32757.16666666653|mv_25208.833333333263|lv5p_36630.83333333335|nta#C#2_1.0|lv5p#2_16.0|nta#C#1_1719.4999999999945|nta#T#3_20.0|lv5p#1_839.5|nta#T#2_1582.666666666664|lv5pT_35775.33333333335|nta#T#1_46892.000000000204|lv5p#-4_339.3333333333331|nta#UA_103.8333333333333|mlv5p_236.5|lv5p#-3_1801.666666666666|lv5p#-2_8031.666666666669|lv5p#-1_25602.666666666653|lv3p#2_35.66666666666667|nta#A#5_3.3333333333333335|lv3p#1_240.66666666666683|lv5pE_855.5|nta#A#4_10.333333333333332|nta#A#3_206.00000000000009|nta#A#2_4655.66666666666|nta#A#1_27881.833333333238|lv3pT_634035.0000000006|mlv5p#2_93.5|mlv5p#1_143.0|total_1037370.666666687|nta#AU_13.66666666666667|lv3pE_276.333333333333|mlv3p#2_282.9999999999998|nta#G#3_1.3333333333333333|nta#G#2_54.66666666666668|nta#G#1_1079.1666666666672|lv3p_634311.3333333348|lv3p#-4_7990.000000000001|lv3p#-3_11509.0|lv3p#-2_375253.66666666645|lv3p#-1_239282.3333333334|nta#T_48494.666666666955
hsa-miR-9-5p	hsa-mir-9-2	1037370.666666687	2540.0	39542.11070528619	41320.98103525595	5p	mlv3p_282.9999999999998|NucVar_9971.000000000031|canonical_246621.66666666666|nta#G_1135.166666666663|nta#C_1720.4999999999943|nta#A_32757.16666666653|mv_25208.833333333263|lv5p_36630.83333333335|nta#C#2_1.0|lv5p#2_16.0|nta#C#1_1719.4999999999945|nta#T#3_20.0|lv5p#1_839.5|nta#T#2_1582.666666666664|lv5pT_35775.33333333335|nta#T#1_46892.000000000204|lv5p#-4_339.3333333333331|nta#UA_103.8333333333333|mlv5p_236.5|lv5p#-3_1801.666666666666|lv5p#-2_8031.666666666669|lv5p#-1_25602.666666666653|lv3p#2_35.66666666666667|nta#A#5_3.3333333333333335|lv3p#1_240.66666666666683|lv5pE_855.5|nta#A#4_10.333333333333332|nta#A#3_206.00000000000009|nta#A#2_4655.66666666666|nta#A#1_27881.833333333238|lv3pT_634035.0000000006|mlv5p#2_93.5|mlv5p#1_143.0|total_1037370.666666687|nta#AU_13.66666666666667|lv3pE_276.333333333333|mlv3p#2_282.9999999999998|nta#G#3_1.3333333333333333|nta#G#2_54.66666666666668|nta#G#1_1079.1666666666672|lv3p_634311.3333333348|lv3p#-4_7990.000000000001|lv3p#-3_11509.0|lv3p#-2_375253.66666666645|lv3p#-1_239282.3333333334|nta#T_48494.666666666955
hsa-miR-9-5p	hsa-mir-9-3	1035145.666666687	2426.0	39457.29897969348	41232.35390730865	5p	mlv3p_282.9999999999998|NucVar_9971.000000000031|canonical_246621.66666666666|nta#G_1131.6666666666633|nta#C_1716.9999999999943|nta#A_32652.66666666653|mv_23814.333333333263|lv5p_36041.33333333335|nta#C#2_1.0|lv5p#2_16.0|nta#C#1_1715.9999999999945|nta#T#3_20.0|lv5p#1_250.0|nta#T#2_1582.666666666664|lv5pT_35775.33333333335|nta#T#1_46829.000000000204|lv5p#-4_339.3333333333331|nta#UA_102.3333333333333|mlv5p_170.0|lv5p#-3_1801.666666666666|lv5p#-2_8031.666666666669|lv5p#-1_25602.666666666653|lv3p#2_35.66666666666667|nta#A#5_3.3333333333333335|lv3p#1_240.66666666666683|lv5pE_266.0|nta#A#4_10.333333333333332|nta#A#3_213.00000000000009|nta#A#2_4652.666666666659|nta#A#1_27773.333333333238|lv3pT_634035.0000000006|mlv5p#2_27.0|mlv5p#1_143.0|total_1035145.666666687|nta#AU_13.66666666666667|lv3pE_276.333333333333|mlv3p#2_282.9999999999998|nta#G#3_1.3333333333333333|nta#G#2_54.66666666666668|nta#G#1_1075.6666666666672|lv3p_634311.3333333348|lv3p#-4_7990.000000000001|lv3p#-3_11509.0|lv3p#-2_375253.66666666645|lv3p#-1_239282.3333333334|nta#T_48431.666666666955
hsa-let-7f-5p	hsa-let-7f-2	968752.4000000003	1290.0	36926.54504093453	38587.749619799586	5p	mlv3p_349.6666666666667|NucVar_20605.03333333333|canonical_678113.0|nta#G_656.3666666666667|nta#C_1580.1000000000001|nta#A_49588.150000000016|mv_4292.349999999999|lv5p_15035.366666666667|nta#C#2_1.0|nta#T#4_14.2|lv5p#2_59.0|nta#C#1_1579.1000000000001|lv5p#1_3803.5|nta#T#3_410.3333333333333|nta#T#2_92.53333333333335|lv5pT_11172.866666666665|nta#T#1_214.7|mlv5p_907.5|lv5p#-3_1135.8|lv5p#-2_1731.1666666666665|lv5p#-1_8305.899999999998|lv3p#2_369.5|lv3p#1_33270.5|lv5pE_3862.5|nta#A#4_0.5|nta#A#3_392.75|nta#A#2_5004.433333333333|nta#A#1_44190.466666666674|lv3pT_163253.09999999998|mlv5p#2_372.5|mlv5p#1_535.0|total_968752.4000000003|nta#AU_9.0|lv3pE_33640.0|mlv3p#3_38.0|mlv3p#2_311.6666666666667|nta#G#2_9.0|nta#G#1_647.3666666666667|lv3p_196893.09999999998|lv3p#-3_1620.0|lv3p#-2_15957.066666666666|lv3p#-1_145676.03333333333|nta#T_731.7666666666668
hsa-miR-128-3p	hsa-mir-128-1	964276.5	1749.0	36755.93434314557	38409.463704303256	3p	mlv3p_7451.0|NucVar_19930.0|canonical_449944.5|nta#G_2820.0|nta#C_608.5|nta#A_72617.0|mv_14565.0|lv5p_16195.0|lv5p#2_61.0|nta#C#1_608.5|lv5p#1_174.0|nta#T#2_63.0|lv5pT_15960.0|nta#T#1_1855.0|nta#UA_105.5|mlv5p_1627.5|lv5p#-2_4846.0|lv5p#-1_11114.0|lv3p#3_51.0|lv3p#2_24699.0|lv3p#1_298350.0|lv5pE_235.0|nta#A#4_81.5|nta#A#3_849.0|nta#A#2_12344.5|nta#A#1_59342.0|lv3pT_53500.0|mlv5p#3_33.0|mlv5p#2_40.5|mlv5p#1_1554.0|total_964276.5|lv3pE_323100.0|mlv3p#4_13.0|mlv3p#3_36.0|mlv3p#2_7402.0|nta#G#2_2.5|nta#G#1_2817.5|lv3p_376600.0|lv3p#-2_11252.5|lv3p#-1_42247.5|nta#T_1918.0
hsa-let-7f-5p	hsa-let-7f-1	936142.7000000003	1150.0	35683.54057888482	37288.826449362256	5p	mlv3p_311.6666666666667|NucVar_20605.03333333333|canonical_678113.0|nta#G_639.3666666666667|nta#C_1424.1000000000001|nta#A_49418.400000000016|mv_3464.1|lv5p_11880.866666666667|nta#C#2_1.0|lv5p#3_22.0|lv5p#2_104.0|nta#C#1_1423.1000000000001|lv5p#1_582.0|nta#T#3_411.3333333333333|nta#T#2_92.53333333333335|lv5pT_11172.866666666665|nta#T#1_202.7|mlv5p_890.5|lv5p#-3_1135.8|lv5p#-2_1731.1666666666665|lv5p#-1_8305.899999999998|lv3p#2_270.0|lv3p#1_5166.0|lv5pE_708.0|nta#A#4_0.5|nta#A#3_201.5|nta#A#2_4958.433333333333|nta#A#1_44257.966666666674|lv3pT_163253.09999999998|mlv5p#3_30.0|mlv5p#2_325.5|mlv5p#1_535.0|total_936142.7000000003|nta#AU_9.0|lv3pE_5436.0|mlv3p#2_311.6666666666667|nta#G#2_11.0|nta#G#1_628.3666666666667|lv3p_168689.09999999998|lv3p#-3_1620.0|lv3p#-2_15957.066666666666|lv3p#-1_145676.03333333333|nta#T_706.5666666666667
hsa-let-7b-5p	hsa-let-7b	807978.0	1981.0	30798.20603188616	32183.716667237597	5p	mlv3p_1729.0|NucVar_12459.0|canonical_326231.0|nta#G_5634.25|nta#C_1520.25|nta#A_119542.0|mv_5547.0|lv5p_4857.5|nta#T#6_3.0|nta#C#2_1.0|nta#T#5_5.0|nta#T#4_87.5|nta#C#1_1519.25|lv5p#1_85.0|nta#T#3_232.5|nta#T#2_4215.25|lv5pT_4772.5|nta#T#1_59546.75|nta#UA_943.0|mlv5p_1582.0|lv5p#-3_341.75|lv5p#-2_623.25|lv5p#-1_3807.5|lv3p#3_11.0|lv3p#2_270.0|lv3p#1_174856.75|lv5pE_85.0|nta#A#4_130.0|nta#A#3_2616.5|nta#A#2_26552.25|nta#A#1_90243.25|lv3pT_89648.25|mlv5p#2_84.0|mlv5p#1_1498.0|total_807978.0|nta#AU_58.5|lv3pE_175137.75|mlv3p#3_1449.0|mlv3p#2_280.0|nta#G#2_11.0|nta#G#1_5623.25|lv3p_264786.0|lv3p#-3_3861.0|lv3p#-2_20897.25|lv3p#-1_64890.0|nta#T_64090.0
