name	pre-microRNA	RC_adj	UR	181004-190521_Brain_S35181004-190521_Brain_S35(total)	RPM (lib)	arm	isoString_RC_adj
hsa-let-7a-5p	hsa-let-7a-1	1307444.1833333075	2124.0	43991.28680741746	46078.37059549709	5p	mlv3p_3681.8333333333335|NucVar_30081.049999999956|canonical_856015.0|nta#G_3648.48333333334|nta#C_2181.800000000007|nta#A_69267.79999999964|mv_8434.08333333334|lv5p_22849.649999999983|nta#T#5_1.25|nta#C#2_1.0|lv5p#2_35.0|nta#T#4_32.91666666666666|nta#C#1_2180.800000000007|lv5p#1_7289.5|nta#T#3_509.9666666666666|nta#T#2_150.41666666666666|lv5pT_15525.15000000001|nta#T#1_912.9500000000003|nta#UA_1.0|mlv5p_2380.2|lv5p#-3_1906.3499999999997|lv5p#-2_2726.500000000001|lv5p#-1_10892.300000000003|lv3p#2_1946.0|lv3p#1_40600.28333333341|lv5pE_7324.5|nta#A#4_25.0|nta#A#3_376.4166666666665|nta#A#2_5072.849999999997|nta#A#1_63793.53333333344|lv3pT_264750.4999999996|mlv5p#3_20.0|mlv5p#2_1899.0|mlv5p#1_461.2|total_1307444.1833333075|nta#AU_19.0|lv3pE_42546.28333333341|mlv3p#3_18.5|mlv3p#2_3663.3333333333335|nta#G#2_33.53333333333334|nta#G#1_3614.9500000000066|lv3p_307296.78333333257|lv3p#-3_4624.950000000001|lv3p#-2_27098.283333333326|lv3p#-1_233027.26666666675|nta#T_1607.4999999999986
hsa-let-7a-5p	hsa-let-7a-3	1300806.8499999742	1934.0	43767.961912920866	45844.45047179479	5p	mlv3p_109.0|NucVar_30081.049999999956|canonical_856015.0|nta#G_3646.98333333334|nta#C_2183.300000000007|nta#A_68587.29999999962|mv_10194.583333333354|lv5p_22447.149999999983|nta#T#5_0.25|nta#C#2_1.0|nta#T#4_31.916666666666657|nta#C#1_2182.300000000007|lv5p#1_6922.0|nta#T#3_502.9666666666666|nta#T#2_152.41666666666666|lv5pT_15525.15000000001|nta#T#1_893.9500000000003|nta#UA_1.0|mlv5p_505.2|lv5p#-3_1906.3499999999997|lv5p#-2_2726.500000000001|lv5p#-1_10892.300000000003|lv3p#2_105.0|nta#A#5_15.0|lv3p#1_40600.28333333341|lv5pE_6922.0|nta#A#4_18.0|nta#A#3_277.4166666666665|nta#A#2_5022.349999999997|nta#A#1_63254.53333333344|lv3pT_264750.4999999996|mlv5p#3_23.0|mlv5p#2_21.0|mlv5p#1_461.2|total_1300806.8499999742|nta#AU_19.0|lv3pE_40705.28333333341|mlv3p#2_109.0|nta#G#3_2.0|nta#G#2_19.53333333333333|nta#G#1_3625.4500000000066|lv3p_305455.78333333257|lv3p#-3_4624.950000000001|lv3p#-2_27098.283333333326|lv3p#-1_233027.26666666675|nta#T_1581.4999999999986
hsa-let-7a-5p	hsa-let-7a-2	1298333.5999999742	1954.0	43684.74501426975	45757.28550404469	5p	mlv3p_361.0|NucVar_30081.049999999956|canonical_856015.0|nta#G_3595.8166666666734|nta#C_2190.300000000007|nta#A_74909.38333333294|mv_5544.416666666656|lv5p_17471.15|nta#T#5_0.25|nta#C#2_1.0|nta#T#4_31.916666666666657|lv5p#2_85.0|nta#C#1_2189.300000000007|lv5p#1_1861.0|nta#T#3_500.9666666666666|nta#T#2_149.41666666666666|lv5pT_15525.15000000001|nta#T#1_884.9500000000003|mlv5p_637.2|lv5p#-3_1906.3499999999997|lv5p#-2_2726.500000000001|lv5p#-1_10892.300000000003|lv3p#2_610.0|lv3p#1_40600.28333333341|lv5pE_1946.0|nta#A#4_35.0|nta#A#3_721.4166666666671|nta#A#2_11061.683333333338|nta#A#1_63091.28333333344|lv3pT_264750.4999999996|mlv5p#3_14.0|mlv5p#2_162.0|mlv5p#1_461.2|total_1298333.5999999742|nta#AU_21.25|lv3pE_41210.28333333341|mlv3p#3_9.0|mlv3p#2_352.0|nta#G#2_1.5333333333333332|nta#G#1_3594.28333333334|lv3p_305960.78333333257|lv3p#-3_4624.950000000001|lv3p#-2_27098.283333333326|lv3p#-1_233027.26666666675|nta#T_1567.4999999999986
hsa-miR-9-5p	hsa-mir-9-2	1100906.3333333312	2815.0	37041.95320544903	38799.33894304608	5p	mlv3p_162.33333333333348|NucVar_11058.000000000038|canonical_234298.66666666666|nta#G_1550.6666666666652|nta#C_2046.1666666666604|nta#A_34337.166666666686|mv_31050.16666666661|lv5p_35897.00000000001|nta#C#2_4.000000000000001|nta#T#4_0.3333333333333333|nta#C#1_2042.1666666666606|lv5p#1_889.0|nta#T#3_43.0|nta#T#2_1376.4999999999977|lv5pT_35008.00000000001|nta#T#1_45486.16666666687|lv5p#-4_590.6666666666667|nta#UA_132.33333333333326|mlv5p_431.49999999999994|lv5p#-3_2644.000000000001|lv5p#-2_8846.000000000004|lv5p#-1_22927.33333333333|lv3p#2_96.66666666666664|lv3p#1_265.99999999999983|lv5pE_889.0|nta#A#4_12.666666666666666|nta#A#3_258.5000000000001|nta#A#2_4540.6666666666615|nta#A#1_29525.333333333263|lv3pT_702806.0000000009|mlv5p#2_248.16666666666666|mlv5p#1_183.33333333333337|total_1100906.3333333312|nta#AU_15.333333333333336|lv3pE_362.6666666666664|mlv3p#2_162.33333333333348|nta#G#3_7.333333333333332|nta#G#2_136.16666666666674|nta#G#1_1407.1666666666654|lv3p_703168.6666666681|lv3p#-4_8717.333333333334|lv3p#-3_12631.0|lv3p#-2_423411.33333333326|lv3p#-1_258046.33333333352|nta#T_46906.00000000028
hsa-miR-9-5p	hsa-mir-9-1	1100905.3333333312	2816.0	37041.91955866902	38799.303699957934	5p	mlv3p_162.33333333333348|NucVar_11058.000000000038|canonical_234298.66666666666|nta#G_1562.6666666666652|nta#C_2046.1666666666604|nta#A_34337.166666666686|mv_31037.16666666661|lv5p_35897.00000000001|nta#C#2_4.000000000000001|nta#T#4_0.3333333333333333|nta#C#1_2042.1666666666606|lv5p#1_889.0|nta#T#3_43.0|nta#T#2_1376.4999999999977|lv5pT_35008.00000000001|nta#T#1_45486.16666666687|lv5p#-4_590.6666666666667|nta#UA_132.33333333333326|mlv5p_431.49999999999994|lv5p#-3_2644.000000000001|lv5p#-2_8846.000000000004|lv5p#-1_22927.33333333333|lv3p#2_96.66666666666664|lv3p#1_265.99999999999983|lv5pE_889.0|nta#A#4_12.666666666666666|nta#A#3_258.5000000000001|nta#A#2_4540.6666666666615|nta#A#1_29525.333333333263|lv3pT_702806.0000000009|mlv5p#2_248.16666666666666|mlv5p#1_183.33333333333337|total_1100905.3333333312|nta#AU_15.333333333333336|lv3pE_362.6666666666664|mlv3p#2_162.33333333333348|nta#G#3_19.333333333333332|nta#G#2_136.16666666666674|nta#G#1_1407.1666666666654|lv3p_703168.6666666681|lv3p#-4_8717.333333333334|lv3p#-3_12631.0|lv3p#-2_423411.33333333326|lv3p#-1_258046.33333333352|nta#T_46906.00000000028
hsa-miR-9-5p	hsa-mir-9-3	1097548.3333333312	2662.0	36928.96731818714	38680.9926530613	5p	mlv3p_162.33333333333348|NucVar_11058.000000000038|canonical_234298.66666666666|nta#G_1547.6666666666652|nta#C_2042.6666666666604|nta#A_34197.6666666666|mv_28856.66666666661|lv5p_35270.00000000001|nta#C#2_4.000000000000001|nta#T#4_0.3333333333333333|nta#C#1_2038.6666666666606|lv5p#1_262.0|nta#T#3_43.0|nta#T#2_1375.9999999999977|lv5pT_35008.00000000001|nta#T#1_45323.66666666687|lv5p#-4_590.6666666666667|nta#UA_133.33333333333331|mlv5p_203.00000000000003|lv5p#-3_2644.000000000001|lv5p#-2_8846.000000000004|lv5p#-1_22927.33333333333|lv3p#2_96.66666666666664|lv3p#1_265.99999999999983|lv5pE_262.0|nta#A#4_12.666666666666666|nta#A#3_253.00000000000014|nta#A#2_4531.6666666666615|nta#A#1_29400.333333333263|lv3pT_702806.0000000009|mlv5p#2_19.666666666666668|mlv5p#1_183.33333333333337|total_1097548.3333333312|nta#AU_15.333333333333336|lv3pE_362.6666666666664|mlv3p#2_162.33333333333348|nta#G#3_7.333333333333332|nta#G#2_135.66666666666674|nta#G#1_1404.6666666666654|lv3p_703168.6666666681|lv3p#-4_8717.333333333334|lv3p#-3_12631.0|lv3p#-2_423411.33333333326|lv3p#-1_258046.33333333352|nta#T_46743.00000000028
hsa-miR-128-3p	hsa-mir-128-1	1029923.5	2036.0	34653.6094280431	36297.6846912272	3p	mlv3p_6388.5|NucVar_24235.0|canonical_484749.0|nta#G_3644.0|nta#C_858.0|nta#A_78243.5|mv_18352.0|lv5p_21577.5|lv5p#2_85.0|nta#C#1_858.0|lv5p#1_291.0|nta#T#2_19.0|lv5pT_21201.5|nta#T#1_1705.0|nta#UA_114.0|mlv5p_1555.5|lv5p#-2_7803.0|lv5p#-1_13398.5|lv3p#3_35.0|lv3p#2_24035.0|nta#A#5_12.0|lv3p#1_301679.0|lv5pE_376.0|nta#A#4_80.0|nta#A#3_944.5|nta#A#2_13623.0|nta#A#1_63584.0|lv3pT_62847.5|mlv5p#3_16.5|mlv5p#2_22.0|mlv5p#1_1517.0|total_1029923.5|lv3pE_325749.0|mlv3p#4_11.0|mlv3p#3_35.5|mlv3p#2_6342.0|nta#G#2_13.0|nta#G#1_3631.0|lv3p_388596.5|lv3p#-2_13283.0|lv3p#-1_49564.5|nta#T_1724.0
hsa-let-7f-5p	hsa-let-7f-2	1019152.2166666671	1412.0	34291.19042733857	35918.071403295435	5p	mlv3p_474.3333333333333|NucVar_24179.2|canonical_689011.0|nta#G_692.1666666666667|nta#C_1747.9333333333332|nta#A_54948.250000000015|mv_5702.333333333332|lv5p_19235.333333333332|nta#C#2_1.5|nta#T#4_19.0|nta#C#1_1746.4333333333332|lv5p#1_4127.5|nta#T#3_384.3|nta#T#2_88.50000000000001|lv5pT_15107.833333333334|nta#T#1_288.03333333333336|mlv5p_1057.5|lv5p#-3_2004.3666666666668|lv5p#-2_3213.466666666667|lv5p#-1_9890.0|lv3p#2_327.0|lv3p#1_36538.700000000004|lv5pE_4127.5|nta#A#4_1.0|nta#A#3_258.5|nta#A#2_5027.2666666666655|nta#A#1_49661.48333333334|lv3pT_184458.63333333333|mlv5p#3_27.0|mlv5p#2_478.5|mlv5p#1_552.0|total_1019152.2166666671|nta#AU_9.25|lv3pE_36865.700000000004|mlv3p#3_13.0|mlv3p#2_461.3333333333333|nta#G#3_0.3333333333333333|nta#G#2_17.2|nta#G#1_674.6333333333333|lv3p_221324.3333333333|lv3p#-3_2448.8666666666663|lv3p#-2_17917.7|lv3p#-1_164092.06666666665|nta#T_779.8333333333333
hsa-let-7f-5p	hsa-let-7f-1	982565.716666667	1273.0	33060.172510630095	34628.650158945165	5p	mlv3p_488.3333333333333|NucVar_24179.2|canonical_689011.0|nta#G_663.1666666666667|nta#C_1684.9333333333332|nta#A_54771.250000000015|mv_4265.533333333333|lv5p_15654.333333333334|nta#C#2_1.5|lv5p#3_14.0|lv5p#2_43.0|nta#C#1_1683.4333333333332|lv5p#1_489.5|nta#T#3_382.3|nta#T#2_87.50000000000001|lv5pT_15107.833333333334|nta#T#1_342.0333333333333|nta#UA_1.0|mlv5p_1165.5|lv5p#-3_2004.3666666666668|lv5p#-2_3213.466666666667|lv5p#-1_9890.0|lv3p#2_373.0|lv3p#1_5039.0|lv5pE_546.5|nta#A#4_1.0|nta#A#3_209.5|nta#A#2_5013.2666666666655|nta#A#1_49547.48333333334|lv3pT_184458.63333333333|mlv5p#3_90.0|mlv5p#2_523.5|mlv5p#1_552.0|total_982565.716666667|nta#AU_9.25|lv3pE_5412.0|mlv3p#3_27.0|mlv3p#2_461.3333333333333|nta#G#3_0.3333333333333333|nta#G#2_23.2|nta#G#1_639.6333333333333|lv3p_189870.63333333333|lv3p#-3_2448.8666666666663|lv3p#-2_17917.7|lv3p#-1_164092.06666666665|nta#T_811.8333333333333
hsa-miR-26a-5p	hsa-mir-26a-2	900488.8333333334	1753.0	30298.54967349277	31736.007325111404	5p	mlv3p_4814.833333333333|NucVar_28254.166666666668|canonical_691540.5|nta#G_938.1666666666666|nta#C_1378.5|nta#A_48422.333333333336|mv_1828.8333333333333|lv5p_27787.166666666664|nta#C#3_2.0|nta#T#5_1.0|nta#C#2_26.0|nta#T#4_0.5|lv5p#2_13.0|nta#C#1_1350.5|lv5p#1_4876.0|nta#T#3_672.5|nta#T#2_5135.5|lv5pT_22898.166666666664|nta#T#1_43667.83333333333|nta#UA_103.16666666666667|mlv5p_1475.5|lv5p#-3_1180.8333333333333|lv5p#-2_4106.5|lv5p#-1_17610.833333333332|lv3p#3_18.0|lv3p#2_430.0|lv3p#1_1692.0|lv5pE_4889.0|nta#A#3_376.0|nta#A#2_4466.0|nta#A#1_43580.333333333336|lv3pT_42431.5|mlv5p#3_31.0|mlv5p#2_705.0|mlv5p#1_739.5|total_900488.8333333334|nta#AU_82.0|lv3pE_2140.0|mlv3p#3_297.0|mlv3p#2_4517.833333333333|nta#G#2_4.5|nta#G#1_933.6666666666666|lv3p_44571.5|lv3p#-3_1368.8333333333333|lv3p#-2_6250.166666666667|lv3p#-1_34812.5|nta#T_49477.33333333333
