name	pre-microRNA	RC_adj	UR	32150116_EXO_S3132150116_EXO_S31(total)	RPM (lib)	arm	isoString_RC_adj
hsa-miR-30a-5p	hsa-mir-30a	510952.5	1484.0	67354.91509855296	165949.2726134211	5p	mlv3p_502.0|NucVar_3250.5|canonical_81712.0|nta#G_838.5|nta#C_719.5|nta#A_34913.5|mv_19341.0|lv5p_3216.5|nta#C#2_75.5|lv5p#2_11.0|nta#C#1_644.0|lv5p#1_4.5|nta#T#2_95.0|lv5pT_3201.0|nta#T#1_9416.0|nta#UA_7.0|mlv5p_302.0|lv5p#-3_357.0|lv5p#-2_745.5|lv5p#-1_2098.5|lv3p#3_100.0|lv3p#2_171060.0|lv3p#1_131232.0|lv5pE_15.5|nta#A#4_27.0|nta#A#3_119.0|nta#A#2_1716.0|nta#A#1_33051.5|lv3pT_54254.0|mlv5p#2_60.0|mlv5p#1_242.0|total_510952.5|nta#AU_60.5|lv3pE_302392.0|mlv3p#3_13.0|mlv3p#2_489.0|nta#G#3_2.0|nta#G#2_215.5|nta#G#1_621.0|lv3p_356646.0|lv3p#-3_4129.0|lv3p#-2_2181.0|lv3p#-1_47944.0|nta#T_9511.0
hsa-miR-10b-5p	hsa-mir-10b	290381.0	1167.0	38278.68070169518	94311.14581249302	5p	mlv3p_1.0|NucVar_1647.0|canonical_33834.0|nta#G_218.5|nta#C_561.5|nta#A_15196.5|mv_17208.5|lv5p_8300.0|nta#C#1_561.5|lv5p#1_153.0|nta#T#2_87.0|lv5pT_8147.0|nta#T#1_860.5|lv5p#-4_101.0|nta#UA_9.0|mlv5p_36.0|lv5p#-3_171.5|lv5p#-2_509.0|lv5p#-1_7365.5|lv3p#2_17.0|lv3p#1_3733.5|lv5pE_153.0|nta#A#3_42.0|nta#A#2_1036.0|nta#A#1_14118.5|lv3pT_208680.0|mlv5p#1_36.0|total_290381.0|nta#AU_2.0|lv3pE_3750.5|mlv3p#2_1.0|nta#G#4_1.0|nta#G#3_1.0|nta#G#2_31.5|nta#G#1_185.0|lv3p_212430.5|lv3p#-4_435.5|lv3p#-3_1500.0|lv3p#-2_13909.0|lv3p#-1_192835.5|nta#T_947.5
hsa-miR-10a-5p	hsa-mir-10a	263410.0	1285.0	34723.302432437136	85551.39254451492	5p	NucVar_2212.0|canonical_39285.0|nta#G_253.5|nta#C_450.5|nta#A_20378.5|mv_25291.0|lv5p_19579.5|nta#C#1_450.5|lv5p#1_154.0|nta#T#3_1.0|nta#T#2_45.0|lv5pT_19425.5|nta#T#1_796.5|lv5p#-4_238.5|nta#UA_7.0|mlv5p_65.0|lv5p#-3_200.5|lv5p#-2_747.0|lv5p#-1_18239.5|lv3p#2_23.0|lv3p#1_5676.5|lv5pE_154.0|nta#A#4_12.0|nta#A#3_90.0|nta#A#2_1371.0|nta#A#1_18905.5|lv3pT_149353.0|mlv5p#2_35.0|mlv5p#1_30.0|total_263410.0|nta#AU_11.0|lv3pE_5699.5|nta#G#2_32.5|nta#G#1_221.0|lv3p_155052.5|lv3p#-4_310.5|lv3p#-3_1388.0|lv3p#-2_9771.0|lv3p#-1_137883.5|nta#T_842.5
hsa-miR-30d-5p	hsa-mir-30d	238352.5	1111.0	31420.166064414687	77413.11374460533	5p	mlv3p_267.5|NucVar_1596.5|canonical_38152.0|nta#G_351.0|nta#C_325.0|nta#A_18529.5|mv_6218.0|lv5p_1741.0|nta#C#2_31.0|nta#C#1_294.0|lv5p#1_66.0|nta#T#2_46.0|lv5pT_1675.0|nta#T#1_6405.0|nta#UA_3.0|mlv5p_130.5|lv5p#-3_196.0|lv5p#-2_299.5|lv5p#-1_1179.5|lv3p#3_4.0|lv3p#2_81632.0|nta#A#5_2.0|lv3p#1_58301.0|lv5pE_66.0|nta#A#3_74.0|nta#A#2_981.0|nta#A#1_17472.5|lv3pT_24653.5|mlv5p#1_130.5|total_238352.5|nta#AU_24.0|lv3pE_139937.0|mlv3p#2_267.5|nta#G#2_80.0|nta#G#1_271.0|lv3p_164590.5|lv3p#-3_1812.0|lv3p#-2_2487.0|lv3p#-1_20354.5|nta#T_6451.0
hsa-let-7b-5p	hsa-let-7b	215136.75	1194.0	28359.813350220644	69873.00615011263	5p	mlv3p_214.0|NucVar_3322.0|canonical_84835.0|nta#G_1707.0|nta#C_499.5|nta#A_31676.0|mv_1439.0|lv5p_1392.75|nta#T#6_1.0|nta#T#4_30.0|nta#C#1_499.5|lv5p#1_29.0|nta#T#3_56.0|nta#T#2_1061.0|lv5pT_1363.75|nta#T#1_15537.25|nta#UA_222.5|mlv5p_380.5|lv5p#-3_80.0|lv5p#-2_264.0|lv5p#-1_1019.75|lv3p#2_91.0|lv3p#1_47440.0|lv5pE_29.0|nta#A#4_26.0|nta#A#3_691.0|nta#A#2_9145.5|nta#A#1_21813.5|lv3pT_25454.75|mlv5p#2_16.0|mlv5p#1_364.5|total_215136.75|nta#AU_14.0|lv3pE_47531.0|mlv3p#3_153.0|mlv3p#2_61.0|nta#G#2_2.0|nta#G#1_1705.0|lv3p_72985.75|lv3p#-3_335.5|lv3p#-2_5266.0|lv3p#-1_19853.25|nta#T_16685.25
hsa-let-7a-5p	hsa-let-7a-1	83391.0499999994	717.0	10992.796967876946	27084.09116301287	5p	mlv3p_193.0|NucVar_1935.8833333333328|canonical_54803.333333333336|nta#G_292.5833333333329|nta#C_153.16666666666674|nta#A_4827.6999999999925|mv_466.61666666666645|lv5p_1380.5166666666657|nta#C#2_0.6666666666666666|nta#T#4_1.6666666666666667|nta#C#1_152.50000000000009|lv5p#1_514.0|nta#T#3_35.95000000000002|nta#T#2_8.166666666666666|lv5pT_866.5166666666671|nta#T#1_53.2|mlv5p_201.75|lv5p#-3_107.58333333333331|lv5p#-2_125.8333333333333|lv5p#-1_633.1|lv3p#2_164.0|lv3p#1_3229.0666666666684|lv5pE_514.0|nta#A#3_13.666666666666668|nta#A#2_563.8666666666671|nta#A#1_4250.166666666662|lv3pT_15644.450000000003|mlv5p#2_178.0|mlv5p#1_23.75|total_83391.0499999994|nta#AU_1.4|lv3pE_3393.0666666666684|mlv3p#2_193.0|nta#G#2_6.333333333333333|nta#G#1_286.2499999999996|lv3p_19037.516666666645|lv3p#-3_208.00000000000006|lv3p#-2_1778.1000000000001|lv3p#-1_13658.35|nta#T_98.98333333333329
hsa-let-7a-5p	hsa-let-7a-2	82834.38333333275	687.0	10919.4159078537	26903.29465370629	5p	mlv3p_18.0|NucVar_1935.8833333333328|canonical_54803.333333333336|nta#G_297.5833333333329|nta#C_153.16666666666674|nta#A_5268.1999999999925|mv_296.44999999999993|lv5p_985.5166666666671|nta#C#2_0.6666666666666666|nta#T#4_1.6666666666666667|nta#C#1_152.50000000000009|lv5p#1_119.0|nta#T#3_35.95000000000002|nta#T#2_7.166666666666665|lv5pT_866.5166666666671|nta#T#1_62.2|mlv5p_57.75|lv5p#-3_107.58333333333331|lv5p#-2_125.8333333333333|lv5p#-1_633.1|lv3p#2_38.0|lv3p#1_3229.0666666666684|lv5pE_119.0|nta#A#3_14.666666666666668|nta#A#2_1083.3666666666654|nta#A#1_4170.16666666666|lv3pT_15644.450000000003|mlv5p#3_14.0|mlv5p#2_20.0|mlv5p#1_23.75|total_82834.38333333275|nta#AU_1.4|lv3pE_3267.0666666666684|mlv3p#2_18.0|nta#G#2_4.333333333333333|nta#G#1_293.2499999999996|lv3p_18911.516666666645|lv3p#-3_208.00000000000006|lv3p#-2_1778.1000000000001|lv3p#-1_13658.35|nta#T_106.98333333333329
hsa-let-7a-5p	hsa-let-7a-3	82782.5499999994	686.0	10912.583120528181	26886.460008678037	5p	mlv3p_9.0|NucVar_1935.8833333333328|canonical_54803.333333333336|nta#G_303.5833333333329|nta#C_154.16666666666674|nta#A_4723.6999999999925|mv_608.1166666666674|lv5p_1215.516666666666|nta#C#2_0.6666666666666666|lv5p#3_11.0|nta#T#4_1.6666666666666667|nta#C#1_153.50000000000009|lv5p#1_338.0|nta#T#3_35.95000000000002|nta#T#2_7.166666666666665|lv5pT_866.5166666666671|nta#T#1_52.2|mlv5p_50.75|lv5p#-3_107.58333333333331|lv5p#-2_125.8333333333333|lv5p#-1_633.1|lv3p#3_8.0|lv3p#1_3229.0666666666684|lv5pE_349.0|nta#A#3_13.666666666666668|nta#A#2_537.8666666666671|nta#A#1_4172.166666666661|lv3pT_15644.450000000003|mlv5p#3_11.0|mlv5p#2_16.0|mlv5p#1_23.75|total_82782.5499999994|nta#AU_1.4|lv3pE_3237.0666666666684|mlv3p#2_9.0|nta#G#3_14.0|nta#G#2_4.333333333333333|nta#G#1_285.2499999999996|lv3p_18881.516666666645|lv3p#-3_208.00000000000006|lv3p#-2_1778.1000000000001|lv3p#-1_13658.35|nta#T_96.98333333333329
hsa-miR-26a-5p	hsa-mir-26a-2	81917.83333333333	638.0	10798.594212229274	26605.613742440106	5p	mlv3p_415.0|NucVar_2553.1666666666665|canonical_61371.5|nta#G_115.0|nta#C_129.0|nta#A_5618.5|mv_166.5|lv5p_2562.3333333333335|nta#C#2_1.0|lv5p#2_5.0|nta#C#1_128.0|lv5p#1_365.0|nta#T#3_44.5|nta#T#2_491.0|lv5pT_2192.3333333333335|nta#T#1_3917.8333333333335|nta#UA_10.833333333333334|mlv5p_141.0|lv5p#-3_91.83333333333333|lv5p#-2_294.0|lv5p#-1_1806.5|lv3p#2_14.5|lv3p#1_163.0|lv5pE_370.0|nta#A#3_82.0|nta#A#2_598.0|nta#A#1_4938.5|lv3pT_4215.0|mlv5p#3_9.0|mlv5p#2_51.0|mlv5p#1_81.0|total_81917.83333333333|nta#AU_8.0|lv3pE_177.5|mlv3p#3_52.0|mlv3p#2_363.0|nta#G#2_0.5|nta#G#1_114.5|lv3p_4392.5|lv3p#-3_102.33333333333333|lv3p#-2_444.6666666666667|lv3p#-1_3668.0|nta#T_4453.333333333333
hsa-miR-26a-5p	hsa-mir-26a-1	81352.83333333333	613.0	10724.114633343404	26422.110698563065	5p	mlv3p_363.0|NucVar_2553.1666666666665|canonical_61371.5|nta#G_115.0|nta#C_126.0|nta#A_5585.5|mv_146.5|lv5p_2298.3333333333335|nta#C#2_1.0|lv5p#2_13.0|nta#C#1_125.0|nta#T#3_0.5|lv5p#1_93.0|nta#T#2_461.0|lv5pT_2192.3333333333335|nta#T#1_3858.8333333333335|nta#UA_10.833333333333334|mlv5p_81.0|lv5p#-3_91.83333333333333|lv5p#-2_294.0|lv5p#-1_1806.5|lv3p#2_14.5|lv3p#1_163.0|lv5pE_106.0|nta#A#3_82.0|nta#A#2_589.0|nta#A#1_4914.5|lv3pT_4215.0|mlv5p#1_81.0|total_81352.83333333333|nta#AU_8.0|lv3pE_177.5|mlv3p#2_363.0|nta#G#2_0.5|nta#G#1_114.5|lv3p_4392.5|lv3p#-3_102.33333333333333|lv3p#-2_444.6666666666667|lv3p#-1_3668.0|nta#T_4320.333333333333
