name	pre-microRNA	RC_adj	UR	32170434_EXO_S2832170434_EXO_S28(total)	RPM (lib)	arm	isoString_RC_adj
hsa-miR-30a-5p	hsa-mir-30a	337227.5	1224.0	51515.86672349448	156582.93505913403	5p	mlv3p_312.5|NucVar_2324.5|canonical_60793.0|nta#G_386.0|nta#C_506.0|nta#A_24692.0|mv_10510.5|lv5p_2433.5|nta#C#2_62.5|nta#C#1_443.5|lv5p#1_19.0|nta#T#2_153.0|lv5pT_2414.5|nta#T#1_7416.5|nta#UA_1.0|mlv5p_91.0|lv5p#-3_342.5|lv5p#-2_402.0|lv5p#-1_1670.0|lv3p#3_20.0|nta#A#6_1.0|lv3p#2_99562.5|lv3p#1_89757.5|lv5pE_19.0|nta#A#4_7.0|nta#A#3_75.0|nta#A#2_1006.0|nta#A#1_23603.0|lv3pT_38269.0|mlv5p#2_16.0|mlv5p#1_75.0|total_337227.5|nta#AU_26.0|lv3pE_189340.0|mlv3p#2_312.5|nta#G#3_3.0|nta#G#2_66.0|nta#G#1_317.0|lv3p_227609.0|lv3p#-3_2964.0|lv3p#-2_1893.5|lv3p#-1_33411.5|nta#T_7569.5
hsa-miR-10b-5p	hsa-mir-10b	175805.0	917.0	26856.489904660644	81630.5399116948	5p	mlv3p_1.0|NucVar_1053.5|canonical_20931.0|nta#G_182.5|nta#C_226.0|nta#A_9315.5|mv_11070.5|lv5p_5588.5|nta#C#1_226.0|lv5p#1_89.0|nta#T#2_48.0|lv5pT_5499.5|nta#T#1_576.5|lv5p#-4_45.0|nta#UA_3.0|mlv5p_18.0|lv5p#-3_110.0|lv5p#-2_242.0|lv5p#-1_5102.5|lv3p#2_12.0|lv3p#1_2413.0|lv5pE_89.0|nta#A#3_2.0|nta#A#2_522.0|nta#A#1_8791.5|lv3pT_124369.0|mlv5p#2_4.0|mlv5p#1_14.0|total_175805.0|nta#AU_9.0|lv3pE_2425.0|mlv3p#2_1.0|nta#G#3_2.0|nta#G#2_23.0|nta#G#1_157.5|lv3p_126794.0|lv3p#-4_299.0|lv3p#-3_767.0|lv3p#-2_8303.0|lv3p#-1_115000.0|nta#T_624.5
hsa-miR-10a-5p	hsa-mir-10a	154095.0	1023.0	23540.006324386006	71550.058574515	5p	NucVar_1199.5|canonical_23981.0|nta#G_165.5|nta#C_273.0|nta#A_13103.5|mv_16732.5|lv5p_13373.5|nta#C#2_1.0|nta#C#1_272.0|nta#T#3_1.0|lv5p#1_57.0|nta#T#2_54.0|lv5pT_13316.5|nta#T#1_493.5|lv5p#-4_97.0|nta#UA_3.0|mlv5p_41.0|lv5p#-3_147.0|lv5p#-2_317.0|lv5p#-1_12755.5|lv3p#2_26.0|nta#A#5_5.0|lv3p#1_3419.0|lv5pE_57.0|nta#A#3_36.0|nta#A#2_779.0|nta#A#1_12283.5|lv3pT_81232.0|mlv5p#1_41.0|total_154095.0|nta#AU_2.0|lv3pE_3445.0|nta#G#4_2.0|nta#G#3_1.0|nta#G#2_21.0|nta#G#1_141.5|lv3p_84677.0|lv3p#-4_288.0|lv3p#-3_563.0|lv3p#-2_5723.0|lv3p#-1_74658.0|nta#T_548.5
hsa-miR-30d-5p	hsa-mir-30d	143969.5	864.0	21993.205104115586	66848.54250912514	5p	mlv3p_135.5|NucVar_1040.5|canonical_25596.0|nta#G_247.5|nta#C_136.5|nta#A_12672.0|mv_3294.5|lv5p_918.0|nta#C#2_21.5|nta#C#1_115.0|nta#T#3_13.0|nta#T#2_45.0|lv5pT_918.0|nta#T#1_4170.5|nta#UA_2.0|mlv5p_71.0|lv5p#-3_200.5|lv5p#-2_179.0|lv5p#-1_538.5|lv3p#3_31.0|lv3p#2_40746.0|lv3p#1_37881.5|nta#A#3_15.0|nta#A#2_661.5|nta#A#1_11995.5|lv3pT_16971.0|mlv5p#1_71.0|total_143969.5|nta#AU_14.0|lv3pE_78658.5|mlv3p#2_135.5|nta#G#3_1.0|nta#G#2_35.0|nta#G#1_211.5|lv3p_95629.5|lv3p#-3_909.0|lv3p#-2_2384.0|lv3p#-1_13678.0|nta#T_4228.5
hsa-let-7b-5p	hsa-let-7b	124837.5	905.0	19070.54440131437	57965.089310464435	5p	mlv3p_142.0|NucVar_1771.0|canonical_48844.0|nta#G_976.25|nta#C_262.0|nta#A_18889.0|mv_805.0|lv5p_780.25|nta#T#5_1.0|nta#T#4_16.0|nta#C#1_262.0|lv5p#1_26.0|nta#T#3_70.0|nta#T#2_556.0|lv5pT_754.25|nta#T#1_8633.0|nta#UA_164.5|mlv5p_209.5|lv5p#-3_88.0|lv5p#-2_118.0|lv5p#-1_548.25|lv3p#2_76.0|nta#A#5_2.0|lv3p#1_26970.0|lv5pE_26.0|nta#A#3_444.0|nta#A#2_5194.0|nta#A#1_13249.0|lv3pT_15836.5|mlv5p#1_209.5|total_124837.5|nta#AU_17.0|lv3pE_27046.0|mlv3p#3_107.0|mlv3p#2_35.0|nta#G#2_7.0|nta#G#1_969.25|lv3p_42882.5|lv3p#-3_248.0|lv3p#-2_3175.25|lv3p#-1_12413.25|nta#T_9276.0
hsa-let-7a-5p	hsa-let-7a-1	70175.04999999942	631.0	10720.147446796396	32583.983503484716	5p	mlv3p_217.0|NucVar_1446.6166666666654|canonical_45248.666666666664|nta#G_206.75000000000009|nta#C_94.44999999999995|nta#A_4038.7166666666717|mv_341.16666666666663|lv5p_1028.7000000000007|nta#T#4_1.3333333333333333|nta#C#1_94.44999999999995|lv5p#1_284.0|nta#T#3_30.249999999999993|nta#T#2_11.000000000000002|lv5pT_744.7|nta#T#1_37.800000000000004|nta#UA_5.0|mlv5p_53.5|lv5p#-3_83.16666666666666|lv5p#-2_153.25000000000006|lv5p#-1_508.28333333333313|lv3p#2_121.0|lv3p#1_2564.6333333333364|lv5pE_284.0|nta#A#3_34.41666666666667|nta#A#2_388.6333333333332|nta#A#1_3615.6666666666706|lv3pT_14733.466666666662|mlv5p#2_36.0|mlv5p#1_17.5|total_70175.04999999942|nta#AU_1.0|lv3pE_2685.6333333333364|mlv3p#3_4.0|mlv3p#2_213.0|nta#G#1_206.75000000000009|lv3p_17419.099999999984|lv3p#-3_191.1666666666667|lv3p#-2_1530.883333333334|lv3p#-1_13011.416666666662|nta#T_80.38333333333328
hsa-let-7a-5p	hsa-let-7a-2	70041.54999999942	601.0	10699.753593366333	32521.996204612606	5p	mlv3p_10.0|NucVar_1446.6166666666654|canonical_45248.666666666664|nta#G_199.75000000000009|nta#C_94.44999999999995|nta#A_4430.216666666656|mv_303.1666666666668|lv5p_892.7000000000008|nta#T#4_1.3333333333333333|nta#C#1_94.44999999999995|lv5p#1_148.0|nta#T#3_30.249999999999993|nta#T#2_11.000000000000002|lv5pT_744.7|nta#T#1_29.8|mlv5p_17.5|lv5p#-3_83.16666666666666|lv5p#-2_153.25000000000006|lv5p#-1_508.28333333333313|lv3p#2_28.0|lv3p#1_2564.6333333333364|lv5pE_148.0|nta#A#3_65.41666666666667|nta#A#2_801.6333333333338|nta#A#1_3563.1666666666706|lv3pT_14733.466666666662|mlv5p#1_17.5|total_70041.54999999942|nta#AU_1.0|lv3pE_2592.6333333333364|mlv3p#2_10.0|nta#G#1_199.75000000000009|lv3p_17326.099999999984|lv3p#-3_191.1666666666667|lv3p#-2_1530.883333333334|lv3p#-1_13011.416666666662|nta#T_72.38333333333328
hsa-let-7a-5p	hsa-let-7a-3	69905.04999999942	596.0	10678.901451095146	32458.615932732137	5p	mlv3p_5.0|NucVar_1446.6166666666654|canonical_45248.666666666664|nta#G_199.75000000000009|nta#C_96.44999999999995|nta#A_3996.7166666666717|mv_497.1666666666666|lv5p_985.7000000000008|nta#T#4_1.3333333333333333|nta#C#1_96.44999999999995|lv5p#1_241.0|nta#T#3_30.249999999999993|nta#T#2_11.000000000000002|lv5pT_744.7|nta#T#1_29.8|mlv5p_29.5|lv5p#-3_83.16666666666666|lv5p#-2_153.25000000000006|lv5p#-1_508.28333333333313|lv3p#2_29.0|lv3p#1_2564.6333333333364|lv5pE_241.0|nta#A#3_20.916666666666668|nta#A#2_388.6333333333332|nta#A#1_3587.1666666666706|lv3pT_14733.466666666662|mlv5p#3_5.0|mlv5p#2_7.0|mlv5p#1_17.5|total_69905.04999999942|nta#AU_1.0|lv3pE_2593.6333333333364|mlv3p#2_5.0|nta#G#1_199.75000000000009|lv3p_17327.099999999984|lv3p#-3_191.1666666666667|lv3p#-2_1530.883333333334|lv3p#-1_13011.416666666662|nta#T_72.38333333333328
hsa-miR-26a-5p	hsa-mir-26a-2	62568.666666666664	554.0	9558.17391246785	29052.154611955637	5p	mlv3p_309.0|NucVar_1794.3333333333333|canonical_47075.0|nta#G_49.5|nta#C_92.5|nta#A_4414.0|mv_168.5|lv5p_1639.0|nta#C#2_8.0|lv5p#3_3.0|nta#C#1_84.5|nta#T#3_28.5|lv5p#1_277.0|nta#T#2_287.5|lv5pT_1359.0|nta#T#1_3101.0|nta#UA_3.5|mlv5p_65.0|lv5p#-3_58.0|lv5p#-2_289.5|lv5p#-1_1011.5|lv3p#3_1.0|lv3p#2_20.0|nta#A#5_0.5|lv3p#1_141.0|lv5pE_280.0|nta#A#3_34.0|nta#A#2_554.5|nta#A#1_3825.0|lv3pT_3382.833333333333|mlv5p#2_23.0|mlv5p#1_42.0|total_62568.666666666664|nta#AU_6.5|lv3pE_162.0|mlv3p#3_46.0|mlv3p#2_263.0|nta#G#2_0.5|nta#G#1_49.0|lv3p_3544.833333333333|lv3p#-3_74.5|lv3p#-2_480.83333333333337|lv3p#-1_2827.5|nta#T_3417.0
hsa-miR-26a-5p	hsa-mir-26a-1	62171.666666666664	518.0	9497.527022492306	28867.81785051573	5p	mlv3p_263.0|NucVar_1794.3333333333333|canonical_47075.0|nta#G_49.5|nta#C_92.5|nta#A_4409.0|mv_137.0|lv5p_1372.0|nta#C#2_8.0|nta#C#1_84.5|lv5p#1_13.0|nta#T#3_1.5|nta#T#2_280.5|lv5pT_1359.0|nta#T#1_3111.5|nta#UA_2.0|mlv5p_42.0|lv5p#-3_58.0|lv5p#-2_289.5|lv5p#-1_1011.5|lv3p#2_20.0|nta#A#5_0.5|lv3p#1_141.0|lv5pE_13.0|nta#A#3_34.0|nta#A#2_554.5|nta#A#1_3820.0|lv3pT_3382.833333333333|mlv5p#1_42.0|total_62171.666666666664|nta#AU_5.5|lv3pE_161.0|mlv3p#2_263.0|nta#G#2_0.5|nta#G#1_49.0|lv3p_3543.833333333333|lv3p#-3_74.5|lv3p#-2_480.83333333333337|lv3p#-1_2827.5|nta#T_3393.5
