name	pre-microRNA	RC_adj	UR	32151684_EXO_S1332151684_EXO_S13(total)	RPM (lib)	arm	isoString_RC_adj
hsa-miR-10b-5p	hsa-mir-10b	339322.5	1698.0	68521.44247760983	158046.49230383715	5p	NucVar_3824.5|canonical_39601.0|nta#G_232.0|nta#C_450.5|nta#A_16080.0|mv_23369.5|lv5p_8715.5|nta#C#1_450.5|lv5p#1_157.0|nta#T#3_3.0|nta#T#2_374.5|lv5pT_8558.5|nta#T#1_1939.5|lv5p#-4_394.0|nta#UA_20.0|mlv5p_3.0|lv5p#-3_115.0|lv5p#-2_445.0|lv5p#-1_7604.5|lv3p#2_1.0|lv3p#1_4824.5|lv5pE_157.0|nta#A#3_4.0|nta#A#2_822.0|nta#A#1_15254.0|lv3pT_239904.0|mlv5p#1_3.0|total_339322.5|nta#AU_6.0|lv3pE_4825.5|nta#G#2_27.0|nta#G#1_205.0|lv3p_244729.5|lv3p#-4_328.0|lv3p#-3_2170.0|lv3p#-2_17930.5|lv3p#-1_219475.5|nta#T_2317.0
hsa-miR-30a-5p	hsa-mir-30a	305071.5	1860.0	61604.93111658717	142093.3786497213	5p	mlv3p_704.5|NucVar_3173.0|canonical_39776.0|nta#G_436.5|nta#C_621.5|nta#A_28853.0|mv_16973.0|lv5p_1674.5|nta#C#3_1.0|nta#C#2_141.5|nta#C#1_479.0|nta#T#3_2.0|lv5p#1_4.0|nta#T#2_247.5|lv5pT_1670.5|nta#T#1_6674.0|nta#UA_17.5|mlv5p_193.0|lv5p#-3_537.5|lv5p#-2_232.0|lv5p#-1_901.0|lv3p#3_7.0|lv3p#2_109798.5|nta#A#5_1.0|lv3p#1_68130.5|lv5pE_4.0|nta#A#4_5.0|nta#A#3_204.5|nta#A#2_1167.0|nta#A#1_27475.5|lv3pT_27807.0|mlv5p#1_193.0|total_305071.5|nta#AU_116.0|lv3pE_177936.0|mlv3p#2_704.5|nta#G#2_172.5|nta#G#1_264.0|lv3p_205743.0|lv3p#-3_1156.5|lv3p#-2_1528.0|lv3p#-1_25122.5|nta#T_6923.5
hsa-miR-10a-5p	hsa-mir-10a	287759.5	1821.0	58109.01436431645	134029.95557944442	5p	mlv3p_2.0|NucVar_4399.5|canonical_43182.0|nta#G_155.0|nta#C_807.5|nta#A_18430.5|mv_31144.0|lv5p_18665.5|nta#C#1_807.5|lv5p#1_4.0|nta#T#2_122.5|lv5pT_18661.5|nta#T#1_1535.5|lv5p#-4_665.0|nta#UA_24.0|mlv5p_160.0|lv5p#-3_114.0|lv5p#-2_1214.0|lv5p#-1_16668.5|lv3p#2_4.0|lv3p#1_6577.5|lv5pE_4.0|nta#A#3_287.0|nta#A#2_1561.0|nta#A#1_16582.5|lv3pT_162574.0|mlv5p#1_160.0|total_287759.5|nta#AU_12.0|lv3pE_6581.5|mlv3p#2_2.0|nta#G#2_35.0|nta#G#1_120.0|lv3p_169155.5|lv3p#-4_634.0|lv3p#-3_1562.0|lv3p#-2_11453.5|lv3p#-1_148924.5|nta#T_1658.0
hsa-let-7b-5p	hsa-let-7b	139743.25	1227.0	28219.198746057955	65088.317119077554	5p	mlv3p_23.0|NucVar_3419.0|canonical_50353.0|nta#G_448.75|nta#C_360.0|nta#A_22824.5|mv_1343.0|lv5p_1820.75|nta#T#6_2.0|nta#T#5_6.0|nta#T#4_38.0|nta#C#1_360.0|lv5p#1_1.0|nta#T#3_48.75|nta#T#2_1872.0|lv5pT_1819.75|nta#T#1_12360.5|nta#UA_192.5|mlv5p_61.0|lv5p#-3_157.25|lv5p#-2_347.5|lv5p#-1_1315.0|lv3p#2_258.0|lv3p#1_32575.5|lv5pE_1.0|nta#A#4_1.0|nta#A#3_952.5|nta#A#2_7191.25|nta#A#1_14679.75|lv3pT_11929.5|mlv5p#1_61.0|total_139743.25|nta#AU_23.0|lv3pE_32833.5|mlv3p#3_12.0|mlv3p#2_11.0|nta#G#1_448.75|lv3p_44763.0|lv3p#-3_166.0|lv3p#-2_2035.5|lv3p#-1_9728.0|nta#T_14327.25
hsa-miR-30d-5p	hsa-mir-30d	124762.5	1211.0	25194.04539077956	58110.72208903766	5p	mlv3p_254.5|NucVar_939.0|canonical_13035.0|nta#G_159.0|nta#C_234.0|nta#A_11809.0|mv_4065.0|lv5p_846.5|nta#C#3_1.0|nta#C#2_48.5|nta#C#1_184.5|nta#T#3_79.0|nta#T#2_12.5|lv5pT_846.5|nta#T#1_4469.5|nta#UA_10.0|lv5p#-3_162.5|lv5p#-2_332.0|lv5p#-1_352.0|lv3p#3_9.0|lv3p#2_47980.5|lv3p#1_28663.0|nta#A#4_1.0|nta#A#3_52.0|nta#A#2_785.0|nta#A#1_10971.0|lv3pT_12207.0|total_124762.5|nta#AU_38.5|lv3pE_76652.5|mlv3p#2_254.5|nta#G#2_42.5|nta#G#1_116.5|lv3p_88859.5|lv3p#-3_668.5|lv3p#-2_971.0|lv3p#-1_10567.5|nta#T_4561.0
hsa-let-7a-5p	hsa-let-7a-2	79278.63333333253	861.0	16009.213399210093	36925.667802681135	5p	mlv3p_1.0|NucVar_3313.2333333333354|canonical_50321.0|nta#G_160.3666666666668|nta#C_125.24999999999996|nta#A_7082.49999999999|mv_200.61666666666684|lv5p_1317.4833333333318|nta#T#4_3.6000000000000005|nta#C#1_125.24999999999996|lv5p#1_124.0|nta#T#3_38.81666666666666|nta#T#2_9.66666666666667|lv5pT_1193.483333333333|nta#T#1_29.866666666666664|mlv5p_30.0|lv5p#-3_289.8499999999997|lv5p#-2_211.11666666666673|lv5p#-1_692.5166666666669|lv3p#2_196.0|lv3p#1_3343.250000000003|lv5pE_124.0|nta#A#4_1.0|nta#A#3_168.83333333333337|nta#A#2_2232.4833333333345|nta#A#1_4680.183333333326|lv3pT_13105.98333333334|mlv5p#1_30.0|total_79278.63333333253|nta#AU_2.2|lv3pE_3539.250000000003|mlv3p#2_1.0|nta#G#1_160.3666666666668|lv3p_16645.23333333331|lv3p#-3_218.9166666666667|lv3p#-2_1637.6999999999998|lv3p#-1_11249.366666666669|nta#T_81.94999999999996
hsa-let-7a-5p	hsa-let-7a-1	79203.63333333253	890.0	15994.068196089698	36890.7349970971	5p	mlv3p_183.0|NucVar_3313.2333333333354|canonical_50321.0|nta#G_160.03333333333345|nta#C_127.24999999999996|nta#A_6150.166666666657|mv_420.11666666666633|lv5p_1712.9833333333318|nta#T#4_3.6000000000000005|nta#C#1_127.24999999999996|lv5p#1_519.5|nta#T#3_38.48333333333333|nta#T#2_9.66666666666667|lv5pT_1193.483333333333|nta#T#1_29.866666666666664|mlv5p_30.0|lv5p#-3_289.8499999999997|lv5p#-2_211.11666666666673|lv5p#-1_692.5166666666669|lv3p#2_255.0|lv3p#1_3343.250000000003|lv5pE_519.5|nta#A#3_5.333333333333333|nta#A#2_1005.4833333333336|nta#A#1_5139.349999999993|lv3pT_13105.98333333334|mlv5p#1_30.0|total_79203.63333333253|nta#AU_3.1999999999999997|lv3pE_3598.250000000003|mlv3p#2_183.0|nta#G#1_160.03333333333345|lv3p_16704.233333333304|lv3p#-3_218.9166666666667|lv3p#-2_1637.6999999999998|lv3p#-1_11249.366666666669|nta#T_81.61666666666663
hsa-let-7a-5p	hsa-let-7a-3	78618.63333333253	840.0	15875.935611750605	36618.25911354165	5p	mlv3p_141.5|NucVar_3313.2333333333354|canonical_50321.0|nta#G_160.03333333333345|nta#C_125.24999999999996|nta#A_5649.166666666657|mv_529.6166666666664|lv5p_1766.4833333333318|nta#T#4_3.6000000000000005|nta#C#1_125.24999999999996|lv5p#1_573.0|nta#T#3_38.98333333333333|nta#T#2_9.66666666666667|lv5pT_1193.483333333333|nta#T#1_29.866666666666664|mlv5p_81.0|lv5p#-3_289.8499999999997|lv5p#-2_211.11666666666673|lv5p#-1_692.5166666666669|lv3p#1_3343.250000000003|lv5pE_573.0|nta#A#3_5.333333333333333|nta#A#2_1001.4833333333336|nta#A#1_4642.349999999993|lv3pT_13105.98333333334|mlv5p#2_51.0|mlv5p#1_30.0|total_78618.63333333253|nta#AU_2.2|lv3pE_3343.250000000003|mlv3p#2_141.5|nta#G#1_160.03333333333345|lv3p_16449.233333333304|lv3p#-3_218.9166666666667|lv3p#-2_1637.6999999999998|lv3p#-1_11249.366666666669|nta#T_82.11666666666663
hsa-let-7f-5p	hsa-let-7f-2	71084.98333333328	551.0	14354.62015191109	33109.305369700065	5p	NucVar_3236.8|canonical_47494.0|nta#G_18.366666666666667|nta#C_18.0|nta#A_4569.333333333333|mv_168.2|lv5p_682.1666666666667|nta#T#4_1.0|nta#C#1_18.0|lv5p#1_1.0|nta#T#3_43.06666666666666|nta#T#2_7.0|lv5pT_681.1666666666667|nta#T#1_2.7|mlv5p_121.5|lv5p#-3_126.9|lv5p#-2_144.03333333333333|lv5p#-1_410.23333333333335|lv3p#1_4541.25|lv5pE_1.0|nta#A#4_0.5|nta#A#3_3.5|nta#A#2_434.0|nta#A#1_4131.333333333334|lv3pT_10181.599999999999|mlv5p#2_0.5|mlv5p#1_121.0|total_71084.98333333328|nta#AU_1.0|lv3pE_4541.25|nta#G#2_0.3333333333333333|nta#G#1_18.033333333333335|lv3p_14722.849999999999|lv3p#-3_132.83333333333334|lv3p#-2_1021.6333333333332|lv3p#-1_9027.133333333333|nta#T_53.766666666666666
hsa-let-7f-5p	hsa-let-7f-1	67061.0333333333	517.0	13542.0396172935	31235.06719596852	5p	NucVar_3236.8|canonical_47494.0|nta#G_18.366666666666667|nta#C_18.0|nta#A_4568.833333333333|mv_324.0|lv5p_877.6666666666666|lv5p#2_51.0|nta#C#1_18.0|lv5p#1_145.5|nta#T#3_44.56666666666666|nta#T#2_7.0|lv5pT_681.1666666666667|nta#T#1_2.7|mlv5p_281.5|lv5p#-3_126.9|lv5p#-2_144.03333333333333|lv5p#-1_410.23333333333335|lv3p#2_1.0|lv3p#1_5.0|lv5pE_196.5|nta#A#4_0.5|nta#A#3_3.5|nta#A#2_434.0|nta#A#1_4130.833333333334|lv3pT_10181.599999999999|mlv5p#2_160.5|mlv5p#1_121.0|total_67061.0333333333|nta#AU_1.0|lv3pE_6.0|nta#G#2_0.3333333333333333|nta#G#1_18.033333333333335|lv3p_10187.599999999999|lv3p#-3_132.83333333333334|lv3p#-2_1021.6333333333332|lv3p#-1_9027.133333333333|nta#T_54.266666666666666
