name	pre-microRNA	RC_adj	UR	32150301_EXO_S1432150301_EXO_S14(total)	RPM (lib)	arm	isoString_RC_adj
hsa-miR-30a-5p	hsa-mir-30a	225523.5	1655.0	64020.19704811063	175433.13077002062	5p	mlv3p_507.0|NucVar_2851.0|canonical_33195.0|nta#G_367.5|nta#C_343.0|nta#A_19369.0|mv_10699.5|lv5p_2009.5|nta#C#3_2.0|nta#C#2_102.5|nta#C#1_238.5|lv5p#1_3.5|nta#T#3_56.5|nta#T#2_119.0|lv5pT_2006.0|nta#T#1_5203.5|nta#UA_11.5|mlv5p_84.0|lv5p#-3_327.0|lv5p#-2_457.0|lv5p#-1_1222.0|lv3p#3_18.0|lv3p#2_75568.5|lv3p#1_53587.0|lv5pE_3.5|nta#A#4_2.0|nta#A#3_92.5|nta#A#2_1208.5|nta#A#1_18066.0|lv3pT_21545.5|mlv5p#1_84.0|total_225523.5|nta#AU_82.0|lv3pE_129173.5|mlv3p#2_507.0|nta#G#2_58.0|nta#G#1_309.5|lv3p_150719.0|lv3p#-3_802.5|lv3p#-2_664.0|lv3p#-1_20079.0|nta#T_5379.0
hsa-miR-10b-5p	hsa-mir-10b	213247.5	1458.0	60535.363144049166	165883.71745685028	5p	NucVar_2458.0|canonical_21623.0|nta#G_269.0|nta#C_457.5|nta#A_11947.5|mv_14020.5|lv5p_6031.5|nta#T#4_1.0|nta#C#1_457.5|lv5p#1_44.0|nta#T#3_1.0|nta#T#2_157.0|lv5pT_5987.5|nta#T#1_730.5|lv5p#-4_108.0|nta#UA_16.0|mlv5p_35.0|lv5p#-3_359.5|lv5p#-2_631.5|lv5p#-1_4888.5|lv3p#1_2809.0|lv5pE_44.0|nta#A#4_1.0|nta#A#3_44.0|nta#A#2_941.5|nta#A#1_10961.0|lv3pT_152707.0|mlv5p#1_35.0|total_213247.5|nta#AU_4.0|lv3pE_2809.0|nta#G#2_28.0|nta#G#1_241.0|lv3p_155516.0|lv3p#-4_222.0|lv3p#-3_1603.0|lv3p#-2_11868.0|lv3p#-1_139014.0|nta#T_889.5
hsa-miR-10a-5p	hsa-mir-10a	168799.0	1496.0	47917.6016757634	131307.544627716	5p	NucVar_2838.0|canonical_24918.0|nta#G_130.0|nta#C_366.5|nta#A_14320.5|mv_14263.5|lv5p_10132.0|nta#C#1_366.5|lv5p#1_107.0|nta#T#2_77.0|lv5pT_10025.0|nta#T#1_269.5|lv5p#-4_224.5|nta#UA_10.0|mlv5p_46.0|lv5p#-3_573.5|lv5p#-2_690.5|lv5p#-1_8536.5|lv3p#2_33.0|lv3p#1_2589.0|lv5pE_107.0|nta#A#3_86.0|nta#A#2_1053.5|nta#A#1_13181.0|lv3pT_98816.0|mlv5p#1_46.0|total_168799.0|nta#AU_12.0|lv3pE_2622.0|nta#G#2_14.0|nta#G#1_116.0|lv3p_101438.0|lv3p#-4_529.0|lv3p#-3_878.0|lv3p#-2_8825.0|lv3p#-1_88584.0|nta#T_346.5
hsa-let-7b-5p	hsa-let-7b	68014.5	990.0	19307.529779063916	52907.9970502301	5p	mlv3p_95.0|NucVar_1870.75|canonical_22378.0|nta#G_385.75|nta#C_236.5|nta#A_13634.25|mv_464.5|lv5p_417.0|nta#T#6_1.0|nta#T#5_5.0|nta#C#2_1.0|nta#T#4_10.0|nta#C#1_235.5|nta#T#3_25.0|nta#T#2_547.0|lv5pT_417.0|nta#T#1_5226.5|nta#UA_84.0|mlv5p_71.0|lv5p#-3_169.0|lv5p#-2_20.0|lv5p#-1_228.0|lv3p#2_26.0|lv3p#1_16580.0|nta#A#4_5.0|nta#A#3_611.0|nta#A#2_4536.5|nta#A#1_8481.75|lv3pT_6041.25|mlv5p#1_71.0|total_68014.5|nta#AU_18.0|lv3pE_16606.0|mlv3p#3_39.0|mlv3p#2_56.0|nta#G#2_2.0|nta#G#1_383.75|lv3p_22647.25|lv3p#-3_1.0|lv3p#-2_1136.75|lv3p#-1_4903.5|nta#T_5814.5
hsa-miR-30d-5p	hsa-mir-30d	63715.0	940.0	18087.014678826683	49563.446501193284	5p	mlv3p_158.0|NucVar_796.5|canonical_9143.0|nta#G_122.0|nta#C_83.5|nta#A_5509.5|mv_2403.5|lv5p_688.5|nta#C#2_27.0|nta#C#1_56.5|nta#T#3_0.5|nta#T#2_62.0|lv5pT_688.5|nta#T#1_2123.5|nta#UA_2.0|mlv5p_20.5|lv5p#-3_160.5|lv5p#-2_56.0|lv5p#-1_472.0|lv3p#3_24.0|lv3p#2_22627.5|lv3p#1_14692.5|nta#A#4_1.0|nta#A#3_46.5|nta#A#2_419.0|nta#A#1_5043.0|lv3pT_5260.0|mlv5p#1_20.5|total_63715.0|nta#AU_20.0|lv3pE_37344.0|mlv3p#2_158.0|nta#G#2_17.0|nta#G#1_105.0|lv3p_42604.0|lv3p#-3_141.0|lv3p#-2_228.0|lv3p#-1_4891.0|nta#T_2186.0
hsa-let-7a-5p	hsa-let-7a-2	39284.80000000035	706.0	11151.922690964087	30559.367230794876	5p	mlv3p_42.0|NucVar_1921.0666666666657|canonical_25368.333333333332|nta#G_76.33333333333324|nta#C_84.16666666666661|nta#A_2999.033333333341|mv_176.3333333333335|lv5p_624.2166666666668|nta#T#4_0.8666666666666667|nta#C#1_84.16666666666661|lv5p#1_121.16666666666666|nta#T#3_22.783333333333324|nta#T#2_4.5|lv5pT_503.04999999999967|nta#T#1_1.0|lv5p#-3_62.20000000000002|lv5p#-2_65.99999999999997|lv5p#-1_374.84999999999985|lv3p#2_1.0|lv3p#1_1528.3666666666663|lv5pE_121.16666666666666|nta#A#4_1.0|nta#A#3_104.36666666666666|nta#A#2_582.2500000000006|nta#A#1_2311.416666666672|lv3pT_6434.799999999998|total_39284.80000000035|nta#AU_1.5|lv3pE_1529.3666666666663|mlv3p#2_42.0|nta#G#1_76.33333333333324|lv3p_7964.166666666663|lv3p#-3_39.99999999999999|lv3p#-2_641.1333333333333|lv3p#-1_5753.666666666665|nta#T_29.149999999999988
hsa-let-7a-5p	hsa-let-7a-1	39088.80000000035	699.0	11096.283439970599	30406.900221233016	5p	lv5p#-2_65.99999999999997|nta#A#1_2356.416666666672|lv5p_546.0500000000001|lv5p#-1_374.84999999999985|canonical_25368.333333333332|lv3pE_1616.3666666666663|nta#C#1_84.16666666666661|nta#AU_2.0|lv5pE_43.0|nta#G_76.33333333333324|nta#C_84.16666666666661|nta#G#1_76.33333333333324|lv3p_8051.166666666663|nta#A_2733.533333333341|lv3p#2_88.0|nta#T#4_0.8666666666666667|lv3p#1_1528.3666666666663|nta#T#3_22.449999999999992|nta#T#2_4.5|NucVar_1921.0666666666657|nta#T#1_2.0|mlv3p_69.5|mv_208.83333333333348|lv3p#-3_39.99999999999999|lv3pT_6434.799999999998|lv5p#1_43.0|lv3p#-2_641.1333333333333|lv3p#-1_5753.666666666665|lv5pT_503.04999999999967|mlv3p#2_69.5|nta#T_29.816666666666656|nta#A#3_28.866666666666664|lv5p#-3_62.20000000000002|total_39088.80000000035|nta#A#2_348.2499999999998
hsa-let-7a-5p	hsa-let-7a-3	39059.30000000035	688.0	11087.90916494862	30383.952380508144	5p	mlv3p_1.0|NucVar_1921.0666666666657|canonical_25368.333333333332|nta#G_76.33333333333324|nta#C_84.16666666666661|nta#A_2724.533333333341|mv_276.833333333333|lv5p_583.0500000000002|nta#T#4_0.8666666666666667|nta#C#1_84.16666666666661|lv5p#1_80.0|nta#T#3_22.449999999999992|nta#T#2_4.5|lv5pT_503.04999999999967|nta#T#1_1.0|mlv5p_32.0|lv5p#-3_62.20000000000002|lv5p#-2_65.99999999999997|lv5p#-1_374.84999999999985|lv3p#1_1528.3666666666663|lv5pE_80.0|nta#A#3_28.866666666666664|nta#A#2_348.2499999999998|nta#A#1_2347.416666666672|lv3pT_6434.799999999998|mlv5p#2_32.0|total_39059.30000000035|nta#AU_1.0|lv3pE_1528.3666666666663|mlv3p#2_1.0|nta#G#1_76.33333333333324|lv3p_7963.166666666663|lv3p#-3_39.99999999999999|lv3p#-2_641.1333333333333|lv3p#-1_5753.666666666665|nta#T_28.816666666666656
hsa-let-7f-5p	hsa-let-7f-2	32552.300000000014	460.0	9240.742806710667	25322.20324163533	5p	mlv3p_1.0|NucVar_1709.7333333333333|canonical_21177.0|nta#G_16.333333333333332|nta#C_25.666666666666668|nta#A_2304.4333333333325|mv_51.166666666666664|lv5p_550.0666666666667|nta#T#4_2.0|nta#C#1_25.666666666666668|lv5p#1_136.0|nta#T#3_15.7|nta#T#2_6.666666666666667|lv5pT_414.06666666666666|nta#T#1_0.5|mlv5p_75.16666666666666|lv5p#-3_32.7|lv5p#-2_48.166666666666664|lv5p#-1_333.2|lv3p#1_1527.2|lv5pE_136.0|nta#A#4_0.5|nta#A#3_30.2|nta#A#2_587.7333333333333|nta#A#1_1686.0000000000002|lv3pT_5089.666666666667|mlv5p#1_75.16666666666666|total_32552.300000000014|nta#AU_1.0|lv3pE_1527.2|mlv3p#2_1.0|nta#G#2_0.3333333333333333|nta#G#1_15.999999999999998|lv3p_6616.866666666667|lv3p#-3_56.5|lv3p#-2_550.9666666666666|lv3p#-1_4482.2|nta#T_24.86666666666667
hsa-let-7f-5p	hsa-let-7f-1	31283.100000000013	435.0	8880.45026915488	24334.901565431694	5p	mlv3p_1.0|NucVar_1709.7333333333333|canonical_21177.0|nta#G_17.333333333333332|nta#C_25.666666666666668|nta#A_2364.433333333333|mv_52.166666666666664|lv5p_448.06666666666666|lv5p#2_33.0|nta#C#1_25.666666666666668|lv5p#1_1.0|nta#T#3_15.7|nta#T#2_6.666666666666667|lv5pT_414.06666666666666|nta#T#1_0.5|mlv5p_75.16666666666666|lv5p#-3_32.7|lv5p#-2_48.166666666666664|lv5p#-1_333.2|lv3p#1_300.0|lv5pE_34.0|nta#A#4_0.5|nta#A#3_30.2|nta#A#2_587.7333333333333|nta#A#1_1746.0000000000002|lv3pT_5089.666666666667|mlv5p#1_75.16666666666666|total_31283.100000000013|nta#AU_1.0|lv3pE_300.0|mlv3p#2_1.0|nta#G#2_1.3333333333333333|nta#G#1_15.999999999999998|lv3p_5389.666666666667|lv3p#-3_56.5|lv3p#-2_550.9666666666666|lv3p#-1_4482.2|nta#T_22.86666666666667
