name	pre-microRNA	RC_adj	UR	180726-190530_Brain_S36180726-190530_Brain_S36(total)	RPM (lib)	arm	isoString_RC_adj
hsa-miR-9-5p	hsa-mir-9-1	606508.1666666778	1470.0	40390.55486862644	42779.49155983479	5p	mlv3p_119.99999999999999|NucVar_2805.0000000000023|canonical_133389.66666666666|nta#G_554.5000000000006|nta#C_649.8333333333346|nta#A_18901.166666666562|mv_17435.333333333307|lv5p_17529.66666666666|nta#C#2_1.0|nta#C#1_648.8333333333345|lv5p#1_199.0|nta#T#3_29.666666666666668|nta#T#2_539.0000000000001|lv5pT_17330.66666666666|nta#T#1_28504.833333333263|lv5p#-4_346.33333333333314|nta#UA_21.83333333333333|mlv5p_118.5|lv5p#-3_1681.333333333333|lv5p#-2_4331.666666666664|lv5p#-1_10971.333333333338|lv3p#2_57.66666666666668|lv3p#1_196.33333333333334|lv5pE_199.0|nta#A#4_15.0|nta#A#3_132.33333333333331|nta#A#2_3022.66666666667|nta#A#1_15731.166666666704|lv3pT_385677.00000000023|mlv5p#2_14.5|mlv5p#1_104.0|total_606508.1666666778|nta#AU_9.000000000000002|lv3pE_254.00000000000006|mlv3p#2_119.99999999999999|nta#G#3_0.3333333333333333|nta#G#2_22.333333333333332|nta#G#1_531.833333333333|lv3p_385931.0000000001|lv3p#-4_5529.333333333334|lv3p#-3_5195.000000000003|lv3p#-2_230411.33333333334|lv3p#-1_144541.33333333334|nta#T_29073.499999999927
hsa-miR-9-5p	hsa-mir-9-2	606508.1666666778	1470.0	40390.55486862644	42779.49155983479	5p	mlv3p_119.99999999999999|NucVar_2805.0000000000023|canonical_133389.66666666666|nta#G_554.5000000000006|nta#C_649.8333333333346|nta#A_18901.166666666562|mv_17435.333333333307|lv5p_17529.66666666666|nta#C#2_1.0|nta#C#1_648.8333333333345|lv5p#1_199.0|nta#T#3_29.666666666666668|nta#T#2_539.0000000000001|lv5pT_17330.66666666666|nta#T#1_28504.833333333263|lv5p#-4_346.33333333333314|nta#UA_21.83333333333333|mlv5p_118.5|lv5p#-3_1681.333333333333|lv5p#-2_4331.666666666664|lv5p#-1_10971.333333333338|lv3p#2_57.66666666666668|lv3p#1_196.33333333333334|lv5pE_199.0|nta#A#4_15.0|nta#A#3_132.33333333333331|nta#A#2_3022.66666666667|nta#A#1_15731.166666666704|lv3pT_385677.00000000023|mlv5p#2_14.5|mlv5p#1_104.0|total_606508.1666666778|nta#AU_9.000000000000002|lv3pE_254.00000000000006|mlv3p#2_119.99999999999999|nta#G#3_0.3333333333333333|nta#G#2_22.333333333333332|nta#G#1_531.833333333333|lv3p_385931.0000000001|lv3p#-4_5529.333333333334|lv3p#-3_5195.000000000003|lv3p#-2_230411.33333333334|lv3p#-1_144541.33333333334|nta#T_29073.499999999927
hsa-miR-9-5p	hsa-mir-9-3	606247.6666666778	1449.0	40373.206809488	42761.11743370787	5p	mlv3p_119.99999999999999|NucVar_2805.0000000000023|canonical_133389.66666666666|nta#G_554.0000000000006|nta#C_649.3333333333346|nta#A_18916.66666666654|mv_17273.33333333334|lv5p_17401.66666666666|nta#C#2_1.0|nta#C#1_648.3333333333345|lv5p#1_71.0|nta#T#3_29.666666666666668|nta#T#2_540.0000000000001|lv5pT_17330.66666666666|nta#T#1_28533.333333333263|lv5p#-4_346.33333333333314|nta#UA_21.33333333333333|mlv5p_104.0|lv5p#-3_1681.333333333333|lv5p#-2_4331.666666666664|lv5p#-1_10971.333333333338|lv3p#2_57.66666666666668|lv3p#1_196.33333333333334|lv5pE_71.0|nta#A#4_15.0|nta#A#3_132.33333333333331|nta#A#2_3023.66666666667|nta#A#1_15745.666666666704|lv3pT_385677.00000000023|mlv5p#1_104.0|total_606247.6666666778|nta#AU_9.000000000000002|lv3pE_254.00000000000006|mlv3p#2_119.99999999999999|nta#G#3_0.3333333333333333|nta#G#2_22.333333333333332|nta#G#1_531.333333333333|lv3p_385931.0000000001|lv3p#-4_5529.333333333334|lv3p#-3_5195.000000000003|lv3p#-2_230411.33333333334|lv3p#-1_144541.33333333334|nta#T_29102.999999999927
hsa-miR-128-3p	hsa-mir-128-1	569677.5	1204.0	37937.8079072387	40181.67461291782	3p	mlv3p_3655.5|NucVar_6837.5|canonical_259259.0|nta#G_1855.5|nta#C_424.0|nta#A_43006.5|mv_14560.5|lv5p_15822.5|nta#C#2_0.5|lv5p#2_44.5|nta#C#1_423.5|lv5p#1_123.5|nta#T#2_12.0|lv5pT_15654.5|nta#T#1_1218.0|nta#UA_20.5|mlv5p_384.0|lv5p#-2_5866.0|lv5p#-1_9788.5|lv3p#3_16.0|lv3p#2_15234.0|lv3p#1_173827.0|lv5pE_168.0|nta#A#4_50.5|nta#A#3_425.5|nta#A#2_7176.0|nta#A#1_35354.5|lv3pT_33565.5|mlv5p#1_384.0|total_569677.5|lv3pE_189077.0|mlv3p#4_68.0|mlv3p#3_53.0|mlv3p#2_3534.5|nta#G#2_9.0|nta#G#1_1846.5|lv3p_222642.5|lv3p#-2_5909.0|lv3p#-1_27656.5|nta#T_1230.0
hsa-miR-26a-5p	hsa-mir-26a-2	521014.1666666667	1034.0	34697.06170938829	36749.25148653499	5p	mlv3p_3614.0|NucVar_7220.333333333333|canonical_392794.0|nta#G_445.0|nta#C_690.0|nta#A_31965.666666666664|mv_1601.8333333333333|lv5p_18800.166666666668|nta#C#2_12.0|nta#T#4_0.5|nta#C#1_678.0|lv5p#1_790.5|nta#T#3_528.5|nta#T#2_3825.6666666666665|lv5pT_18009.666666666668|nta#T#1_25174.833333333336|nta#UA_34.66666666666667|mlv5p_387.5|lv5p#-3_873.5|lv5p#-2_3177.1666666666665|lv5p#-1_13959.0|lv3p#3_1.0|lv3p#2_275.5|lv3p#1_813.0|lv5pE_790.5|nta#A#3_462.0|nta#A#2_3711.0|nta#A#1_27792.666666666664|lv3pT_32876.666666666664|mlv5p#2_98.0|mlv5p#1_289.5|total_521014.1666666667|nta#AU_15.5|lv3pE_1089.5|mlv3p#3_295.0|mlv3p#2_3319.0|nta#G#1_445.0|lv3p_33966.166666666664|lv3p#-3_1281.0|lv3p#-2_4024.6666666666665|lv3p#-1_27571.0|nta#T_29529.500000000004
hsa-miR-26a-5p	hsa-mir-26a-1	519508.6666666667	1005.0	34596.80258066309	36643.062438995374	5p	mlv3p_3382.0|NucVar_7220.333333333333|canonical_392794.0|nta#G_445.0|nta#C_688.0|nta#A_31911.666666666664|mv_1541.8333333333333|lv5p_18256.666666666668|nta#C#2_12.0|nta#T#4_0.5|nta#C#1_676.0|lv5p#1_247.0|nta#T#3_41.5|nta#T#2_3825.6666666666665|lv5pT_18009.666666666668|nta#T#1_25130.833333333336|nta#UA_34.66666666666667|mlv5p_305.5|lv5p#-3_873.5|lv5p#-2_3177.1666666666665|lv5p#-1_13959.0|lv3p#2_275.5|lv3p#1_813.0|lv5pE_247.0|nta#A#3_462.0|nta#A#2_3710.0|nta#A#1_27739.666666666664|lv3pT_32876.666666666664|mlv5p#2_16.0|mlv5p#1_289.5|total_519508.6666666667|nta#AU_14.5|lv3pE_1088.5|mlv3p#3_63.0|mlv3p#2_3319.0|nta#G#1_445.0|lv3p_33965.166666666664|lv3p#-3_1281.0|lv3p#-2_4024.6666666666665|lv3p#-1_27571.0|nta#T_28998.500000000004
hsa-let-7a-5p	hsa-let-7a-3	434450.816666664	914.0	28932.354933875526	30643.58580181999	5p	mlv3p_63.0|NucVar_5426.316666666662|canonical_291424.0|nta#G_1062.0499999999984|nta#C_645.4000000000004|nta#A_23103.233333333294|mv_3534.133333333336|lv5p_8604.616666666669|lv5p#2_21.0|nta#T#4_23.2|nta#C#1_645.4000000000004|lv5p#1_2447.0|nta#T#3_74.25|nta#T#2_36.66666666666667|lv5pT_6136.616666666662|nta#T#1_324.56666666666666|mlv5p_107.2|lv5p#-3_750.3666666666669|lv5p#-2_1064.5833333333333|lv5p#-1_4321.666666666664|lv3p#2_11.0|lv3p#1_14231.516666666681|lv5pE_2468.0|nta#A#4_7.333333333333333|nta#A#3_71.86666666666666|nta#A#2_1887.633333333333|nta#A#1_21136.39999999997|lv3pT_85779.6666666666|mlv5p#2_24.0|mlv5p#1_83.2|total_434450.816666664|nta#AU_1.8|lv3pE_14242.516666666681|mlv3p#2_63.0|nta#G#3_23.0|nta#G#2_3.5333333333333337|nta#G#1_1035.516666666667|lv3p_100022.18333333316|lv3p#-3_1699.7833333333328|lv3p#-2_8836.450000000004|lv3p#-1_75243.43333333333|nta#T_458.6833333333333
hsa-let-7a-5p	hsa-let-7a-2	434308.6499999973	930.0	28922.887311069968	30633.558207714897	5p	mlv3p_176.0|NucVar_5426.316666666662|canonical_291424.0|nta#G_1038.0500000000006|nta#C_632.4000000000004|nta#A_25657.73333333329|mv_2326.800000000001|lv5p_6840.283333333329|nta#T#4_23.2|nta#C#1_632.4000000000004|lv5p#1_703.6666666666667|nta#T#3_74.25|nta#T#2_36.66666666666667|lv5pT_6136.616666666662|nta#T#1_343.56666666666666|mlv5p_103.2|lv5p#-3_750.3666666666669|lv5p#-2_1064.5833333333333|lv5p#-1_4321.666666666664|lv3p#2_195.0|lv3p#1_14231.516666666681|lv5pE_703.6666666666667|nta#A#4_17.333333333333332|nta#A#3_182.70000000000002|nta#A#2_4431.6333333333305|nta#A#1_21026.066666666633|lv3pT_85779.6666666666|mlv5p#3_19.0|mlv5p#2_1.0|mlv5p#1_83.2|total_434308.6499999973|nta#AU_1.8|lv3pE_14426.516666666681|mlv3p#2_176.0|nta#G#2_2.5333333333333337|nta#G#1_1035.516666666667|lv3p_100206.18333333316|lv3p#-3_1699.7833333333328|lv3p#-2_8836.450000000004|lv3p#-1_75243.43333333333|nta#T_477.6833333333333
hsa-let-7a-5p	hsa-let-7a-1	433865.9833333306	949.0	28893.40781966134	30602.335124545938	5p	mlv3p_1442.3333333333333|NucVar_5426.316666666662|canonical_291424.0|nta#G_1067.0499999999984|nta#C_632.4000000000004|nta#A_23071.066666666626|mv_2326.133333333334|lv5p_6982.616666666662|nta#T#4_23.2|nta#C#1_632.4000000000004|lv5p#1_846.0|nta#T#3_75.25|nta#T#2_36.66666666666667|lv5pT_6136.616666666662|nta#T#1_351.56666666666666|mlv5p_174.2|lv5p#-3_750.3666666666669|lv5p#-2_1064.5833333333333|lv5p#-1_4321.666666666664|lv3p#2_822.0|lv3p#1_14231.516666666681|lv5pE_846.0|nta#A#4_17.333333333333332|nta#A#3_98.69999999999999|nta#A#2_1912.633333333333|nta#A#1_21042.39999999997|lv3pT_85779.6666666666|mlv5p#2_91.0|mlv5p#1_83.2|total_433865.9833333306|nta#AU_1.8|lv3pE_15053.516666666681|mlv3p#2_1442.3333333333333|nta#G#2_2.5333333333333337|nta#G#1_1064.516666666665|lv3p_100833.18333333316|lv3p#-3_1699.7833333333328|lv3p#-2_8836.450000000004|lv3p#-1_75243.43333333333|nta#T_486.6833333333333
hsa-miR-128-3p	hsa-mir-128-2	408401.5	979.0	27197.594526777244	28806.22138741228	3p	mlv3p_89.0|NucVar_6837.5|canonical_259259.0|nta#G_1620.5|nta#C_194.0|nta#A_39362.5|mv_3591.5|lv5p_15822.5|nta#C#2_31.5|lv5p#2_44.5|nta#C#1_162.5|lv5p#1_123.5|nta#T#3_19.0|nta#T#2_252.0|lv5pT_15654.5|nta#T#1_8395.5|nta#UA_9.5|mlv5p_384.0|lv5p#-2_5866.0|lv5p#-1_9788.5|lv3p#2_523.0|lv3p#1_38486.0|lv5pE_168.0|nta#A#4_13.5|nta#A#3_391.5|nta#A#2_6809.0|nta#A#1_32148.5|lv3pT_33565.5|mlv5p#1_384.0|total_408401.5|lv3pE_39009.0|mlv3p#4_26.0|mlv3p#3_13.0|mlv3p#2_50.0|nta#G#2_9.0|nta#G#1_1611.5|lv3p_72574.5|lv3p#-2_5909.0|lv3p#-1_27656.5|nta#T_8666.5
